"","X","id","source","year","company","capital","office","loc","lon","lat","yinc","locinc","role","simpname","lastname.x","firstname.x","middlename.x","edu","text","lastname.y","firstname.y","middlename.y","prof"
"356",94396,"amm94396","amm",1922,"STANDARD STEEL CASTINGS CO., CLEVELAND. FGP",NA,NA,NA,NA,NA,NA,NA,"General Manager","fletcher, c b","fletcher","c","b",NA,"C. B. Fletcher, General Manager; John Matthews, Superintendent.","flemingtp","c","b","General Manager"
"357",94609,"amm94609","amm",1922,"Langeloth Coal Co., Slovan, Pennsylvania.",NA,NA,"pennsylvania ",-77.1945247,41.2033216,NA,NA,NA,NA,NA,NA,NA,NA,"Langeloth Coal Co., Slovan, Pennsylvania.",NA,NA,NA,NA
"358",94635,"amm94635","amm",1922,"(Subsidiary oi.’ New Jersey Zinc Co., 160 Front Street, New York.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zinc Oxide, Spiegel, Lithopone and Sulphuric Acid Plants.",NA,NA,NA,NA
"359",94712,"amm94712","amm",1922,"ALTOONA IRON CO., ALTOONA. FGP",NA,NA,NA,NA,NA,NA,NA,"Pres","findley, j d","findley","joseph","d",NA,"Joseph D. Findley, President; H. K. McCauIey, General Manager.","finch","joseph",NA,"Pres"
"360",94723,"amm94723","amm",1922,"AMERICAN CAR & FOUNDRY CO., BERWICK. AHD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN CAR & FOUNDRY CO., BERWICK. AHD",NA,NA,NA,NA
"361",95296,"amm95296","amm",1922,"EAGLE IRON CO., CURTIN. FGP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EAGLE IRON CO., CURTIN. FGP",NA,NA,NA,NA
"362",96167,"amm96167","amm",1922,"ALAN WOOD IRON a STEEL CO., PHILADELPHIA. AHB",NA,NA,"wyoming ",-107.2902839,43.0759678,NA,NA,"Pres","robertson, n g","robertson","nathaniel","g",NA,"Nathaniel G. Robertson, Wyoming, Pa., Pres., General Manager.","robertson","nathaniel","g","Pres"
"363",96199,"amm96199","amm",1922,"(Subsidiary of American Zinc, Lead & Smelting Co., Boston.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2800-ton Concentrating (2) Mills and Flotation Plants. 1200 Men.",NA,NA,NA,NA
"364",96336,"amm96336","amm",1922,"KNOXVILLE IRON CO., KNOXVILLE.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 Steam Blowing Engines. 3000 HP. Steam Plant: 10 W.T. Boilers.",NA,NA,NA,NA
"365",96651,"amm96651","amm",1922,"VIRGINIA IRON, COAL 6. COKE CO., ROANOKE. CHD",NA,NA,"virginia ",-78.6568942,37.4315734,NA,NA,NA,NA,NA,NA,NA,NA,"and Toms Creek, Virginia. Drifts. Steam-Electric Power Plants.",NA,NA,NA,NA
"366",96721,"amm96721","amm",1922,"FOLLANSBEE BROTHERS COMPANY, FOLLANSBEE. DHD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Five 28"" and Three 24"" Sets Sheet; Six 24"" Sets Tin Cold Rolls.",NA,NA,NA,NA
"367",97109,"amm97109","amm",1922,"BRAZEAU COLLIERIES, LIMITED, NORDEGG. DHD",NA,NA,"toronto ",-79.3831843,43.653226,NA,NA,"Pres","mackenzie, s w","mackenzie","sir","william",NA,"Sir William Mackenzie, Toronto, Canada, President.","mackenzie","sir","william","Pres"
"368",97165,"amm97165","amm",1922,"DAWSON COAL CO., LIMITED, EDMONTON. MGP",NA,NA,"edmonton ",-113.4938229,53.5461245,NA,NA,"General Manager","hyndman, c a","hyndman","c","a",NA,"C. A. Hyndman, Edmonton, Alberta, General Manager.","hyde","c",NA,"General Manager"
"369",97579,"amm97579","amm",1922,"EUREKA COPPER MINES, LIMITED, NELSON. MGP",NA,NA,NA,NA,NA,NA,NA,"Pres","malone, j j","malone","john","j",NA,"John J. Malone, President; John G. Bunyan, Sec. and Manager.","malleson","john",NA,"Pres"
"370",98062,"amm98062","amm",1922,"CROW'S NEST PASS COAL CO., LTD., FERNIE. AHD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CROW'S NEST PASS COAL CO., LTD., FERNIE. AHD",NA,NA,NA,NA
"371",98158,"amm98158","amm",1922,"NORTH AMERICAN ANTIMONY SM ELTING CO., LTD. MGP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRON AND STEEL WORKS",NA,NA,NA,NA
"372",98339,"amm98339","amm",1922,"MARITIME COAL, RAILWAY &. POWER CO., LTD., JOGGINS. DHD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-Mile. Standard Gauge, Steam Railway. 4 Locomotives. 500 Men.",NA,NA,NA,NA
"373",98713,"amm98713","amm",1922,"HOLLINGER CONS. GOLD MINES, LIMITED, TIMMINS. AHD",NA,NA,"toronto ",-79.3831843,43.653226,NA,NA,NA,NA,NA,NA,NA,NA,"Oflice, 85 Bay Street, Toronto, Canada.",NA,NA,NA,NA
"374",99071,"amm99071","amm",1922,"PORCUPINE DAVIDSON GOLD MINES, LTD., S. PORCUPINE. DHD",NA,NA,"porcupine ",-111.7909417,40.6189514,NA,NA,"General Manager","sutherland, h h","sutherland","h","h",NA,"H. H. Sutherland, South Porcupine, Ontario, General Manager.","sutherland","h",NA,"General Manager"
"375",99190,"amm99190","amm",1922,"WEST TREE GOLD MINES, LIMITED, SHINING TREE. MGP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"West Tree Gold Mine. Steam Power and Compressor. Developing.",NA,NA,NA,NA
"376",99223,"amm99223","amm",1922,"MOOSE MOUNTAIN, LIMITED, SELLWOOD. EHD",NA,NA,NA,NA,NA,NA,NA,"General Manager","anderson, a j","anderson","a","j",NA,"A. J. Anderson, Sellwood, General Manager.","anderson","alexander",NA,"General Manager"
"377",99401,"amm99401","amm",1922,"STEEL COMPANY OF CANADA, LTD., HAMILTON. AHD",NA,NA,"montreal ",-73.567256,45.5016889,NA,NA,"Pres","whitton, f h","whitton","f","h",NA,"F. H. Whitton. Hamilton; Ross H. McMaster, Montreal, V. Pres.","whitton","f","h","Pres"
"378",99634,"amm99634","amm",1922,"CANADIAN ZINC PRODUCTS CO., LIMITED.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRON AND STEEL WORKS",NA,NA,NA,NA
"379",99679,"amm99679","amm",1922,"CANADIAN FERRO ALLOYS, LTD., SHAWINIGAN FALLS. EHD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 Electric Furnace. Ferrosilicon: 5000 Tons. Commercial E. Power.",NA,NA,NA,NA
"380",99691,"amm99691","amm",1922,"CANADIAN STEEL FOUNDRIES, LTD., MONTREAL. CHD",NA,NA,"montreal ",-73.567256,45.5016889,NA,NA,"Manager","reid, j i","reid","j","i",NA,"J. I. Reid, Montreal, Quebec, Operating Manager.","reid","j",NA,"Manager"
"381",99804,"amm99804","amm",1922,"YUKON GOLD CO., DAWSON. AHD",NA,NA,"yukon ",-135,64.2823274,NA,NA,NA,NA,NA,NA,NA,NA,"YUKON GOLD CO., DAWSON. AHD",NA,NA,NA,NA
"382",100323,"amm100323","amm",1922,"EL VERDE MINES, GUANACEVI. FGP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STATE OF GUANAJUATO",NA,NA,NA,NA
"383",100755,"amm100755","amm",1922,"MEXICAN LEAD CO., DIENTE, VIA MONTEREY. DHD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zaragosa, San Pablo and San Pedro Lead-Silver-Zinc Mines.",NA,NA,NA,NA
"384",101063,"amm101063","amm",1922,"PLATA-FINA MINING 6. DEVELOPMENT CO.,ALAMOS. LGF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cacharamba Group. Silver-Copper-Gold. Shafts. S. Power. 25 Men.",NA,NA,NA,NA
