"id","volume","year","month","day","page","ppdf","term","loc","org","type","author","method","notes1","notes2","patent","lon","lat","name","lastname","firstname","middlename","simpname","source"
3888,61,1896,5,2,424,433,"Cyanid",NA,NA,"article","William M. Grosvenor Jr.","ctrlf","Adoption of cyanide process/using cyanide process",NA,NA,NA,NA,"William M Grosvenor Jr","grosvenor","william","m","grosvenor, w m","MIT"
4804,89,1910,3,12,553,583,"cyanid",NA,NA,"news","A. W Diack","ctrlf","methods","rapid method for determining copper in slags",NA,NA,NA,"A W Diack","diack","a","w","diack, a w",NA
4411,85,1908,4,4,743,776,"cyanid",NA,NA,"news","M. Dekeyser, G. Verbeke","ctrlf","methods","ore treatment machine",NA,NA,NA,"M Dekeyser, G Verbeke","verbeke","m",NA,"verbeke, m",NA
4497,86,1908,9,5,502,526,"cyanid",NA,NA,"news","H. Evans","ctrlf","methods","metallurgical process",NA,NA,NA,"H Evans","evans","h",NA,"evans, h","colorado"
4497,86,1908,9,5,502,526,"cyanid",NA,NA,"news","W. Buskett","ctrlf","methods","metallurgical process",NA,NA,NA,"W Buskett","buskett","w",NA,"buskett, w",NA
4508,86,1908,9,12,539,563,"cyanid",NA,NA,"article","Eustace Moriarty Weston","ctrlf","methods","tailing elevators on the rand",NA,NA,NA,"Eustace Moriarty Weston","weston","eustace","moriarty","weston, e m",NA
3920,66,1898,8,6,160,225,"cyanid",NA,NA,"article","Sherrard Cowper-Coles","ctrlf","methods experiments price","a long article about recovery solutions, and price of recovery",NA,NA,NA,"Sherrard Cowper-Coles","coles","sherrard",NA,"coles, s",NA
3852,57,1894,11,24,486,527,"Cyanid",NA,NA,"article","non-stated (editor?)","ctrlf","Using cyanide","Use of cyanide of potassium and result of lawsuit with MacArthur-Forrest patents",NA,NA,NA,"non-stated","stated","non",NA,"stated, n",NA
4185,73,1902,2,15,252,287,"cyanid",NA,NA,"letter","Morrill W. Stackpole","ctrlf","methods, experiments","Cyaniding and Amalgamation comparison",NA,NA,NA,"Morrill W Stackpole","stackpole","morrill","w","stackpole, m w",NA
4215,74,1902,7,12,42,73,"cyanid",NA,NA,"article","Morrill D. Stackpole","ctrlf","experiments, prices","new treatment of the slime problem in cyaniding talcose ores",NA,NA,NA,"Morrill D Stackpole","stackpole","morrill","d","stackpole, m d","taime"
4339,78,1904,7,21,108,115,"Cyanid",NA,NA,"review","Nicol Brown (author)","ctrlf","Methods","""The Organization of Gold Mining Business""",NA,NA,NA,"Nicol Brown","brown","nicol",NA,"brown, n","myb"
