source,type,year,number,text,lastname,firstname,simpname,nationality,edu,prof,org,ydeg,loc,country,lat,lon
frei,alumni,1866,2497,"Stephani, Eduard Alexis. Dorpat, RuBland.",Stephani,Eduard Alexis,"Stephani, E  A",estonia,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1866,2498,"Thaulow, Nils Andreas Vibe. Norwegen.",Thaulow,Nils Andreas Vibe,"Thaulow, N  A",norway,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1866,2499,"Weitfeld, Friedrich August. Freiberg, Sachsen.",Weitfeld,Friedrich August,"Weitfeld, F  A",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1866,2500,"Whitney, Drake. New York, V. St. v. A.",Whitney,Drake,"Whitney, D",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1866,2501,"v. Zedtwitz, Arthur Leo Ludw. Leipzig, Sachs.",V Zedtwitz,Arthur Leo Ludw,"V Zedtwitz, A  L",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2502,"Atwill, George Parker. New York, V. St. v. A.",Atwill,George Parker,"Atwill, G  P",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2503,"Borden, William. Chicago, V. St. v. A.",Borden,William,"Borden, W",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2504,"Brady, Samuel. Detroit, Michigan, V. St. v. A.",Brady,Samuel,"Brady, S",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2505,"Bruner, Breston Martin. Emans, Pennsylvanien.",Bruner,Breston Martin,"Bruner, B  M",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2506,"Cabell, Friedr. Ernst. Buckenham, Virg., V. St. v. A.",Cabell,Friedr,"Cabell, F",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2507,"Cahen, Salomon Philipp. New York, V. St. v. A.",Cahen,Salomon Philipp,"Cahen, S  P",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2508,"Crawford, John Jones. Philadelphia, V. St. v. A.",Crawford,John Jones,"Crawford, J  J",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2509,"Curtis, Joseph Story. New York, V. St. v. A.",Curtis,Joseph Story,"Curtis, J  S",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2510,"Dietze, Georg Moritz Constantin. Freiberg, Sachsen. Dipl.Ing. 1871.",Dietze,Georg Moritz Constantin,"Dietze, G  M",germany,Engineer,NA,freiberg school,1871,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2511,"Duval, Charles John. San Francisco, V. St. v. A.",Duval,Charles John,"Duval, C  J",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2512,"Elsasser, Hermann. Stuttgart, Wiirttemberg.",Elsasser,Hermann,"Elsasser, H",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2513,"v. Enzenberg, Graf Hugo. Innsbruck, bsterreich.",V Enzenberg,Graf Hugo,"V Enzenberg, G  H",austria,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2514,"Eurich, Ernst. New York, V. St. v. A.",Eurich,Ernst,"Eurich, E",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2515,"Gabler, Gustav August. Santiago, Chile.",Gabler,Gustav August,"Gabler, G  A",chile,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
