"","text","text2","degree","year","lastname","firstname","middlename","id","simpname","type","source","loc","lon","lat","country","org","edu","position"
"1","James Thom Beard.","Thom ","engineers of mines.","1877","Beard","James","Thom ","1","beard, j t","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"2","Charles Ramsey Buckley, A. B.","Ramsey ","engineers of mines.","1877","Buckley","Charles","Ramsey ","2","buckley, c r","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"3","Linus Bertram Cady.","Bertram ","engineers of mines.","1877","Cady","Linus","Bertram ","3","cady, l b","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"4","Augustus Cass Canfield.","Cass ","engineers of mines.","1877","Canfield","Augustus","Cass ","4","canfield, a c","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"5","Henry Gilbert Clark.","Gilbert ","engineers of mines.","1877","Clark","Henry","Gilbert ","5","clark, h g","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"6","Charles Edwards Colby.","Edwards ","engineers of mines.","1877","Colby","Charles","Edwards ","6","colby, c e","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"7","Charles Louis Constant.","Louis ","engineers of mines.","1877","Constant","Charles","Louis ","7","constant, c l","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"8","George Birdsall Cornell.","Birdsall ","engineers of mines.","1877","Cornell","George","Birdsall ","8","cornell, g b","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"9","Frederick William Floyd.","William ","engineers of mines.","1877","Floyd","Frederick","William ","9","floyd, f w","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"10","Walter Edwards Hildreth.","Edwards ","engineers of mines.","1877","Hildreth","Walter","Edwards ","10","hildreth, w e","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"11","Axel Olaf Ihlseng, B. S.","Olaf ","engineers of mines.","1877","Ihlseng","Axel","Olaf ","11","ihlseng, a o","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"12","William Kelly, A. B.","","engineers of mines.","1877","Kelly","William","","12","kelly, w","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"13","Luiz de Souza Barros.","Souza ","engineers of mines.","1877","Barros","Luizde","Souza ","13","barros, l s","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"14","James Thom Beard.","Thom ","engineers of mines.","1877","Beard","James","Thom ","14","beard, j t","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"15","Edward Behr.","","engineers of mines.","1877","Behr","Edward","","15","behr, e","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"16","Linus Bertram Cady.","Bertram ","engineers of mines.","1877","Cady","Linus","Bertram ","16","cady, l b","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"17","John Britton Cauldwell.","Britton ","engineers of mines.","1877","Cauldwell","John","Britton ","17","cauldwell, j b","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"18","Henry Gilbert Clark.","Gilbert ","engineers of mines.","1877","Clark","Henry","Gilbert ","18","clark, h g","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"19","Charles Edwards Colby.","Edwards ","engineers of mines.","1877","Colby","Charles","Edwards ","19","colby, c e","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"20","Charles Louis Constant.","Louis ","engineers of mines.","1877","Constant","Charles","Louis ","20","constant, c l","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"21","George Birdsall Cornell.","Birdsall ","engineers of mines.","1877","Cornell","George","Birdsall ","21","cornell, g b","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"22","Frederick William Floyd.","William ","engineers of mines.","1877","Floyd","Frederick","William ","22","floyd, f w","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"23","Frank Stuart Helleberg.","Stuart ","engineers of mines.","1877","Helleberg","Frank","Stuart ","23","helleberg, f s","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"24","Walter Edwards Hildreth.","Edwards ","engineers of mines.","1877","Hildreth","Walter","Edwards ","24","hildreth, w e","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"25","James Buckton Mackintosh.","Buckton ","engineers of mines.","1877","Mackintosh","James","Buckton ","25","mackintosh, j b","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"26","John Glenvil Murphy.","Glenvil ","engineers of mines.","1877","Murphy","John","Glenvil ","26","murphy, j g","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"27","Ralph Nichols.","","engineers of mines.","1877","Nichols","Ralph","","27","nichols, r","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"28","Dudley Hiram Norris.","Hiram ","engineers of mines.","1877","Norris","Dudley","Hiram ","28","norris, d h","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"29","James Robert Priest.","Robert ","engineers of mines.","1877","Priest","James","Robert ","29","priest, j r","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"30","William Henshaw Radford.","Henshaw ","engineers of mines.","1877","Radford","William","Henshaw ","30","radford, w h","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"31","Sylvanus Albert Reed, A. B.","Albert ","engineers of mines.","1877","Reed","Sylvanus","Albert ","31","reed, s a","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"32","Charles Louis Rogers.","Louis ","engineers of mines.","1877","Rogers","Charles","Louis ","32","rogers, c l","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"33","Roland Mulville Smythe.","Mulville ","engineers of mines.","1877","Smythe","Roland","Mulville ","33","smythe, r m","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"34","Arthur Thacher.","","engineers of mines.","1877","Thacher","Arthur","","34","thacher, a","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"35","James Fitz Randolph.","Fitz ","engineers of mines.","1877","Randolph","James","Fitz ","35","randolph, j f","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"36","Axel Olaf Ihlseng, B. S. José N abor Pacheco Jordao.","Olaf ","civil engineers.","1877","Ihlseng","Axel","Olaf ","36","ihlseng, a o","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"37","Axel Olaf Ihlseng, B. S. José N abor Pacheco Jordao.","Pacheco ","civil engineers.","1877","Jordao","Joséabor","Pacheco ","37","jordao, j p","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"38","James Buckton Mackintosh.","Buckton ","civil engineers.","1877","Mackintosh","James","Buckton ","38","mackintosh, j b","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"39","John Glenvil Murphy.","Glenvil ","civil engineers.","1877","Murphy","John","Glenvil ","39","murphy, j g","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"40","Ralph Nichols.","","civil engineers.","1877","Nichols","Ralph","","40","nichols, r","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"41","James Robert Priest.","Robert ","civil engineers.","1877","Priest","James","Robert ","41","priest, j r","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"42","Charles Louis Rogers.","Louis ","civil engineers.","1877","Rogers","Charles","Louis ","42","rogers, c l","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"43","Edward Eugene Sage.","Eugene ","civil engineers.","1877","Sage","Edward","Eugene ","43","sage, e e","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"44","Roland Mulville Smythe.","Mulville ","civil engineers.","1877","Smythe","Roland","Mulville ","44","smythe, r m","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"45","Arthur Thacher.","","civil engineers.","1877","Thacher","Arthur","","45","thacher, a","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"46","Robert Ward Van Boskerck.","Ward Van ","civil engineers.","1877","Boskerck","Robert","Ward Van ","46","boskerck, r w","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"47","Cornelius Read Waterbury.","Read ","civil engineers.","1877","Waterbury","Cornelius","Read ","47","waterbury, c r","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"48","Harry Garner Haskell 5. William Arthur Pomeroy","Garner ","engineer of mines","1893","Haskell","Harry","Garner ","48","haskell, h g","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"49","Harry Garner Haskell 5. William Arthur Pomeroy","Arthur ","engineer of mines","1893","Pomeroy","William","Arthur ","49","pomeroy, w a","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"50","John Elmer Jones 6. George Austin Schroter","Elmer ","engineer of mines","1893","Jones","John","Elmer ","50","jones, j e","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"51","John Elmer Jones 6. George Austin Schroter","Austin ","engineer of mines","1893","Schroter","George","Austin ","51","schroter, g a","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"52","Edward Laurence Kurtz 7. Samuel Clifton Thompson","Laurence ","engineer of mines","1893","Kurtz","Edward","Laurence ","52","kurtz, e l","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"53","Edward Laurence Kurtz 7. Samuel Clifton Thompson","Clifton ","engineer of mines","1893","Thompson","Samuel","Clifton ","53","thompson, s c","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"54","Henry Stewart McKee 8. Henry Ashe Tilghman","Stewart ","engineer of mines","1893","McKee","Henry","Stewart ","54","mckee, h s","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"55","Henry Stewart McKee 8. Henry Ashe Tilghman","Ashe ","engineer of mines","1893","Tilghman","Henry","Ashe ","55","tilghman, h a","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"56","Ignacio Ernesto Agramonte 7.","Ernesto ","civil engineer","1893","Agramonte","gnacio","Ernesto ","56","agramonte, g e","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"57","George William Behrman 8.","William ","civil engineer","1893","Behrman","George","William ","57","behrman, g w","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"58","George Hallett Clark g.","Hallett ","civil engineer","1893","Clarkg","George","Hallett ","58","clarkg, g h","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"59","Reginald Guy Foster 1o.","Guy ","civil engineer","1893","Foster","Reginald","Guy ","59","foster, r g","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"60","Reginald Guy Foster 1o.","","civil engineer","1893","o",NA,"","60","o,","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"61","Luther Elwood Gregory II.","Elwood Gregory ","civil engineer","1893","I","Luther","Elwood Gregory ","61","i, l e","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"62","Albert Worthington Hankinson 12.","Worthington ","civil engineer","1893","Hankinson","Albert","Worthington ","62","hankinson, a w","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"63","Charles Rufus Harte","Rufus ","civil engineer","1893","Harte","Charles","Rufus ","63","harte, c r","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"64","Robert Hoyt","","civil engineer","1893","Hoyt","Robert","","64","hoyt, r","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"65","Alfred Liebmann","","civil engineer","1893","Liebmann","Alfred","","65","liebmann, a","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"66","Alexy Joseph Malukoff","Joseph ","civil engineer","1893","Malukoff","Alexy","Joseph ","66","malukoff, a j","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"67","Arthur Dickson Prince","Dickson ","civil engineer","1893","Prince","Arthur","Dickson ","67","prince, a d","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"68","Francis Adolphe Provot","Adolphe ","civil engineer","1893","Provot","Francis","Adolphe ","68","provot, f a","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"69","Milton Church Canfield 2. Frederick Malling Pederson, B.S.","Church ","electrical engineer","1893","Canfield","Milton","Church ","69","canfield, m c","alumni","columbia",NA,NA,NA,NA,NA,"electrical engineer",NA
"70","Milton Church Canfield 2. Frederick Malling Pederson, B.S.","Malling ","electrical engineer","1893","Pederson","Frederick","Malling ","70","pederson, f m","alumni","columbia",NA,NA,NA,NA,NA,"electrical engineer",NA
"71","3. Francis George Robinson","George ","electrical engineer","1893","Robinson","Francis","George ","71","robinson, f g","alumni","columbia",NA,NA,NA,NA,NA,"electrical engineer",NA
"72","Paul Fuentes 4. Edward","","engineer of mines","1894","Fuentes","Paul","","72","fuentes, p","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"73","Paul Fuentes 4. Edward","","engineer of mines","1894","Edward",NA,"","73","edward,","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"74","Frank Chandler Hamilton, A.M. Eng.","Chandler ","engineer of mines","1894","Hamilton","Frank","Chandler ","74","hamilton, f c","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"75","Frank Chandler Hamilton, A.M. Eng.","","engineer of mines","1894","Eng",NA,"","75","eng,","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"76","Harris Kennedy Masters 5. William Young Westervelt","Kennedy ","engineer of mines","1894","Masters","Harris","Kennedy ","76","masters, h k","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"77","Harris Kennedy Masters 5. William Young Westervelt","Young ","engineer of mines","1894","Westervelt","William","Young ","77","westervelt, w y","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"78","Adolph Black 9.","","civil engineer","1894","Black","Adolph","","78","black, a","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"79","Francis Albertson Cokefair 10.","Albertson ","civil engineer","1894","Cokefair","Francis","Albertson ","79","cokefair, f a","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"80","Edward Pell Folger II.","Pell Folger ","civil engineer","1894","I","Edward","Pell Folger ","80","i, e p","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"81","David Joy Greene 12.","Joy ","civil engineer","1894","Greene","David","Joy ","81","greene, d j","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"82","Edward Francis Haas, B.S. 13.","Francis ","civil engineer","1894","Haas","Edward","Francis ","82","haas, e f","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"83","Richard Cochran Hanson 14.","Cochran ","civil engineer","1894","Hanson","Richard","Cochran ","83","hanson, r c","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"84","Meyer Joffe 15.","","civil engineer","1894","Joffe","Meyer","","84","joffe, m","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"85","Edward Marwedel Jones 16.","Marwedel ","civil engineer","1894","Jones","Edward","Marwedel ","85","jones, e m","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"86","Edward William Libaire","William ","civil engineer","1894","Libaire","Edward","William ","86","libaire, e w","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"87","Edwin Henry Messiter","Henry ","civil engineer","1894","Messiter","Edwin","Henry ","87","messiter, e h","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"88","Harold Ashton Parsons","Ashton ","civil engineer","1894","Parsons","Harold","Ashton ","88","parsons, h a","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"89","George Perrine","","civil engineer","1894","Perrine","George","","89","perrine, g","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"90","Juan Miguel Portuando","Miguel ","civil engineer","1894","Portuando","Juan","Miguel ","90","portuando, j m","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"91","Charles Depew Searle","Depew ","civil engineer","1894","Searle","Charles","Depew ","91","searle, c d","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"92","Gerald Fitzgerald Sherman","Fitzgerald ","civil engineer","1894","Sherman","Gerald","Fitzgerald ","92","sherman, g f","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"93","Wilson Fitch Smith","Fitch ","civil engineer","1894","Smith","Wilson","Fitch ","93","smith, w f","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"94","17. William Dunham Vanderbilt","Dunham ","civil engineer","1894","Vanderbilt","William","Dunham ","94","vanderbilt, w d","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"95","Aron Wright Chapman, A.B. 7.","Wright ","electrical engineer","1894","Chapman","Aron","Wright ","95","chapman, a w","alumni","columbia",NA,NA,NA,NA,NA,"electrical engineer",NA
"96","Leroy Clark, Jr. 8.","","electrical engineer","1894","Clark","Leroy","","96","clark, l","alumni","columbia",NA,NA,NA,NA,NA,"electrical engineer",NA
"97","Harry Dubois Frisbee 9.","Dubois ","electrical engineer","1894","Frisbee","Harry","Dubois ","97","frisbee, h d","alumni","columbia",NA,NA,NA,NA,NA,"electrical engineer",NA
"98","George Kemp Mean 10.","Kemp ","electrical engineer","1894","Mean","George","Kemp ","98","mean, g k","alumni","columbia",NA,NA,NA,NA,NA,"electrical engineer",NA
"99","Mariano Luis Mora, C.E.","Luis ","electrical engineer","1894","Mora","Mariano","Luis ","99","mora, m l","alumni","columbia",NA,NA,NA,NA,NA,"electrical engineer",NA
"100","Milbourne Munroe","","electrical engineer","1894","Munroe","Milbourne","","100","munroe, m","alumni","columbia",NA,NA,NA,NA,NA,"electrical engineer",NA
"101","Max Osterberg","","electrical engineer","1894","Osterberg","Max","","101","osterberg, m","alumni","columbia",NA,NA,NA,NA,NA,"electrical engineer",NA
"102","John Lloyd Prince","Lloyd ","electrical engineer","1894","Prince","John","Lloyd ","102","prince, j l","alumni","columbia",NA,NA,NA,NA,NA,"electrical engineer",NA
"103","John Clifford Rennard, A.B,","Clifford ","electrical engineer","1894","Rennard","John","Clifford ","103","rennard, j c","alumni","columbia",NA,NA,NA,NA,NA,"electrical engineer",NA
"104","Charles Tomlinson Rittenhouse,","Tomlinson ","electrical engineer","1894","Rittenhouse","Charles","Tomlinson ","104","rittenhouse, c t","alumni","columbia",NA,NA,NA,NA,NA,"electrical engineer",NA
"105","Mech. Eng.","","electrical engineer","1894","Eng","Mech","","105","eng, m","alumni","columbia",NA,NA,NA,NA,NA,"electrical engineer",NA
"106","Alexander Stratton, B.S.","","electrical engineer","1894","Stratton","Alexander","","106","stratton, a","alumni","columbia",NA,NA,NA,NA,NA,"electrical engineer",NA
"107","12. Lewis Herbert Vail","Herbert ","electrical engineer","1894","Vail","Lewis","Herbert ","107","vail, l h","alumni","columbia",NA,NA,NA,NA,NA,"electrical engineer",NA
"108","I. Leon Hyneman Barnett 7. Louis Doremus Huntoon, Ph.G.","Hyneman ","engineer of mines","1895","Barnett","Leon","Hyneman ","108","barnett, l h","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"109","I. Leon Hyneman Barnett 7. Louis Doremus Huntoon, Ph.G.","Doremus ","engineer of mines","1895","Huntoon","Louis","Doremus ","109","huntoon, l d","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"110","2. Frederick Phinney Bayles 8. Zadok Harry Jarman","Phinney ","engineer of mines","1895","Bayles","Frederick","Phinney ","110","bayles, f p","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"111","2. Frederick Phinney Bayles 8. Zadok Harry Jarman","Harry ","engineer of mines","1895","Jarman","Zadok","Harry ","111","jarman, z h","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"112","3. Benjamin Palmer Carter 9. William Bradford McKinlay","Palmer ","engineer of mines","1895","Carter","Benjamin","Palmer ","112","carter, b p","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"113","3. Benjamin Palmer Carter 9. William Bradford McKinlay","Bradford ","engineer of mines","1895","McKinlay","William","Bradford ","113","mckinlay, w b","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"114","4. Max Dobbins I0. John Seward","","engineer of mines","1895","Dobbins","Max","","114","dobbins, m","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"115","4. Max Dobbins I0. John Seward","","engineer of mines","1895","Seward","John","","115","seward, j","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"116","5. Benjamin Britton Gottsberger 11. Morril Boughton Spaulding","Britton ","engineer of mines","1895","Gottsberger","Benjamin","Britton ","116","gottsberger, b b","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"117","5. Benjamin Britton Gottsberger 11. Morril Boughton Spaulding","Boughton ","engineer of mines","1895","Spaulding","Morril","Boughton ","117","spaulding, m b","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"118","6. ChaIles Simon Herzig 12. Lowe Whiting","Simon ","engineer of mines","1895","Herzig","ChaIles","Simon ","118","herzig, c s","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"119","6. ChaIles Simon Herzig 12. Lowe Whiting","","engineer of mines","1895","Whiting","Lowe","","119","whiting, l","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"120","I 3. Roberto Yrizar","","engineer of mines","1895","Yrizar","Roberto","","120","yrizar, r","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"121","I. Joseph Albert Alexander IO. Clarence Frost Horton","Albert ","civil engineer","1895","Alexander","Joseph","Albert ","121","alexander, j a","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"122","I. Joseph Albert Alexander IO. Clarence Frost Horton","Frost ","civil engineer","1895","Horton","Clarence","Frost ","122","horton, c f","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"123","2. David Henry Baldwin 11. William Bard Johnstone","Henry ","civil engineer","1895","Baldwin","David","Henry ","123","baldwin, d h","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"124","2. David Henry Baldwin 11. William Bard Johnstone","Bard ","civil engineer","1895","Johnstone","William","Bard ","124","johnstone, w b","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"125","3. Joshua Binion, B.S. 12. Samuel Osgood Miller","","civil engineer","1895","Binion","Joshua","","125","binion, j","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"126","3. Joshua Binion, B.S. 12. Samuel Osgood Miller","Osgood ","civil engineer","1895","Miller","Samuel","Osgood ","126","miller, s o","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"127","4. Edward Coykendall 13. Leon Solomon Moisseieff","","civil engineer","1895","Coykendall","Edward","","127","coykendall, e","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"128","4. Edward Coykendall 13. Leon Solomon Moisseieff","Solomon ","civil engineer","1895","Moisseieff","Leon","Solomon ","128","moisseieff, l s","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"129","5. Henry Welles Durham 14. Charles Paul Peugnet","Welles ","civil engineer","1895","Durham","Henry","Welles ","129","durham, h w","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"130","5. Henry Welles Durham 14. Charles Paul Peugnet","Paul ","civil engineer","1895","Peugnet","Charles","Paul ","130","peugnet, c p","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"131","6. Ira Nash Evans I5. Herbert Pinkham","Nash ","civil engineer","1895","Evans","Ira","Nash ","131","evans, i n","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"132","6. Ira Nash Evans I5. Herbert Pinkham","","civil engineer","1895","Pinkham","Herbert","","132","pinkham, h","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"133","7. Ernest August von Fintel, Jr., 16. Lucien Rowland Shattuck, B.S.","Augustvon ","civil engineer","1895","Fintel","Ernest","Augustvon ","133","fintel, e a","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"134","7. Ernest August von Fintel, Jr., 16. Lucien Rowland Shattuck, B.S.","Rowland ","civil engineer","1895","Shattuck","Lucien","Rowland ","134","shattuck, l r","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"135","B.S. I7. Charles Douglas Shrady","Douglas ","civil engineer","1895","Shrady","Charles","Douglas ","135","shrady, c d","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"136","8. Charles Gartensteig, B.S. I8. John Henry Stewart","","civil engineer","1895","Gartensteig","Charles","","136","gartensteig, c","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"137","8. Charles Gartensteig, B.S. I8. John Henry Stewart","Henry ","civil engineer","1895","Stewart","John","Henry ","137","stewart, j h","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"138","9 Frank Joseph Morgan Grace 19. Edwin Howard Themes, Ph.B.","Joseph Morgan ","civil engineer","1895","Grace","Frank","Joseph Morgan ","138","grace, f j","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"139","9 Frank Joseph Morgan Grace 19. Edwin Howard Themes, Ph.B.","Howard ","civil engineer","1895","Themes","Edwin","Howard ","139","themes, e h","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"140","20. Frederick Warwick Walker","Warwick ","civil engineer","1895","Walker","Frederick","Warwick ","140","walker, f w","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"141","Percy Morris Burrill Charles Of","Morris Burrill Charles ","engineer of mines","1896","Of","Percy","Morris Burrill Charles ","141","of, p m","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"142","Allan Jay Clark","Jay ","engineer of mines","1896","Clark","Allan","Jay ","142","clark, a j","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"143","Charles Drasel","","engineer of mines","1896","Drasel","Charles","","143","drasel, c","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"144","Edwin Chapin Holden, B.S.","Chapin ","engineer of mines","1896","Holden","Edwin","Chapin ","144","holden, e c","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"145","Richard Stanislaus McCaffery","Stanislaus ","engineer of mines","1896","McCaffery","Richard","Stanislaus ","145","mccaffery, r s","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"146","William Lytle McConway","Lytle ","engineer of mines","1896","McConway","William","Lytle ","146","mcconway, w l","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"147","Robert Kitching Painter","Kitching ","civil engineer","1896","Painter","Robert","Kitching ","147","painter, r k","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"148","Richard Alexander Parker, C.E.","Alexander ","civil engineer","1896","Parker","Richard","Alexander ","148","parker, r a","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"149","Herman Alfred Prosser","Alfred ","civil engineer","1896","Prosser","Herman","Alfred ","149","prosser, h a","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"150","Arthur Emil Riedel","Emil ","civil engineer","1896","Riedel","Arthur","Emil ","150","riedel, a e","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"151","William Stevens Thyng","Stevens ","civil engineer","1896","Thyng","William","Stevens ","151","thyng, w s","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"152","Frederick Auryansen George Quintard Palmer","Auryansen George Quintard ","civil engineer","1896","Palmer","Frederick","Auryansen George Quintard ","152","palmer, f a","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
