loc,lon,lat
basinghall avenue b,-0.0905694,51.516883
basinghall street e,-0.0911072,51.516026
basinghau street e,-0.0911072,51.516026
basingliall street e,-0.0911072,51.516026
basinithau street b,-0.0911072,51.516026
basinrhall street b,-0.0911072,51.516026
baslnghall street k,115.8976158,-31.9893686
baslnghnl street e,-0.0911072,51.516026
baslnullall street lomlnn li,-0.1277583,51.5073509
batopilas,-107.7362336,27.030387
bayonne,-74.1143091,40.6687141
bayston road stoke,-0.0719358,51.558908
bbiddarhalli s and lohavalli,77.7158771,13.0613596
beaconsfield road twickenham engineer l,-0.320671,51.4536582
beckenham road penge auctioneer share,-0.0477127,51.4111173
bed mountain district,-116.4536328,34.6277701
bedford,-97.1430671,32.844017
beit street beit street,28.0579355,-26.1945688
belgium,4.469936,50.503887
belgrave street eaton square,-0.1487703,51.4970982
belleisle street working ton,-3.5576833,54.6445265
belleville,-89.9839935,38.5200504
bellows,-117.1657,33.122898
belmont,-95.2638489,37.3383899
belsize avenue n,-0.1687256,51.5499574
belsize road south hampstead,-0.1866086,51.5400244
belvedere road upper,-0.0767095,51.415608
bengal,87.8549755,22.9867569
bennett street st,-89.0619396,42.3081655
benton,-92.586828,34.5645371
benyon road n,-75.7235853,41.4952662
berestcdo road uainmcramith accountant,-0.6614782,51.3950669
berkeley,-122.273042,37.8715226
berlin,13.404954,52.5200066
bernard street leith is a,-3.1679907,55.9759152
bernard street loith,-3.1679907,55.9759152
berrida s at gogo,150.4154422,-34.488229
bessemer,-86.954437,33.4017766
best supplied their reason for,-95.712891,37.09024
bethlehem,35.2024425,31.7053821
bethune road n,-80.4259691,34.4774992
between cloncurry and normanton,140.5053246,-20.7068535
between the edinburgh and the,-3.1529077,55.9558372
between the rivers sebakwe and,29.8945498,-18.8639962
between the sekondi and tarkwa,-1.7830973,4.9015794
bewbey road warrington lancashire,-2.5969501,53.3900441
bewsey road warrimzton,-2.6029119,53.3953903
bewsey road warrington lancashire,-2.6029119,53.3953903
biahopsgate street e c phnnp,-0.0810585,51.5167977
biehopegate street within b,-0.0810585,51.5167977
billiter street b,-0.0803444,51.5127681
billiter street m,-0.0803444,51.5127681
bingera,152.218889,-24.968333
bingham,-111.9464736,40.5637801
bioad street house e,-82.9239729,39.9704087
biomfleld street kc,-94.5785667,39.0997265
bionl street e,-2.2629117,53.7919788
birchauger road south norwood commercinl,-0.0716,51.3981336
birchin lane b,-0.0863796,51.5128535
birkbeck road tottenham accountant,-0.068151,51.5995134
birmingham,-86.8103567,33.5185892
bisbee,-109.9284084,31.4481547
bisbopsgate street within e,-0.0810585,51.5167977
bischoff,-95.9657592,36.1449949
bishcpsgato street b,-0.0810585,51.5167977
bishnpsirato street within k,-105.0001969,39.7507059
bishopsgate street b,-0.0810585,51.5167977
bishopsgate street commission,-71.1838998,42.3340927
bishopsgate street ex,-0.0810585,51.5167977
bishopsgate street mining share dealer,-0.0810585,51.5167977
bishopsgate street secretary,-0.0810585,51.5167977
bishopsgate street sharebroker,-0.0809563,51.5162237
bishopsgate street stock and,-0.0810585,51.5167977
bishopsgate street within,-1.9152702,52.4736697
bishopsgate street within b,-0.0810585,51.5167977
