"","id","role","name","lastname","middlename","firstname","simpname","year","yearg","company","capital","text","office","situated","mine","loc","lon","lat"
"2544",491428,"Superintendent","sir grillth thomas","thomas","grillth","sir","thomas, s g",1911,NA,"English Crown Spelter Company Limited",NA,"Superintendent Sir Grifllth Thomas, Kt. E. Windsor Carlyle, Ponte-di-Nossa, Bergamo, Italy.",NA,NA,NA,"spain",-3.74922,40.463667
"2545",491512,"Engineer","f w north","north","w","f","north, f w",1911,NA,"Esmeralda Consolidated Mines Mexico Limited",NA,"Conrulting Engineer F. W. North. 106, Fordwych Road, West Hampstead, N.W.","fordwych road west hampstead n",NA,NA,"fordwych road west hampstead n",-0.2037068,51.5500568
"2546",491513,"Engineer","j j nioholl","nioholl","j","j","nioholl, j j",1911,NA,"Esmeralda Consolidated Mines Mexico Limited",NA,"Kesident Engineer J. J. Nioholl.",NA,NA,NA,"fordwych road west hampstead n",-0.2037068,51.5500568
"2547",491749,"Engineer","p l foster","foster","l","p","foster, p l",1911,NA,"Exploration Company England Mexico Limited",NA,", Mining Engineer P. L. Foster, 111, Broadway, New York, U.S.A.",NA,NA,NA,"broadway",-94.7053013,37.3961631
"2548",491844,"Engineer","f dietzach","dietzach",NA,"f","dietzach, f",1911,NA,"Falmouth Consolidated Mines Limited",NA,"Consulting Engineer F. Dietzach. A.R.S.M., Salisbury House, E.C. Consulting; Civil Engineers Sir Douglas Fox & Partner . Managing John Edwnrds, Truro.",NA,NA,NA,"salisbury",-75.5993692,38.3606736
"2549",491873,"Superintendent","j c vivian","vivian","c","j","vivian, j c",1911,NA,"Famatina Development Corporation Limited",NA,"3, London Wall, Buildings, E.C. Mine Superintendent J. C. Vivian.",NA,NA,NA,"london",-0.1277583,51.5073509
"2550",491874,"Manager","a wilton jenks","jenks","wilton","a","jenks, a w",1911,NA,"Famatina Development Corporation Limited",NA,"Besident Manager A. Wilton Jenks, Santa Florentine, Chileoito, Provmcea la Rioja,",NA,NA,NA,"london",-0.1277583,51.5073509
"2551",492028,"Manager","wm johnson","johnson",NA,"wm","johnson, w",1911,NA,"Ffaldau Collieriewsi Company Limited",NA,"Colliery Manager Wm. Johnson, Pontycymmer, Glamorganshire.",NA,NA,NA,"cardiff",-3.17909,51.481581
"2552",492048,"Manager","c augnstns carlow","carlow","augnstns","c","carlow, c a",1911,NA,"Wishaw Coal Company Limited",NA,"Manager C. Augnstns Carlow.",NA,NA,NA,"jordan",-97.3342624,37.9973704
"2553",492242,"Manager","arthur burr","burr",NA,"arthur","burr, a",1911,NA,"Foncage Syndicate Limited",NA,"Life Manager Arthur Burr. ConsultingEngineer G. H. Hollingworth, F.G.8., M.I.M.E., 37, Cross Street, Manchester.","cross street manchester",NA,NA,"manchester",-2.2426305,53.4807593
"2554",492243,"Engineer","malcolm burr","burr",NA,"malcolm","burr, m",1911,NA,"Foncage Syndicate Limited",NA,"Resident Engineer Malcolm Burr, B.A., A.R.S.M., F.G.S., Dover.",NA,NA,NA,"manchester",-2.2426305,53.4807593
"2555",492525,"Manager","f w north","north","w","f","north, f w",1911,NA,"Gaerwen Syndicate Limited",NA,"General Manager and Consulting Engineer F. W. North, F.G.S. Solicitors .Tennintrf Sod & Allen. | Auditor C L. Awbery. Secretary and Offices P. Milner, 62, Old Broad Street, E.O.","broad street london",NA,NA,"broad street london",-0.0831981,51.5168279
"2556",492614,"Manager","e r fisher","fisher","r","e","fisher, e r",1911,NA,"Gellidare Colliery Company Limited",NA,"Manager E. R. Fisher, Wansljcck, Ammanford, R.S.O.",NA,NA,NA,"swansea",-3.943646,51.62144
"2557",492676,"Engineers","l bozan","bozan",NA,"l","bozan, l",1911,NA,"General Mining Metallurgical Syndicate Limited",NA,"Advisory French Engineers L. Bozan ; F. GnaiD.",NA,NA,NA,"london",-0.1277583,51.5073509
