"","id","year","company","capital","minerals","owns","owned","doutput","technology","incor","loc","text","lastname","firstname","middlename","prof"
"153","mmm788",1926,"cia. de real del monte y pachuca",NA,NA,"see also: cia. Metalurgica de atotonilco el chico, pachua, hgo. Cia. Exploradora de hildalgo, s. a., pachuca, hgo. Cia. Exploradora, s. a., tepic, nay.",NA,NA,NA,NA,"hidalgo","see also: cia. Metalurgica de atotonilco el chico, pachua, hgo. Cia. Exploradora de hildalgo, s. a., pachuca, hgo. Cia. Exploradora, s. a., tepic, nay.","coutts","n",NA,"master mech."
"154","mmm790",1926,"cia. min. de guadalupe hidalgo y an. s. a.",NA,NA,NA,NA,NA,NA,"organized, in mexico ., ","hidalgo","organized, in mexico ., ",NA,NA,NA,NA
"155","mmm793",1926,"cia. min. de guadalupe hidalgo y an. s. a.",NA,NA,"this company is leased to the cía. Explorado de hidalgo, s. a.",NA,NA,NA,NA,"hidalgo","this company is leased to the cía. Explorado de hidalgo, s. a.",NA,NA,NA,NA
"156","mmm812",1926,"cia. de santa gertrudis s. a.",NA,NA,NA,NA,NA,NA,NA,"pachuca hgo","asst. grl. Mgr., f. h. walsh, pachuca, hgo.","walsh","f",NA,"asst. grl. Mgr."
"157","mmm822",1926,"cia. Dos carlos s. a.",NA,NA,"this co. is a subsidiary of cia. De santa gertrudis, s. a.",NA,NA,NA,NA,"hidalgo","this co. is a subsidiary of cia. De santa gertrudis, s. a.",NA,NA,NA,NA
"158","mmm832",1926,"cia. Metalurgica de atotonilco el chico",NA,NA,NA,NA,NA,NA,NA,"pachuca hgo","director, m. h. kuryla, pachuca, hgo.","kunze","michael",NA,"director"
"159","mmm836",1926,"cia. minera y fundidora de zimapan s. a",NA,NA,NA,NA,NA,NA,NA,"zimapan hgo","location & p. o., zimapan,, hgo., ",NA,NA,NA,NA
"160","mmm846",1926,"el chico gold-silver mining co. s. a.",NA,NA,NA,NA,NA,NA,NA,"el chico hgo","location, el chico, hgo., ",NA,NA,NA,NA
"161","mmm853",1926,"negociacion minera de san rafael y anexas s. a.",NA,NA,NA,NA,NA,NA,"organized, in mexico in 187 4 ., ","hidalgo","organized, in mexico in 187 4 ., ",NA,NA,NA,NA
"162","mmm862",1926,"negociacion minera de san rafael y anexas s. a.",NA,NA,NA,NA,NA,NA,NA,"mexico df","secr., lic. alfonso septien, mexico, d. f.","september","lic",NA,"secr."
"163","mmm871",1926,"negociacion minera de san rafael y anexas s. a.",NA,NA,NA,NA,NA,NA,NA,"pachuca hgo","grl. storekeeper, j. ramila, pachuca, hgo.","raleigh","j","local","grl. storekeeper"
"164","mmm871",1926,"negociacion minera de san rafael y anexas s. a.",NA,NA,NA,NA,NA,NA,NA,"pachuca hgo","grl. storekeeper, j. ramila, pachuca, hgo.","raleigh","j","local","grl. storekeeper"
"165","mmm874",1926,"negociacion minera hacienda purisma grande y minas guadalupe y anexas",NA,NA,NA,NA,NA,NA,NA,"grande pachuca hgo","location, hda. Purisima grande,, pachuca, hgo",NA,NA,NA,NA
"166","mmm882",1926,"negociacion minera hacienda purisma grande y minas guadalupe y anexas",NA,NA,NA,NA,NA,NA,NA,"mexico df","secr., m. serralde, mexico, d. f.","serjeant","m",NA,"secr."
"167","mmm887",1926,"amparo mining co.",NA,NA,NA,NA,NA,NA,"organized, in 1902 in New Jersey, ","jalisco","organized, in 1902 in New Jersey, ",NA,NA,NA,NA
"168","mmm891",1926,"amparo mining co.",NA,NA,NA,NA,NA,NA,NA,"city office gante","mexico city office, gante 8., ",NA,NA,NA,NA
