"","loc","lon","lat"
"235","the colar goldiields",NA,NA
"236","the colony",NA,NA
"237","the colony of",NA,NA
"238","the coro",NA,NA
"239","the counties of",NA,NA
"240","the county of",-117.8753858,33.7511884
"241","the de kaap",NA,NA
"242","the de knap",NA,NA
"243","the delimi river",NA,NA
"244","the depart",NA,NA
"245","the department of",NA,NA
"246","the departments of",NA,NA
"247","the diamantina",NA,NA
"248","the district",NA,NA
"249","the district of",NA,NA
"250","the districts of",NA,NA
"251","the dominion",NA,NA
"252","the du",NA,NA
"253","the duffryn",NA,NA
"254","the duiiryu",NA,NA
"255","the dutch east",NA,NA
"256","the east",NA,NA
"257","the east and",NA,NA
"258","the eastern denkera",NA,NA
"259","the eastern witwatersrand",NA,NA
"260","the english ana",NA,NA
"261","the enterprise district",NA,NA
"262","the estates",NA,NA
"263","the eutherglen goldfield",NA,NA
"264","the far east",NA,NA
"265","the farms langlaagte",NA,NA
"266","the farms lansrlaagte",NA,NA
"267","the farms steinccal",NA,NA
"268","the farms steincoal",NA,NA
"269","the farms stoinooal",NA,NA
"270","the federated",NA,NA
"271","the federated inlay",NA,NA
"272","the federated malay",NA,NA
"273","the following terms",NA,NA
"274","the forest of",NA,NA
"275","the free stal",NA,NA
"276","the free state",NA,NA
"277","the french",NA,NA
"278","the french colony",NA,NA
"279","the french ivnrv",NA,NA
"280","the french ivory",NA,NA
"281","the frenoh ivory",NA,NA
"282","the game district",NA,NA
"283","the gcgerddan estate",NA,NA
"284","the gclofvin",NA,NA
"285","the gogerddan estate",NA,NA
"286","the gold",NA,NA
"287","the gold coast",NA,NA
"288","the gold cosst",NA,NA
"289","the golofvin",NA,NA
"290","the goloiv m",NA,NA
"291","the goloivin",NA,NA
"292","the ground he",NA,NA
"293","the hartley hill",NA,NA
"294","the heilbron and",NA,NA
"295","the hiddelburg district",NA,NA
"296","the hliddle",NA,NA
"297","the ifatar",NA,NA
"298","the immediate vicinity",NA,NA
"299","the innebah district",NA,NA
"300","the island of",NA,NA
"301","the island oi",NA,NA
"302","the islands of",NA,NA
"303","the isle of",NA,NA
"304","the islmd of",NA,NA
"305","the ivory coast",-5.54708,7.539989
"306","the jora district",NA,NA
"307","the jos and",NA,NA
"308","the js and",NA,NA
"309","the jumbil river",NA,NA
"310","the kabligatti line",NA,NA
"311","the khotsk region",NA,NA
"312","the kiuta district",NA,NA
"313","the klerksdorp",NA,NA
"314","the klon",NA,NA
"315","the knruman district",NA,NA
"316","the knysna district",NA,NA
