"","id","source","year","company","capital","lastname","firstname","middlename","role","loc","text","simpname","name","srch","temp","geometry"
"397963","myb206552","myb",1895,"Company Limited",3731114,NA,NA,NA,NA,"venezuela","No dividend was paid after amalgamation until the 10th June, 1891, when 3s.",NA,NA,"amalgamati","myb",c(-66.58973, 6.42375)
"398254","myb206699","myb",1895,"Directors",NA,NA,NA,NA,NA,"belgium","and important results to the company from actual crushings of stone.",NA,NA,"crushing","myb",c(4.469936, 50.50389)
"398631","myb206943","myb",1895,"Bavenscliff Mining",293255.1,NA,NA,NA,NA,"new zealand","provide the further working capital required for introducing the cyanide process",NA,NA,"cyanid","myb",c(174.886, -40.90056)
"399422","myb207540","myb",1895,"Company Limited",NA,NA,NA,NA,NA,"london",".meet with the approval of smelters and are readily saleable. Up to the 1st December, 1894,",NA,NA,"smelter","myb",c(-0.1277583, 51.50735)
"400348","myb208246","myb",1895,"Silver Bell Mining And Smelting Company",73313.78,NA,NA,NA,NA,"london","An agreement has been entered into for amalgamation with the Waterloo",NA,NA,"amalgamati","myb",c(-0.1277583, 51.50735)
"400412","myb208389","myb",1895,"South Condurrow Mining Company",NA,NA,NA,NA,NA,"clinton","This company is an amalgamation of the West Bassett Mining Company and the",NA,NA,"amalgamati","myb",c(-93.77827, 38.36863)
"401034","myb208938","myb",1895,"Tharsis Sulphur And Copper Company",6109482,NA,NA,NA,NA,"spain","mines in Spain, and in 1878 effected an amalgamation with the Huelva Freix",NA,NA,"amalgamati","myb",c(-3.74922, 40.46367)
"401150","myb209240","myb",1895,"Transito Company Limited",488758.6,NA,NA,NA,NA,"lima","es. Roasting- furnaces and leaching plant, together with stamp mills com",NA,NA,"Roast","myb",c(-77.04275, -12.04637)
"401171","myb209365","myb",1895,"True Blue Block Gold Mining Company",122189.6,NA,NA,NA,NA,"queensland",".00,000 shares of 5s. each, paid up to 8Jd. per share December, 1894 . The company has recently purchased a large crushing mill, and keeps 20",NA,NA,"crushing","myb",c(142.7028, -20.91757)
"401174","myb209368","myb",1895,"True Blue Block Gold Mining Company",122189.6,NA,NA,NA,NA,"queensland","I0,666oz. of gold, the reef being about 3ft. wide. The November crushing was",NA,NA,"crushing","myb",c(142.7028, -20.91757)
"401257","myb209516","myb",1895,"United Jackets Gold Mines Limited",733137.8,NA,NA,NA,NA,"sydney","iver, and 2 miles from the township of Canowicdra, which is about 20 miles torn the railway station of Cowra ; the latter is 218 miles due west of Sydney, and is on the branch railway connecting the southern main line with the Western. The consideration for the property was £135,000, payable £15,000 in cash and £120,000 in fully -paid shares. The authorised capital is £150,000, in 150,000 shares of £1 each, of which 000were offered for subscription in June, 1894, payable 5s. on application, 5s. allotment, 5s. one month and 5s. three months after allotment. The number f any of shares allotted cannot be ascertained. 404 THE MINIXG . UNITED JACKETS GOLD The following are extracts from the prospectus : The properties have been reported upon by following experts : William Nicholas, F.G.S., Cons. M.E. W. H. J. 81ee, F.K.8. A. Spencer Ellani, M.E. William Croucher, late manager of the Bine Jacket Mine. The Blue Jacket Mine, worked by the limited means of a 5-stamp battery and a horw whim, has produced up to the end of 1S93, from alwut 5,500 tons of ore, nearly 8,500oz. of gold, valued, at over £3-4,000, being rather more than loz. lldwt. per ton. At the date of the reports the owners had reached a depth of 316ft. They have steadily followed the Main Beef down, and as each 100ft. level was reached, the yield increased from Sjdwt. at surface, to 22dwt. at 100ft. level, and the ore has milled over 2oz. at the 275ft. level, where two more reefs averaging 2ft. and 1ft. 6in. in width respectively, were found. The directors are informed that by systematic development the output from the Blue Jacket Mine alone can be increased to 180 tons weekly or 9,000 tons for 300 working days. From calculations, based on the average contents of stone in the past, fl.000 tons of ore, yielding loz. 1ldwt. of gold per ton, would produce 13,950oz. gold at £i per ounce £55,800 CoBt of raising and crushing 0,000 tons, at say £1 per ton 9,000 £46,800 Expenses in London and Sydney, say 1,900 Showing an estimated profit of £45.oon The above calculation is based upon the ore from the Blue Jacket alone, containing only loz. lldwt. gold, but it is expected that the quartz will average over 2oz. per ton below the 276ft. level. The above estimate of profits from the Blue Jacket Mine would pay a dividend of about per cent, upon the whole feharo capital of the company. This return would be greatly augmented when the Red Jacket and other mines are sufficiently developed to increase the milling capacity, say to 40 stamps, which it is hoped can be done in less than one year. It is proposed by sinking the shaft on the Blue Jacket property to open up the extensive and rich ore bodies below the 275ft. level, and also work the continuation of the reefs into the Red Jacket property through the same shaft, which will be fitted with steam hoisting gear. It 18 also proposed to erect a 20-stamp battery which can bo increased to 40 stamps as soon aa the output requires it. The following contract has been entered into: Dated 7th day of May, 18J4, made between Frederick Arthur Cohen the attorney for the vendors and Hubert J. Tirumper, as trustee fof and on behalf of the company. Other arrangements have been entered into with various persons with regard to payment of expenses , and guaranteeing subscription of capital, which applicants for shares will be deemed to have had notice of. UNITED MEXICAN MINING COMPANY, LIMITED. Directors. John Grove Johnson, Chairman. | Lieut.-Gen. John Walpole D Oyley, Deputy Ciairm; . Lewis Henry Perry. J Septimus Goldsmid. | Charles James Palmer. | Julius Rucse. Solicitors. Auditors. Traverg-Smith, Braithwaite, and Robinson. Turquand, Youngs, and Co. Bankers. Manager. Lloyds Bank, Limited. Dirk StmmpeL Secretary. Offices. W. Leigh Hunt. 3, Great Winchester Street, E.C. This company was registered on the 1st July, 1862, to take over tho business of the United Mexican Mining Association and to carry on Bilver mining operations in Mexico. The company is interested in the San Cayetano, El Cubo, and Santa Cecilia properties, a the State of Guanajuato, Mexico. The San Cayetano property, consisting of 20 mines and com prising al ut 770 acres, is worked by a partnership in which this company holds 20 18537 shares, and the Adit partners hold 3 7n31625, the net profits being divided in the 1",NA,NA,"crushing","myb",c(151.2093, -33.86882)
"401285","myb209588","myb",1895,"United Minerals Syndicate Limited",610948.2,NA,NA,NA,NA,"italy","A scheme of amalgamation with the Italian and Spanish Mining Company,",NA,NA,"amalgamati","myb",c(12.56738, 41.87194)
"401474","myb209760","myb",1895,"Victoria And Altamira Limited",977517.1,NA,NA,NA,NA,"london","Reef , Limited. Under the amalgamation Bchome the liquidator received 345,000 preference",NA,NA,"amalgamati","myb",c(-0.1277583, 51.50735)
"401530","myb209785","myb",1895,"Victoria And Altamira Limited",234604.1,NA,NA,NA,NA,"queensland","512ft. depth on 30th June, 1893, and crushings from the same to 30th November",NA,NA,"crushing","myb",c(142.7028, -20.91757)
"401560","myb209800","myb",1895,"Victoria And Altamira Limited",234604.1,NA,NA,NA,NA,"dalton","iu erection, and opening out of the mine. A crushing of about 120 tons is now going through",NA,NA,"crushing","myb",c(-84.97022, 34.7698)
"402347","myb210006","myb",1895,"Waihi Gold Mining Company Limited",782013.7,NA,NA,NA,NA,"new zealand","atment of the company s ore by the cyanide process having proved successful, the directors",NA,NA,"cyanid","myb",c(174.886, -40.90056)
"402353","myb210009","myb",1895,"Waihi Gold Mining Company Limited",782013.7,NA,NA,NA,NA,"new zealand","e treatment of the ore product by the cyanide process is also attended with several collateral",NA,NA,"cyanid","myb",c(174.886, -40.90056)
"403006","myb210380","myb",1895,"Company Limited",NA,NA,NA,NA,NA,"london","Amalgamation with some neighbouring company was proposed, as the working",NA,NA,"Amalgamati","myb",c(-0.1277583, 51.50735)
"403481","myb210600","myb",1895,"West Austbalian Minebals",146627.6,NA,NA,NA,NA,"western","them ; to place upon the market for sale, or flotation, properties with which it",NA,NA,"flotat","myb",c(-95.71276, 37.09375)
"404697","myb211314","myb",1895,"Wynnstay Collieries Limited",488758.6,NA,NA,NA,NA,"western","Tnnstay Collieries, situate about half a mile from Buabon Station on the Great Western Railway. The authorised capital is £100,000, in 10,000 shares of £10 each j 7,000 shares heen issned and £62,310 paid up, 3,924 shares being fully paid, and 3,076 having £7 10s. per share called up. The capital was increased from £60,000 to £ 0,000 on the 5th August, 1892, and again increased to its present amount on 27th September, 1893. There are also five per cent, debentures amounting to £10,000, being part of n authorised issue of £30,000. The following dividends have been paid : WW, 22J per cent. | 18901, 25 per cent. I 1891-2, 15 per cent. | 1892-3, 31 per cent. None since. The accounts are made up annually to the 30th June and submitted at ancheiter in October. Those to the 30th Juno, 1893. submitted on the 27th 442 THU . WYNNSTAY COLLIERIES September, 1893, showed a profit for the year of £695 10s. 5d., which with the balance at the 30th Jane, 1892, made a disposable sum of £2,859 19s. .VI. ; the dividend for the year absorbed £1,717 14s. 4d., and £1,142 5s. Id. waa carried forward. The accounts to the 30th June, 1894, submitted on the 5th October, 1894, showed a loss on the year of £7,470 0s. 8d. Deducting from this the credit balance forward left a debit to profit and loss of £6,327 15s. 7d. Reserve fund, £3,000. Bank overdraft, £7,759 10s. lOd. The loss was attributed to the coal strike. Transfer form, common ; fee, 2s. 6d. per deed. YERRAKONDA GOLD MINING COMPANY, LIMITED. Directors. Major-General G. le la Poor Beresfonl, Chairman. Colonel B. Pemberton Pigott. | Robert Taylor. | Capt. William Bell McTaggan. Managers. Mining Manager. Solicitors. Auditors. John Taylor and Sons. M. Scantlebury. Blunt and Co. J. and A. W. Sully, Bankers. Secretary. Offices. Union Bank of Scotland, Limited. John Garland. 8 and 7, Queen Street Place, E.C. This company was registered on the 15th November, 1894, and is a reconstroo tion of the South- East Mysore Gold Company, Limited. The South-East Mysore Gold Company, Limited, was registered on the 23rd November, 1801, and waa a reconstruction of a company of the aame name, reiristered on the 22nd October, 1880, for the purpose of acquiring a lease of a mining aett called the South-East Mysore, situate in the Colar Gold Field, India. The purchase consideration paid by the old SouthKast Mysore Company was £80,000, of which £37,000 was in cash and £43,000 in fully-paid shares. In June, 1803, it was announced that no payable gold had been discovered on the property and the directors subsequently acquired from the Gold Fields of Mysore, Limited, an option u purchase the Yerrakonda Block, 296 acres in extent, situate at the southern end of the Cola Gold Field. In 1804, a piece of laud, being an extension of the Yerrakonda Block, was acquire from the Mysore Reefs Company for £500, in 2,800 fully-paid shares. In order to provide fond for the development of the Yerrakonda Block, it was decided to reconstruct the company, anil accordingly at a meeting held on the 25th October, 1804, a resolution was passed to wind nj voluntarily, which was confirmed on the 10th November, 1894, the secretary, John Gartod being appointed liquidator. The company has an option until July, 1895, from the Mysore Government, ol a piece of land adjacent to the Yerrakonda Block ; the terms of purchase han been fixed at £10,000, payable £5,000 in cash and £5,000 in fully-paid shares. The authorised capital is £45,000, in 225,000 shares of 4s. each. Under thi scheme of reconstruction 187,491 shares credited with 2s. per share as paid wer offered to the shareholders in the South-East Mysore Company, being one shan in the new company with a liability of 2s. in exchange for each 4s. folly-paid shar in the old company. Transfer form, common ; fee, 2s. 6d. per deed. Latest price 2s. 6d. paid 3s. 6d., 4s. YILGARN SYNDICATE, LIMITED. Direotors. S. MacLeay. | J R. Clipperton. | G. H. M. Batten. Secretary. Offices. Baillie Peyton Ward. 103, Winchester House, K.C. This syndicate was registered on the 18th July, 1894, to acquire lands ats mining properties in Western Australia. The authorised capital is £1,500, in 1,500 shares of £1 each. ZAPOPAN MINES, LIMITED. Directors. Charles Ronaldson. | Alfred Ash. I Lewis Chalmers. | E. T. Bead. Octavius Green. I H. Shackle. Solicitors. Secretary. Offices. Messrs. Birchall. W. M. Pigram. 70 and 71, Bishopsgate Street, K.C. This company was registered ou the 1st May, 1S89, and formed to acquire Mexican property, which, however, was not carried out. It has recently in 1S9J acquired a gold mining property in North Western Australia, covering an are . 443 OPAN MINTES exes in five leases. The directors state that the property ia in full work, a two shafts sank to a depth of 120ft. and 115ft. respectfully. A 10-stamp working, and crushing is going on ; a farther 20 stamps are to be erected. Woodyatt, the mining engineer who reported upon the property for the irs, says there are five distinct reefs running through it, averaging at Oft. of crashing stuff, and that it is sufficiently opened up to keep 300 stamps if required, but that with 30 stamps only an income of at least £50,000 a ;an be made. In concluding his report, he says : I do, however,",NA,NA,"crushing","myb",c(-95.71276, 37.09375)
"405475","myb211732","myb",1895,"Afrikander Gold Mining Company Limited",244379.3,NA,NA,NA,NA,"london","the company purchased the cyanide works, and crushing was resumed with ten",NA,NA,"cyanid","myb",c(-0.1277583, 51.50735)
"405526","myb211749","myb",1895,"Afrikander Gold Mining Company Limited",244379.3,NA,NA,NA,NA,"johannesburg","ceeded in purchasing the cyanide plant, machinery, and buildings erected at a cost of JEWW",NA,NA,"cyanid","myb",c(28.04731, -26.2041)
"405553","myb211758","myb",1895,"Afrikander Gold Mining Company Limited",244379.3,NA,NA,NA,NA,"johannesburg","ITr. Mitchell reports that no farther capital will be required. Since crushings recommenced",NA,NA,"crushing","myb",c(28.04731, -26.2041)
"405590","myb211781","myb",1895,"Agnes Block Limited",439882.7,NA,NA,NA,NA,"nottingham","out of £3,000. Considerable development work has been done, and crushing was",NA,NA,"crushing","myb",c(-1.158109, 52.95478)
"405799","myb211849","myb",1895,"Albion Gold Mines Limited",488758.6,NA,NA,NA,NA,"transvaal","Mine. This was completed in December, 1894, and crushing was expected to I",NA,NA,"crushing","myb",c(-81.1831, 43.23256)
"405979","myb212064","myb",1895,"Aurora Gold Mining Company Limited",317693.1,NA,NA,NA,NA,"aurora","Crushing commenced in 1888 with 10 stamps ; in July, 1891, a further 10",NA,NA,"Crushing","myb",c(-88.32007, 41.76058)
"405989","myb212069","myb",1895,"Aurora Gold Mining Company Limited",317693.1,NA,NA,NA,NA,"aurora","crushings, see pages 691 to 695.",NA,NA,"crushing","myb",c(-88.32007, 41.76058)
"406007","myb212078","myb",1895,"Aurora Gold Mining Company Limited",317693.1,NA,NA,NA,NA,"aurora","August, 1894, only 20 stamps of the 30-stamp mill ran for 26 days, crushing",NA,NA,"crushing","myb",c(-88.32007, 41.76058)
"406165","myb212243","myb",1895,"Barrett Gold Mining Company Limited",586510.3,NA,NA,NA,NA,"transvaal","A 30-stamp mill is at work, also a cyanide plant for treatment of tailings.",NA,NA,"cyanid","myb",c(-81.1831, 43.23256)
"406440","myb212489","myb",1895,"Bird S Swaziland Concession Limited",146627.6,NA,NA,NA,NA,"london","on the erection of machinery for crushing. The consideration for the property",NA,NA,"crushing","myb",c(-0.1277583, 51.50735)
"406482","myb212535","myb",1895,"Bibthday Gold",310361.7,NA,NA,NA,NA,"transvaal","The old company commenced crushing in September, 1891, with ten stamps,",NA,NA,"crushing","myb",c(-81.1831, 43.23256)
"406877","myb212574","myb",1895,"Block B Langlaagte Estatb",NA,NA,NA,NA,NA,"london","Crushing commenced in March, 1891, with 80 stamps, and up to the end of",NA,NA,"Crushing","myb",c(-0.1277583, 51.50735)
"406897","myb212579","myb",1895,"Block B Langlaagte Estatb",NA,NA,NA,NA,NA,"london","Cyanide works are in operation. For details of 1894 crushings, see pages 691-95.",NA,NA,"Cyanid","myb",c(-0.1277583, 51.50735)
"406992","myb212608","myb",1895,"Bonanza Limited",977517.1,NA,NA,NA,NA,"london","Property, prior to flotation, for £65,000. For this sum it received 62,500 Bonanza",NA,NA,"flotat","myb",c(-0.1277583, 51.50735)
"407104","myb212727","myb",1895,"British And Transvaal Financial Company",2443793,NA,NA,NA,NA,"salisbury","hich embraces Khama s country and the region betweon that and the German twnndary ; and the company has also obtained mining rights from the Chief £Aama over the whole of his territories. In the early part of 1891 Her Majesty s Government extended the field of .Derations of the Charter of the company so as to include the whole of the tritish sphere north of tho Zambesi, except Nyassaland, and in November, 1894, n agreement was entered into under which the company will assume the rect administration of Northern Zambesia at a date not later than 30th June, &5, but it will continue to pay the annual subsidy of £10,000 for the police of Protectorate, in accordance with the existing arrangement, up to 1st January, 996. The affairs of the Nyassaland Protectorate are to bo definitely separated 463 . BRITISH SOUTH AFRICA. from those of the British South Africa Company s sphere, and will remain nnder the administration of Her Majesty s Consul and Commissioner, Mr. H. H. Johnston. The total area of the sphere, actual and prospective, of the British South Africa Company, south and north of the Zambesi, exceeds 750,000 square miles. The full text of the Royal Charter appeared in the Mining Manual for 1890. The authorised oapital is £2,000,000, in 2,000,000 shares of £1 each ; 1,999,260 shares have been issued and are fully paid. None of the shares were offered for public subscription. The shares being fully paid, there is no further liability. The oapital was increased from £1,000,000 to its present amount by a resolution passed on the 20th November, 1893. There are 6 per cent, debentures amounting to £632,000, interest upon which is payable half-yearly on the 1st February and 1st August, but arrangements have been made for funding it until 1st February, 1896. The half-year s intereit to the 1st February, 1895, however was paid in cash. The accounts are made up annually to the 31st March and submitted usually in December. The accounts to the 31st March, 1893, submitted on the 19th December, 1893, showed Liabilities : Capital, £995,810 ; advances for which debentures hare to be issued, £175,000; sundry creditors, £59,726 12s. 6d. Assets-. Cash, £4,404 4s. Id. ; shares in companies at cost, £68,054 15s. 4d. ; sundry debtors, £37,078 38. 7d. estimated to realise £27,000 ; goods on consignment, £101,140 15s. 9d. ; stocks, buildings, and other assets, £82,986 13s. 5d. ; concession. £141,415 16s. Id. ; general expenditure, £795,456 4s. 3d. The total revenue for the 12 months was £38,290 14s. 7d. The accounts to the 31st March, 1894, submitted on the 18th January, 89a, showed Liabilities: Capital. £1,999,260; Creditors debentures since issued for this amount , £511,738 Is. 3d.; sundry creditors, £162,919 17s. 5d. Assets: Cash, £168,679 10s. lid. ; shares in companies at cost, £26,401 7s. ; Bechuanaland Railway advanced on the security of debentures , £103,220 0s. 4d. ; debtors, £42,813 Is. 3d. estimated to yield £30,000 ; goods, stores, and materials, £146,791 Is. 7d. ; Cape Town premises, furniture, and fittings, £15,116 17s. Idconcessions, £1,189,234 0s. 3d.; Matabele war expenditure, £113,488 2s. lid. general expenditure to March 31st, 1893, £795,456 4s. 3d. ; expenditure for tb year to March 31st, 1894, £72,717 13s. Id. The total revenue for the 12 mom was £47,656 6s. 5d. Transfer form, special ; fee, 2s. 6d. per deed. Share-warrants to bearer art issued nnder certain conditions. The debentures and shares are quoted in it Official List. Latest price, shares, 41s. 3d., 41s. 9d. ; debentures, 99, 101. ANNUAL REPORT. The directors report, submitted on the 18th January, 1895, stated -. Since the close of the Matabele war and the occupation of Buluwayo, the settlement aa development of the country have rapidly and steadily proceeded. At the close of the campau discussions took place with the Imperial Government as to the form of administration of tfa country, which the new circumstances rendered necessary. It was finally agreed thai lb government of Matabeleland as well as Mashonaland should be vested in the company, as that a land commission should be appointed to settle the land to be set aside for n :. locations. Provision was also made for the nomination by the company of a council to awi the administrator. It will be readily understood that the interruption to commerce, agriculture, and miri: caused by the outbreak of the war had effects reaching far beyond the date of the act-j termination of hostilities, and itwas necessary in the case of companies and syndicates and obligation to expend certain capital or perform certain work within a given period to £rai substantial extensions of time to enable such obligations to be carried out. Nevertheless p gross was so rapid at Buluwayo that it became necessary to provide for the location hott regards housing and business premises of the rapidly-increasing population, and it was dev- J therefore that a survey of the new township should be made, and that a sale of town stjt.1 both at Buluwayo nnd at Gwelo, a new settlement 100 miles from Buluwayo, should take p .i The sale occupied three days and resulted in the disposal of 472 stands at Buluwayo. a&ii sixty-three stands at Gwelo, realising in all £53,039 13s. 6d. Many proorietors of siast immediately began to erect hotels, houses, shops, Ac, upon their holdings, and it was der.i by the company that the time had arrived for the erection of publio offices, and £5,0iT k already been laid eut. The interests of the various parties olaiming under the agreement dealing with the d. puted territory between the Shashi and Maoloutsie Rivers having now been consoli ia: company known as the Shashi and Macloutsie Exploration and Mining Company, Lim.u- has been registered, with a nominal capital of £500,000, its object being to receive and distn the profits of mining operations within the territory in question. The chartered company o : . 469 PISH SOUTH APRICA the share interest of this capital. The minerals in this territory are to be developed iHrtered company under its mining regulations. farming: industry is making sensible progress in Mashonaland and Matabeleland. g is all that is required to improve the quality of the stock. In Mashonaland, Charter neighbourhood would probably l e good for sheep, and dairy farming has been pursued sat success in the neighbourhood of Salisbury. Gazaland will perhaps prove one of the ming districts in the company s territories. Experiments are being made with a view ng the suitability of the various parts of the country for stock raising, sheep farming, rine, and coffee growing. ce Mr. Rhodes recent arrival in England negotiations have been entered into with the lOffice to place upon a more satisfactory basis the position and rights of this company srritories north, of the Zambesi, towards the administration of which this company has ist years contributed a sum of about £75,000. An agroement has been formally signed Finch the company will at an early date assume direct administration. Much of this a high, healthy plateau closely resembling Mashonaland, and is populated to a considertent by industrious and peaceable native races. Evidences have during the past few ome to hand hearing on the probability of mineral resources. ,ce the last report, and during the short period which has elapsed subsequent to the up of Matabeleland, various companies and syndicates have been formed by owners, .tors, and the investing public with the object of development, previous to the flotation properties. Over £500.000 of working capital has boon subscribed in cash for this",NA,NA,"flotat","myb",c(-75.59937, 38.36067)
"407853","myb212828","myb",1895,"Pelsdoobn Estate",NA,NA,NA,NA,NA,"western","d, bringing the total milling power up to 140 stamps. A cyanide plant, for",NA,NA,"cyanid","myb",c(-95.71276, 37.09375)
"407887","myb212845","myb",1895,"Pelsdoobn Estate",NA,NA,NA,NA,NA,"western","regular crushing has been carried on. rvsjru asd Exfexdituie. 25,27109nz. of gold value £80,420 12s. 9d. j Rent, 4c,",NA,NA,"crushing","myb",c(-95.71276, 37.09375)
"408571","myb213180","myb",1895,"Company Limited",782013.7,NA,NA,NA,NA,"barberton","Crushing commenced with 10 stamps in December, 1839. Ten addr",NA,NA,"Crushing","myb",c(-81.60512, 41.01283)
"408907","myb213207","myb",1895,"Company Limited",1344086,NA,NA,NA,NA,"london","be company acquired, by amalgamation, the property of the Midas Battery",NA,NA,"amalgamati","myb",c(-0.1277583, 51.50735)
"409051","myb213219","myb",1895,"Company Limited",1344086,NA,NA,NA,NA,"london","The battery was expected to start in November, 1894. A cyanide plant is also",NA,NA,"cyanid","myb",c(-0.1277583, 51.50735)
"409055","myb213219","myb",1895,"Company Limited",NA,NA,NA,NA,NA,"london","The battery was expected to start in November, 1894. A cyanide plant is also",NA,NA,"cyanid","myb",c(-0.1277583, 51.50735)
"409093","myb213231","myb",1895,"Charterland Goldfields Limited",NA,NA,NA,NA,NA,"london","business as miners and smelters.",NA,NA,"smelter","myb",c(-0.1277583, 51.50735)
"409238","myb213319","myb",1895,"Ty And Suburban Gold Mining Company",48875.86,NA,NA,NA,NA,"london","Dp to April, 1891, 20 stamps were crushing ;",NA,NA,"crushing","myb",c(-0.1277583, 51.50735)
"409244","myb213322","myb",1895,"Ty And Suburban Gold Mining Company",48875.86,NA,NA,NA,NA,"london","T, 1894, when a new 80-stamp battery was started, making a total of 130 imps now working. A cyanide plant has been at work since May, 1893. iriogthe year 1891, 31,863 tons were crushed, yielding 12,409oz. of gold. For &2, 36,459 tons yielded 29,125oz. of gold. During 1893, 49,805 tons were rashed, yielding 37,777oz. of gold, besides which 9,044oz. of gold were obtained t m 24,408 tons of tailings. For details of 1894 orushings, see pages 691 to 695. The accounts are made up annually to the 31st December, but monthly ;ports, with profit and loss accounts, are issued. The accounts to the 31st Member, 1892, showed a net profit for the year, after writing off £26,402 14s. 2d. or depreciation, of £20,878 19s. Id., which with the credit balance at the 31st ecember, 1891, and £55,000 profit on new shares issued, made a disposable sum less £5 14s. 4d. over estimated value of gold, December, 1891 of £114,419 7s. lid., t",NA,NA,"cyanid","myb",c(-0.1277583, 51.50735)
