"","id","source","year","company","capital","lastname","firstname","middlename","role","loc","text","simpname","name","srch","temp","geometry"
"18089","amm5889","amm",1907,"Nevada United Mines Company. Ward.",NA,NA,NA,NA,NA,"nevada ","Nevada-Utah Mines & Smelters Corporation. Pioche.",NA,NA,"Smelter","amm",c(-116.419389, 38.8026097)
"18548","amm5967","amm",1907,"Steptoe Valley Smelting & Mining Company. Ely.",NA,NA,NA,NA,NA,"broadway ","(American Smelters Securities Co.) Office. 71 Broadway, New York.",NA,NA,"Smelter","amm",c(-94.4726334, 37.1465302)
"21123","amm6557","amm",1907,"Cyanide Gold Mining Company. Ashland.",NA,NA,NA,NA,NA,"ashland ","Cyanide Gold Mining Company. Ashland.",NA,NA,"Cyanid","amm",c(-122.7094767, 42.1945758)
"22044","amm6778","amm",1907,"Turnagain Arm Gold Mining Company. Cableville.",NA,NA,NA,NA,NA,"california ","California Mine. Steam. 20 Stamps & 25 ton Cyanide Plant. 25 men.",NA,NA,"Cyanid","amm",c(-119.4179324, 36.778261)
"22441","amm6853","amm",1907,"Deadwood Standard Gold Mining Company. Cyanide.",NA,NA,NA,NA,NA,"deadwood ","Deadwood Standard Gold Mining Company. Cyanide.",NA,NA,"Cyanid","amm",c(-103.7296415, 44.376651)
"22464","amm6858","amm",1907,"Extreme Mining & Milling Company. Custer. J. N. Wright, Supt. Gold. Steam. 10 Stamps & 25 Ton Cyanide Plant. 20",NA,"wright","j","n","Supt","custer ","Extreme Mining & Milling Company. Custer. J. N. Wright, Supt. Gold. Steam. 10 Stamps & 25 ton Cyanide Plant. 20","wright, j n","wright, jn","Cyanid","amm",c(-103.5988057, 43.7666507)
"23136","amm6986","amm",1907,"Tennessee Copper Company.",NA,"stevens","w","l","Supt","london ","W. L. Stevens, Smelter Supt. Burra Burra, London, Tennessee & Polk","stevens, w l","stevens, wl","Smelter","amm",c(-0.1277583, 51.5073509)
"24028","amm7186","amm",1907,"New York Bonanza Mining Company. Park City.",NA,NA,NA,NA,NA,"newhouse ","Newhouse Mines & Smelters. Newhouse.",NA,NA,"Smelter","amm",c(-79.6379671, 43.5045172)
"24907","amm7479","amm",1907,"Monte Cristo Mining & Concentration Company. Monte Cristo.",NA,NA,NA,NA,NA,"new york ","(American Smelters Securities Co.) Office. 71 Broadwav. New York. &",NA,NA,"Smelter","amm",c(-74.0059728, 40.7127753)
"25318","amm7540","amm",1907,"Tacoma Smelting Company. Tacoma.",NA,"rust","w","r","Pres","broadway ","(American Smelter Securities Co.) Office, 71 Broadway. New York. W. R.","rust, w r","rust, wr","Smelter","amm",c(-94.4726334, 37.1465302)
"27418","amm7866","amm",1907,"American Smelting & Refining Company. Aguascalientes.",NA,"hamilton","william","j","Mgr","broadway ","Office, 71 Broadway, New York. Kuno Doerr, Smelter Mgr.; William J.","hamilton, w j","hamilton, williamj","Smelter","amm",c(-94.4726334, 37.1465302)
"27494","amm7877","amm",1907,"American Smelting & Refining Company. Asientos.",NA,"brendel","robert",NA,"Gen. Supt","broadway ","(American Smelter Securities Co.) Office, 71 Broadway, New York. Robert","brendel, r","brendel, robert","Smelter","amm",c(-94.4726334, 37.1465302)
"28233","amm7963","amm",1907,"American Smelters Securities Company. Jiminez, Parral & Santa Barbara.",NA,NA,NA,NA,NA,"parral ","American Smelters Securities Company. Jiminez, Parral & Santa Barbara.",NA,NA,"Smelter","amm",c(-105.6666166, 26.9317835)
"28481","amm7995","amm",1907,"Belen Mining Company. Ocampo.",NA,NA,NA,NA,NA,"broadway ","(American Smelters Securities Co.) Office, 71 Broadway, New York. Cort",NA,NA,"Smelter","amm",c(-94.4726334, 37.1465302)
"29515","amm8176","amm",1907,"International Gold Mines Company. Ocampo.",NA,NA,NA,NA,NA,"socorro ","Socorro Mine. Gold & Silver. Steam. 10 Stamps & 25 ton Cyanide",NA,NA,"Cyanid","amm",c(-106.8914159, 34.0583995)
"29522","amm8179","amm",1907,"International Gold Mines Company. Ocampo.",NA,NA,NA,NA,NA,"broadway ","(American Smelter Secureties Co.) Office, 71 Broadway, New York. E.",NA,NA,"Smelter","amm",c(-94.4726334, 37.1465302)
"29719","amm8220","amm",1907,"Mexican Mines Syndicate Limited. Cusihuriachic.",NA,NA,NA,NA,NA,"broadway ","(American Smelters Securities Co.) Office, 71 Broadway, New York.",NA,NA,"Smelter","amm",c(-94.4726334, 37.1465302)
"30057","amm8362","amm",1907,"Coahuila Mining & Smelting Company. Viesca.",NA,"yota","pedro",NA,"Supt","torreon ","Office & Smelter. Torreon. Pedro Yota, Supt. Las Cabrillas & Las Higueras","yota, p","yota, pedro","Smelter","amm",c(-103.4067861, 25.5428443)
"30716","amm8454","amm",1907,"Candelaria Consolidated Mexican Mining Company. San Dimas.",NA,NA,NA,NA,NA,"guanacevi ","dora de Guanacevi. Silver & Gold. Steam. Bryan Mills, 100 ton Cyanide",NA,NA,"Cyanid","amm",c(-105.9546744, 25.9316354)
"32073","amm8698","amm",1907,"Velardena Mining And Smelting Company. Velardena.",NA,NA,NA,NA,NA,"broadway ","(American Smelters Securities Co.) Office, 71 Broadway, New York, Ed",NA,NA,"Smelter","amm",c(-94.4726334, 37.1465302)
"32388","amm8745","amm",1907,"Central Mining And Milling Company. - Guanajuato.",NA,NA,NA,NA,NA,"chilian ","& Silver. Steam, 3 Chilian Mills & Cyanide Plant. 300 men.",NA,NA,"Cyanid","amm",c(-71.542969, -35.675147)
"32982","amm8899","amm",1907,"Teotepec Mining Company. Teotepec.",NA,"orel","santiago","a","Supt","santiago ","Santiago A. Orel, Supt. Gold & Silver. Steam. 10 ton Cyanide Plant.","orel, s a","orel, santiagoa","Cyanid","amm",c(-70.6692655, -33.4488897)
"33384","amm9055","amm",1907,"Keystone Copper & Smelter Company. Tapalpa.",NA,NA,NA,NA,NA,"keystone ","Keystone Copper & Smelter Company. Tapalpa.",NA,NA,"Smelter","amm",c(-105.9436693, 39.6084419)
"33439","amm9086","amm",1907,"Mexican Union Mining Company. Ayutla.",NA,NA,NA,NA,NA,"philadelphia ","Philadelphia Copper & Gold Mining, Milling & Smelter Co. San Martin Hidalgo.",NA,NA,"Smelter","amm",c(-75.1652215, 39.9525839)
"33660","amm9161","amm",1907,"Mexico Mines Of El Oro Limited. El Oro.",NA,NA,NA,NA,"Supt","mexico ","Allan, Supt. Mexico Mine. Gold. Steam. 100 Stamps & Cyanide Plant.",NA,NA,"Cyanid","amm",c(-102.552784, 23.634501)
"34784","amm9529","amm",1907,"American Smelters Securities Company. Matehuala.",NA,NA,NA,NA,NA,"matehuala ","American Smelters Securities Company. Matehuala.",NA,NA,"Smelter","amm",c(-100.64279, 23.6448029)
"35963","amm9876","amm",1907,"Greene Cananea Copper Company. Cananea.",NA,NA,NA,NA,NA,"new york ","Office, 24 Broad St., New York. Amalgamation of the Cananea Consoli",NA,NA,"Amalgamati","amm",c(-74.0059728, 40.7127753)
"36329","amm9928","amm",1907,"Llano Mining & Milling Company. Llano.",NA,NA,NA,NA,NA,"san francisco ","San Francisco Mine. Gold. Steam. 5 Stamps & 15 ton Cyanide Plant.",NA,NA,"Cyanid","amm",c(-122.4194155, 37.7749295)
"1088","amm10126","amm",1907,"Castellana Consolidated Mines Limited. Ixtlan.",NA,NA,NA,NA,NA,"chilian ","Chilian Mills & 25 ton Cyanide Plant. 200 men.",NA,NA,"Cyanid","amm",c(-71.542969, -35.675147)
"1160","amm10217","amm",1907,"Mezquital Gold Mines Limited. Mezquital Del 0ro.>",NA,"montezuma","mariano",NA,"Mgr","montezuma ","Mariano Montezuma, Mgr. Silver & Gold. 2 Stamps & 20 ton Cyanide","montezuma, m","montezuma, mariano","Cyanid","amm",c(-100.4432047, 37.5958564)
"1170","amm10389","amm",1907,"Dominion Copper Company Limited. Phoenix.",NA,"newhouse","samuel",NA,"Managing Director","broadway ","Office, 100 Broadway, New York. Samuel Newhouse, Managing Director; J. H. Sampson, Supt.; Wm. C. Thomas, Smelter Supt. Brooklyn, Stemwinder,","newhouse, s","newhouse, samuel","Smelter","amm",c(-94.4726334, 37.1465302)
