id,type,year,text
9097,person,1912,"bulman, r. h box, johannesburg, transvaal."
9098,cia,1912,"burehn,ew goch gold mines, ltd"
9099,person,1912,albert.
9100,cia,1912,goldfleld consolidated mines ltd
9101,cia,1912,"burch, h. kenyon, miami, arizona, u.s.a. miami copjier ltd"
9102,person,1912,"mining and consulting engineers, frc."
9103,person,1912,"burls, h. t, victoria street,.w."
9104,cia,1912,"burn,cothy llines, ltd"
9105,cia,1912,"burneelttm,ayo mines of mexico, ltd"
9106,person,1912,"d. v, piggs feat, swaziland."
9107,cia,1912,"buraepitttrk,s peak development ltd"
9108,person,1912,"r. g. kimberley, south africa."
9109,cia,1912,"burr,north kimberlev diamond mineb, ltd"
9110,person,1912,"a, walbrook, e.c, and, king street, dover."
9111,cia,1912,"foncage synd, ltd"
9112,cia,1912,"bondage synd, ltd"
9113,person,1912,"burr. malcolm, cas le hill house, dover."
9114,cia,1912,east kent colliery ltd
9115,cia,1912,"foncage synd, ltd"
9116,cia,1912,"guildford synd, ltd"
9117,cia,1912,"kent coal concessions, ltd"
9118,cia,1912,"snowdon colliery, ltd"
9119,cia,1912,"sondage synd, ltd"
9120,cia,1912,"barreslolu,th eastern coalfield extension, ltd"
9121,person,1912,"alexander, marysville, montana, u.s.a."
9122,cia,1912,"bury.mocn,tana mining ltd"
9123,person,1912,"cadeby, rotherham, yorkshire."
9124,cia,1912,"buihedleln,aby and cadeby main collieries, ltd"
9125,person,1912,"benjamin daniel, springs, transvaal."
9126,cia,1912,daggafontein gold mining ltd
9127,cia,1912,"butlesrp,rings mines, ltd"
9128,person,1912,"frederick, concordia, little naruaiiualani, cape colony."
9129,cia,1912,"butlenra,maqua copper ltd"
9130,person,1912,"w. w, montreal, canada."
9131,cia,1912,"rea consolidated gold minos, ltd"
9132,person,1912,"cai rncross, j. m , ruthwaite, ireby, carlisle."
9133,cia,1912,"barium compounds, ltd"
9134,person,1912,"caldecott. dr. w. a, box , johannesburg, transvaal."
9135,cia,1912,"consolidated gold fields of south afriea, ltd"
9136,person,1912,"calder wood. j. j santa francisca mine, leon, nicaragua."
9137,cia,1912,"santa francisca gold estates, ltd"
9138,person,1912,"calderwood, j. m, box , johannesburg, transvaal."
9139,cia,1912,messinatransvaaldevelopment ltd
9140,cia,1912,"vryheidnatalrailway, coal and iron ltd"
9141,person,1912,"calvert, a, union court, old broad street, london"
9142,cia,1912,"camegreonne,ral exploration and finance synd, ltd"
9143,cia,1912,"william mccallum, box , johannesburg, transvaal. a. goers ltd"
9144,cia,1912,"geduld proprietary mines, ltd"
9145,cia,1912,lancaster west gold mining ltd
9146,cia,1912,may consolidated gold mining ltd
9147,cia,1912,"modderfontein deep levels, ltd"
9148,cia,1912,princess estate and gold mining ltd
9149,cia,1912,"south randtontein deep, ltd"
9150,cia,1912,southwestern exploration ltd
9151,cia,1912,tudor gold mining ltd
9152,cia,1912,"cameron and sutherland, melbourne, australia. cantlemyin,es assets purchase ltd"
9153,person,1912,"thomas, new glasgow, nova scotia."
9154,cia,1912,"caplenno,va scotia steel and coal company, ltd"
9155,person,1912,"tom, vizianagaram, india."
9156,cia,1912,visiaoagaram mining ltd
9157,person,1912,"cardiff, r, tokenhouse yard, london"
9158,cia,1912,"carloswhi,lka gold concession, ltd"
9159,cia,1912,"c. august, fife coal ltd"
9160,cia,1912,"le, e. windsor, ponte di nossa, bergamo, italy. english crown spelter ltd"
9161,cia,1912,"carlyle, w. a, royal school of mines, south kensington, s.w. foldal copper and sulphur ltd"
9162,person,1912,"carmichael, a. f, hailes street, edinburgh."
