source,year,simpname,nationality,edu,prof,org,loc,lon,lat,country
taime,1902,"addicks, l l",,,electrical enginer,raritan copper works,perth amboy nj,-74.265423,40.506772,united states of america
taime,1902,"addie, r r",,,manufacturer,,glasgow,-4.251806,55.864237,united kingdom
taime,1892,"addu, m m",,,,,cincinnati ohio,-84.51202,39.103118,united states of america
taime,1902,"addu, m m",,,,,cincinnati ohio,-84.51202,39.103118,united states of america
taime,1891,"adrianca, j j",,,,,huntingdon pa,-78.019539,40.415527,united states of america
taime,1892,"aertsen, g g",,,manager,latrobe steel & coupler co,latrobe pa,-79.379481,40.321181,united states of america
taime,1902,"aertsen, g g",,,manager,latrobe steel & coupler co,philadelphia pa,-75.165222,39.952584,united states of america
taime,1906,"affleck, w w",,,,,ellsworth pa,-80.017275,40.112017,united states of america
taime,1905,"agabeg, e e",,,,,bengal india,87.854976,22.986757,india
taime,1877,"agasiz, a a",,,,,cambridge mass,-71.109734,42.373616,united states of america
taime,1882,"agasiz, a a",,,,,cambridge mass,-71.109734,42.373616,united states of america
taime,1884,"agasiz, a a",,,,,cambridge mass,-71.109734,42.373616,united states of america
taime,1886,"agasiz, a a",,,,,cambridge mass,-71.109734,42.373616,united states of america
taime,1904,"agnew, f f",,,assayer,,london england,-0.127758,51.507351,united kingdom
taime,1910,"agnew, j j",,,,,kalgoorlie australia,121.466,-30.749,australia
taime,1903,"agnew, j j",,,,,new york n y,-74.005973,40.712775,united states of america
taime,1902,"agnew, w w",,,manager,mahoning ore and steel co,hibbing minn,-92.937689,47.427155,united states of america
taime,1902,"aguilar, p p",,,mining engineer,estrella mining co,guanajuato gto,-101.257359,21.019015,mexico
taime,1905,"aguilera, p p",,,,,santiago de cuba cuba,-75.830154,20.01693,cuba
taime,1902,"ahbe, f f",,,mining engineer,,wyoming.,-107.290284,43.075968,united states of america
taime,1904,"ahier, p p",,,,,seaforth liverpool,-3.012763,53.46752,united kingdom
taime,1902,"ahles, r r",,,mining engineer,,oxford n j,-74.999813,40.813257,united states of america
taime,1902,"ahnlers, r r",,,mining engineer,,surrey england,-0.55995,51.314759,united kingdom
taime,1884,"aiken, r r",,,,,wickes montana,-112.103334,46.349652,united states of america
taime,1886,"aiken, r r",,,,,wickes montana,-112.103334,46.349652,united states of america
taime,1884,"ainey, w w",,,,,allentown pa,-75.47141,40.602294,united states of america
taime,1886,"ainey, w w",,,,,allentown pa,-75.47141,40.602294,united states of america
taime,1877,"akerman, r r",swedish,,,,stockholm sweden,18.068581,59.329324,sweden
taime,1884,"akerman, r r",swedish,,,,stockholm sweden,18.068581,59.329324,sweden
taime,1886,"akerman, r r",swedish,,,,stockholm sweden,18.068581,59.329324,sweden
taime,1892,"akerman, r r",swedish,,,,stockholm sweden,18.068581,59.329324,sweden
taime,1902,"akerman, r r",swedish,,,,stockholm sweden,18.068581,59.329324,sweden
taime,1892,"akers, w w",,,mining engineer,,denver colo,-104.990251,39.739236,united states of america
taime,1902,"akers, w w",,,chemist,,salt lake city utah,-111.891047,40.760779,united states of america
taime,1902,"akers, w w",,,mining engineer,,denver colo,-104.990251,39.739236,united states of america
taime,1905,"alabaster, r r",,,,,bayswater london,-0.186566,51.513546,united kingdom
taime,1908,"alamos, g g",,,,,chilian chile,-72.102335,-36.606262,chile
taime,1904,"alatorre, r r",,,manager,,hidalgo mexico,-98.762387,20.091096,mexico
taime,1899,"alberger, l l",,,,,new york city,-74.005973,40.712775,united states of america
taime,1902,"alberger, l l",,,mechanical engineer,,ny city,-74.005973,40.712775,united states of america
