"org","freq"
"adelaide south australia",1
"adelaide star mines limited cherry creek",1
"adelaide star mines limited usual miscellaneous",16
"adelaide star mines ltd cherry creek white pine company",1
"adelaide star mines ltd golconda humboldt company",1
"adeline mines limited",3
"aden savoy",1
"adirondack survey office",3
"adjutqr syndicate limited african andy europeans",4
"adlam west african syndicate limited",3
"adler mining co",1
"admiral consolidated mining company",1
"admiralty alaska gold mining company",1
"admiralty zinc company",4
"adrian college",2
"adrian furnace company",1
"adriatic mining company",2
"adulessav syn caddie limited",4
"advance gold mining company",1
"adventure cons copper company",1
"adventure consolidated copper company",4
"adventurers ashanti and nassau limited",2
"adventurers syndicate limited",2
"advertising aluminum company",1
"advertising manager door company",1
"advice andy information",1
"adviser standard oil company",1
"advisor shell chemical company",1
"adwertisers mining world",4
"aequator mining company",3
"aero engine dept vickers ltd",1
"aeronautical engineer air corp",1
"aetna explosives co",5
"aetna fireproofing company",1
"aetna iron steel company",1
"aetna mining company",1
"aetna mining investment company",1
"aetna mining milling company",2
"aetna nut company",2
"aetna oil service inc",1
"aetna steel castings company",1
"afbioan british columbia corforation alger consolidated",2
"affa syndicate limited",2
"affiliation american metal company",4
"affiliation hanging rock iron company",2
"affiliation of aetna mining investment company",3
"affiliation of amalgamated zinc de bavay s limited",5
"affiliation of beer sondheimer company",2
"affiliation of cleveland mining company",1
"affiliation of ella furnace company",1
"affiliation of elm orlu mining company",2
"affiliation of field mining milling company",1
"affiliation of gold hill iowa mines company",4
"affiliation of hudson reduction company",2
"affiliation of international nickel company",5
"affiliation of laurence mines company",2
"affiliation of m a hanna company",9
"affiliation of magma copper company",6
"affiliation of mining corporation of canada limited toronto",2
"affiliation of mount lyell mining railway company",4
"affiliation of smuggier union mining company",7
"affiliation of smuggler union mining company",1
"affiliation of the arizona smelting company",2
"affiliation of the brown alaska company",1
"affiliation of tom reed gold mines company",4
"affiliation of workington iron steel company",1
"affoh development syndicate limited",2
"affoh gold mining syndicate limited",1
"afilliation of queen bess mines company",1
"afink niageri tql meany limited",5
