"","id","year","company","capital","office","yearg","situated","mine","loc","text","lastname","firstname","middlename","prof"
"53","myb151344",1893,"DE BEERS CONSOLIDATED MINES LIMITED",NA,NA,NA,NA,NA,"london","and 3,239, 134 loads washed as well as the remaining stock of blue ground at lhitoits-pan",NA,NA,NA,NA
"54","myb155671",1893,"NEW CHIMES GOLD MINING COMPANY LIMITED",NA,NA,NA,NA,NA,"london","Secretary. Offices.",NA,NA,NA,NA
"55","myb157374",1893,"ROYAL GOLD MINING COMPANY LIMITED",170233.5,NA,NA,NA,NA,"salisbury","to every one held in this company. The authorised capital was £35,000, in",NA,NA,NA,NA
"56","myb160295",1893,"COMPANY LIMITED",NA,NA,NA,NA,NA,"portland","undertakings have since been transferred to a new company called the Central",NA,NA,NA,NA
"57","myb162838",1894,"BLUE HILLS MINING COMPANY",NA,NA,NA,NA,NA,"cornwall","; r share was made.",NA,NA,NA,NA
"58","myb165880",1894,"COMPANY LIMITED",NA,NA,NA,NA,NA,"queensland","George Hopkins, C.E., Chairman.","hopkins","george",NA,"chair"
"59","myb169114",1894,"JOHN BOWES AND PARTNERS LIMITED",NA,NA,NA,NA,NA,"stirling","ordinary, 11 .",NA,NA,NA,NA
"60","myb169385",1894,"LANDORE COPPER COMPANY LIMITED",NA,NA,NA,NA,NA,"swansea","m issued and are folly paid, 1,000 shares being credited as fully paid.",NA,NA,NA,NA
"61","myb170172",1894,"MACHAN COAL CO LTD",NA,NA,NA,NA,NA,"dudley","Transfer form common ; fee 2s. Gil. per deed.",NA,NA,NA,NA
"62","myb172399",1894,"NEW VIOLA COMPANY LIMITED",NA,NA,NA,NA,NA,"new zealand","inference and 12,500 ordinary have been issued credited as fully paid.",NA,NA,NA,NA
"63","myb175521",1894,"ROUND HILL MINING COMPANY LIMITED",NA,NA,NA,NA,NA,"valley","farther liability of £1 13s. 4d. per share, they might have issned to them seven",NA,NA,NA,NA
"64","myb176068",1894,"SANTA ANA MINE LIMITED",NA,NA,NA,NA,NA,"broad street b","R. H. Ncrncy.",NA,NA,NA,NA
"65","myb176574",1894,"SHELTON IRON STEEL AND COAL CO LTD",NA,NA,NA,NA,NA,"granville","property and undertaking of the Shelton Iron and Steel Company, Limited, at",NA,NA,NA,NA
"66","myb180794",1894,"BRITANNIC GOLD MINING COMPANY LIMITED",NA,NA,NA,NA,NA,"johannesburg","Limited, and in December, 1892, was reconstructed under the present title.",NA,NA,NA,NA
"67","myb183286",1894,"MINING COMPANY LIMITED",NA,NA,NA,NA,NA,"london","C. C. Baker. London Joint Stock Bank, Limited. Paine, Son, and Pollock.",NA,NA,NA,NA
"68","myb184889",1894,"NEW BELGIUM TRANSVAAL LAND",NA,NA,NA,NA,NA,"transvaal","in July, 1892, from £48,000 to £60,000 by the creation of 12,000 new shares,",NA,NA,NA,NA
"69","myb188859",1894,"VAN RYN ESTATE AND GOLD MINING COMPANY",NA,NA,NA,NA,NA,"london","Bankers.",NA,NA,NA,NA
"70","myb189763",1895,"ABERFOYLE SLATE QUARRIES COMPANY LIMITED",NA,NA,NA,NA,NA,"stirling","£2,831 18s. 81 ; cash balances, £1,097 15s. lid.",NA,NA,NA,NA
"71","myb193706",1895,"CALDERBANK STEEL AND COAL COMPANY",NA,NA,NA,NA,NA,"glasgow","payable £30,000 in cash, £30,000 in fnlly-paid preference shares, and £40,000 in",NA,NA,NA,NA
"72","myb200825",1895,"LEON COBALT AND COPPER MINING COMPANY",NA,"carey street w",NA,NA,NA,"carey street w","Tho Official Receiver, 33, Carey Street, W.0.",NA,NA,NA,NA
"73","myb205153",1895,"NORTH BRANCEPETH COAL COMPANY LIMITED",NA,NA,NA,NA,NA,"wales","The accounts are made up annually to the 30th September and submitted ii",NA,NA,NA,NA
"74","myb209996",1895,"WAIHI GOLD MINING COMPANY LIMITED",NA,NA,NA,NA,NA,"new zealand","off debentures to the amount of £20,000, issued in May, 1889. The last call o",NA,NA,NA,NA
"75","myb210731",1895,"WEST AUSTBALIAN MINEBALS",NA,NA,NA,NA,NA,"cornwall","shares credited with 4s. 6d. as paid instead ; and, further, the new company was",NA,NA,NA,NA
"76","myb213611",1895,"COPENHAGEN MASHONALAND COMPANY LIMITED",NA,NA,NA,NA,NA,"cleveland","Transfer form, common ; fee, 2s. 6d. per deed. Latest price, 1, 1-J-.",NA,NA,NA,NA
"77","myb216949",1895,"DIRECTORS",NA,NA,NA,NA,NA,"transvaal","working it on their own account. The cyanide works have since been considerably increaect",NA,NA,NA,NA
"78","myb217938",1895,"MATABELELAND ADVENTURERS LIMITED",NA,NA,NA,NA,NA,"portland","return 5,000 fully-paid shares in the British South Africa Company, and the privilege of",NA,NA,NA,NA
"79","myb218586",1895,"OSSAM ED ES",NA,NA,NA,NA,NA,NA,"MOSSAMEDES COMPANY",NA,NA,NA,NA
"80","myb222863",1895,"STAR GOLD MINING COMPANY LIMITED",NA,NA,NA,NA,NA,"johannesburg","Operations ceased in 1893, owing to funds being exhausted, and in August,",NA,NA,NA,NA
"81","myb226516",1895,"MINING DIRECTORS",NA,NA,NA,NA,NA,"florida","Florida Syndicate, Limited.",NA,NA,NA,NA
"82","myb231280",1895,"COMPANY LIMITED",NA,NA,NA,NA,NA,"transvaal","pletion of the railway in November, 1894, since which time orders have",NA,NA,NA,NA
"83","myb232409",1895,"BRITISH AND TRANSVAAL FINANCIAL COMPANY",NA,NA,NA,NA,NA,"london","and loss of £2,162 15s. 4d. Investments, £17,134 13s. 7d.",NA,NA,NA,NA
"84","myb232745",1895,"CAPE ASBESTOS CO LTD",NA,NA,NA,NA,NA,"london","CAPE COPPER",NA,NA,NA,NA
"85","myb240410",1895,"PREMIER CONCESSIONS OF MOZAMBIQUE LIMITED",NA,NA,NA,NA,NA,"london","The consideration paid to the promoter was £60,000 in fully-paid shares. The",NA,NA,NA,NA
"86","myb244710",1895,"COMPANHIA DA ZAMBEZIA",NA,NA,NA,NA,NA,"london","convert the remainder into Crown lands and hold them. An exception has been",NA,NA,NA,NA
"87","myb245371",1903,"AKIM CORPORATION LIMITED",NA,NA,NA,NA,NA,"eastern","Akim, Akim Mausu and Wsssau districts of the Gold Coast Colony.",NA,NA,NA,NA
"88","myb249440",1903,"SCOTTISH WASSAU SYNDICATE LIMITED",NA,NA,190,NA,NA,"london","Tms company was registered on October 4th, 190 , to carry on a financial",NA,NA,NA,NA
"89","myb249473",1903,"SEFWI AND WASSAU GOLD SYNDICATE LIMITED",NA,NA,NA,NA,NA,"southampton street bloomsbury w","55. premium, and on the latter 15s. per share is called up besides the in.",NA,NA,NA,NA
"90","myb251124",1903,"AIRDRIE COLLIERIES LIMITED",NA,NA,NA,NA,NA,"glasgow","are issued and fully paid.",NA,NA,NA,NA
"91","myb255769",1903,"HAMPION BEEF GOLD",NA,NA,NA,NA,NA,"western",",, 1st Jam, ,, . ,1 J 1899-00.",NA,NA,NA,NA
"92","myb257752",1903,"DIAZ MINES LIMITED",NA,NA,1902,NA,NA,"flagstaff","us- company was registered on April 10th, 1902, to acquire the Santo Nino",NA,NA,NA,NA
"93","myb262823",1903,"JOHN BOWES AND PARTNERS LIMITED",NA,NA,NA,NA,NA,"glasgow","shares of £10, and in 1877 a further 25,000 were created; in 1890 each .8100 ordinary",NA,NA,NA,NA
"94","myb264427",1903,"LONDON EXPLORATION COMPANY LIMITED",NA,NA,NA,NA,NA,"london","The authorised capital",NA,NA,NA,NA
"95","myb267419",1903,"COMPANY LIMITED",NA,NA,NA,NA,NA,"yorkshire","- l I lre authorisedcopitu , is £650,000, divided into 8,000 six per cent. prcit rem",NA,NA,NA,NA
"96","myb269495",1903,"COMPANY LIMITED",NA,"queen street place london",NA,NA,NA,"london","Queen Street Place, E.C.",NA,NA,NA,NA
"97","myb269801",1903,"PYRENEES COPPER MINESI L M TED",NA,NA,NA,NA,NA,"france","shares have been issued and are fully paid, 112,500 vendors being issued",NA,NA,NA,NA
"98","myb269854",1903,"PLENARILY LONDON",NA,NA,NA,NA,NA,NA,"..PLENARILY. LQNDQH.",NA,NA,NA,NA
"99","myb270621",1903,"ROCK LLANTWIT COLLIERX COMPANY LIMITED",NA,NA,NA,NA,NA,"newport","The authorised cepitnl is £7,000, in 7,000 shares of £1 each.",NA,NA,NA,NA
"100","myb274663",1903,"VERAGUAS MINING COMPANY LIMITED",NA,NA,NA,NA,NA,"colombia","Accounts not published.",NA,NA,NA,NA
"101","myb275808",1903,"APANYLLIMITED",NA,NA,NA,NA,NA,"england","Y mcial Bank of England, Limited, Shrewsbury.",NA,NA,NA,NA
"102","myb276780",1908,"BINGARA DIAMOND FIELDS LIMITED",NA,NA,NA,NA,NA,"wales","hares are issued. No accounts received.",NA,NA,NA,NA
"103","myb279585",1908,"HANNAN S PROPRIETARYI LIMITED",NA,NA,NA,NA,NA,"london","£1,804, uncalled liability on shares held £3,750.",NA,NA,NA,NA
"104","myb282489",1908,"OROYA BLACK RANGE LIMITED",NA,NA,NA,NA,NA,"australia","acquired, in 1903, an adjoining property known as the New Yelta Copper",NA,NA,NA,NA
"105","myb282756",1908,"POBT LINCOLN COPPEB",NA,NA,NA,NA,NA,"london","Telegrams: Apionlar, London. N.T.. 6109 Bank,",NA,NA,NA,NA
"106","myb283724",1908,"TAITAPTJ GOLD",NA,NA,NA,NA,NA,"new zealand","acquire five gold mining leases near Karangahake, Province of Auckland, New",NA,NA,NA,NA
"107","myb285239",1908,"ADAMANT DIAMOND MINING COMPANY",NA,NA,NA,NA,NA,"london","The consideration was £17,500, payable £2,500 in cash and £15,000 in fully-paid",NA,NA,NA,NA
"108","myb285428",1908,"AFRICAN AND COLONIAL COMPANY LIMITED",NA,NA,NA,NA,NA,"johannesburg","divided into preference and ordinary. In November, 1901, the capital was",NA,NA,NA,NA
"109","myb286541",1908,"APEX MINES LTD",NA,NA,NA,NA,NA,"johannesburg","the dividend April, 1906 absorbed £33,509 and directors percentages £1,675,",NA,NA,NA,NA
"110","myb292477",1908,"FEBKEIHA DEEP",NA,NA,NA,NA,NA,NA,"FEBKEIHA DEEP",NA,NA,NA,NA
"111","myb297562",1908,"MEYER AND CHARLTON GOLD MINING CO LTD",NA,NA,NA,NA,NA,"johannesburg","acquiring 17 claims on the Main Beef, farm Doornfontein, Witwatersrand. The",NA,NA,NA,NA
"112","myb304275",1908,"SOUTH AFKICAN COMPANY",NA,NA,1904,NA,NA,"salisbury","This company was registered August 6th, 1904 see vol. for 1906 . On October",NA,NA,NA,NA
"113","myb311078",1908,"BLOOM SMYTHIES COLLIERY COMPANY LIMITED",NA,"penchurch street london",NA,NA,NA,"london","Peter D. Thomson. | Andrew Carrie. | Frank B. Eastwood. | Thomas C. Hancock. Secretary and Office Alexander Darward, 28, Penchurch Street, E.C. This company was registered on November 21st, 1902, to adopt an agreement",NA,NA,NA,NA
"114","myb316885",1908,"PAKNLEY IBON",NA,NA,NA,NA,NA,"weldon","This company was registered August 31st, 1903 see vol. for 1907 . On August",NA,NA,NA,NA
"115","myb326518",1908,"REIGATE MINES LIMITED",NA,NA,NA,NA,NA,"london","REIGATE MINES, LIMITED.",NA,NA,NA,NA
"116","myb328103",1908,"SHOTTS IRON COMPANY LIMITED",827250.6,NA,NA,NA,NA,"castle street edinburgh","The authorised capital is £170,000, in 120,000 4J per cent. A preference and",NA,NA,NA,NA
