"id","type","source","year","lastname","firstname","middlename","simpname","edu","org","loc","lon","lat","country","text","position","lname","nationality","company","freq","prof"
"aime71049","professional","taime",1884,"lewis","j","eustace","lewis, j e","architect",NA,"dover n j",-74.5621,40.88399,"united states of america",NA,NA,"lewis",NA,NA,78851,NA
"aime71051","professional","taime",1884,"lewis","j","eustace","lewis, j e","architect",NA,"richmond va",-77.43605,37.54073,"united states of america",NA,NA,"lewis",NA,NA,78851,NA
"aime71050","professional","taime",1884,"lewis","j","eustace","lewis, j e","architect",NA,"new york city",-74.00597,40.71278,NA,NA,NA,"lewis",NA,NA,78851,NA
"aime71388","professional","taime",1884,"lilienberg","n",NA,"lilienberg, n",NA,NA,"new york city",-74.00597,40.71278,NA,NA,NA,"lilienberg",NA,NA,78851,NA
"aime71432","professional","taime",1884,"lilly","w",NA,"lilly, w",NA,NA,"mauch chunk pa",-75.73241,40.87592,"united states of america",NA,NA,"lilly",NA,NA,78851,NA
"aime71458","professional","taime",1884,"lincke","g",NA,"lincke, g",NA,NA,"bromberg germany",18.00844,53.12348,"poland",NA,NA,"lincke",NA,NA,78851,NA
"aime71470","professional","taime",1884,"lincoln","charles","t","lincoln, c t","chemistry","English High School","boston mass",-71.05888,42.36008,"united states of america",NA,NA,"lincoln",NA,NA,3,NA
"aime71504","professional","taime",1884,"lincoln","george","russell","lincoln, g r","mining eng","Mit","harrisburg pa",-76.8867,40.27319,"united states of america",NA,"student","lincoln",NA,NA,48921,"student"
"aime71584","professional","taime",1884,"lindgren","waldemar",NA,"lindgren, w",NA,"Sachs Bergakademie","anaconda mont",-112.9478,46.1263,"united states of america",NA,NA,"lindgren",NA,NA,1,NA
"aime71669","professional","taime",1884,"lindsley","stuart",NA,"lindsley, s","mining eng","Cu","orange n j",-74.23265,40.77062,"united states of america",NA,"student","lindsley",NA,NA,4574,"student"
"aime71872","professional","taime",1884,"litile","f",NA,"litile, f",NA,"North Chicago Rolling Mill Company","chicago ill",-87.6298,41.87811,"united states of america",NA,NA,"litile",NA,NA,38,NA
"aime72146","professional","taime",1884,"livingston","harry","c","livingston, h c","mining eng",NA,"columbia co n y",-73.55941,42.36788,"united states of america",NA,NA,"livingston",NA,NA,78851,NA
"aime72322","professional","taime",1884,"loaean","j",NA,"loaean, j",NA,NA,"philadelphia pa",-75.16522,39.95258,"united states of america",NA,NA,"loaean",NA,NA,78851,NA
"aime72332","professional","taime",1884,"lobanoff","p",NA,"lobanoff, p",NA,NA,"chicago ill",-87.6298,41.87811,"united states of america",NA,NA,"lobanoff",NA,NA,78851,NA
