"","id","source","year","company","capital","lastname","firstname","middlename","role","loc","text","simpname","srch","temp","geometry"
"28184","myb398514","myb",1910,"B M SYNDICATE LIMITED",364786,"been","change","had","board","johannesburg","change had not been effected. The authorised capital is £75,000, in 75,000,","been, c h",NA,"myb",c(28.04731, -26.2041)
"28185","myb398515","myb",1910,"B M SYNDICATE LIMITED",NA,"each","of",NA,"board","coleman","shares of £1 each ; 1,252 shares are issued and fully paid. No accounts received.","each, o",NA,"myb",c(-94.8779, 36.87651)
"28186","myb398515","myb",1910,"B M SYNDICATE LIMITED",NA,"fully","are","issued","board","coleman","shares of £1 each ; 1,252 shares are issued and fully paid. No accounts received.","fully, a i",NA,"myb",c(-94.8779, 36.87651)
"28190","myb398519","myb",1910,"B M SYNDICATE LIMITED",NA,"coast","areathe","french","board","coleman","area in the French Ivory Coast. The consideration was £1,500 in fully-paid","coast, a f",NA,"myb",c(-94.8779, 36.87651)
"28197","myb398526","myb",1910,"B M SYNDICATE LIMITED",NA,"hollan","charles","t","board","rhodesia","Herbert L. Stokes, Chairman. I William Rhodes, J.P. I Edward L. Lucas. | Charles T. Holland. G. Soymour Fort.","hollan, c t",NA,"myb",c(-97.21348, 32.82943)
"28198","myb398526","myb",1910,"B M SYNDICATE LIMITED",NA,"lucas","edward","l","board","rhodesia","Herbert L. Stokes, Chairman. I William Rhodes, J.P. I Edward L. Lucas. | Charles T. Holland. G. Soymour Fort.","lucas, e l",NA,"myb",c(-97.21348, 32.82943)
"28199","myb398526","myb",1910,"B M SYNDICATE LIMITED",NA,"rhodes","william",NA,"board","rhodesia","Herbert L. Stokes, Chairman. I William Rhodes, J.P. I Edward L. Lucas. | Charles T. Holland. G. Soymour Fort.","rhodes, w",NA,"myb",c(-97.21348, 32.82943)
"28200","myb398526","myb",1910,"B M SYNDICATE LIMITED",NA,"stokes","herbert","l","chair","rhodesia","Herbert L. Stokes, Chairman. I William Rhodes, J.P. I Edward L. Lucas. | Charles T. Holland. G. Soymour Fort.","stokes, h l",NA,"myb",c(-97.21348, 32.82943)
"28201","myb398527","myb",1910,"B M SYNDICATE LIMITED",NA,"cook","j",NA,"manager","rhodesia","General Managers in Rhodesia. Mashonaland Agency, Ltd. Mine Manager J. Cook, Battlefields, Uratiiati, Rhodesia. London BankersL onBadnoknotAAufdricitao, rLstd . Ful|ler,London Solicitors Julius 4 Thomas. Wise. Kirhy A Kisher.","cook, j",NA,"myb",c(-97.21348, 32.82943)
"28259","myb398585","myb",1910,"B M SYNDICATE LIMITED",NA,"cahen","g",NA,"board","rhodesia","Edmund Davis, Chairman. | Lord Gifford, V.C. | T. J. Seel. I G. Cahen.","cahen, g",NA,"myb",c(-97.21348, 32.82943)
"28260","myb398585","myb",1910,"B M SYNDICATE LIMITED",NA,"davis","edmund",NA,"chair","rhodesia","Edmund Davis, Chairman. | Lord Gifford, V.C. | T. J. Seel. I G. Cahen.","davis, e",NA,"myb",c(-97.21348, 32.82943)
"28261","myb398585","myb",1910,"B M SYNDICATE LIMITED",NA,"gifford","lord",NA,"board","rhodesia","Edmund Davis, Chairman. | Lord Gifford, V.C. | T. J. Seel. I G. Cahen.","gifford, l",NA,"myb",c(-97.21348, 32.82943)
"28262","myb398585","myb",1910,"B M SYNDICATE LIMITED",NA,"seel","t","j","board","rhodesia","Edmund Davis, Chairman. | Lord Gifford, V.C. | T. J. Seel. I G. Cahen.","seel, t j",NA,"myb",c(-97.21348, 32.82943)
"28263","myb398586","myb",1910,"B M SYNDICATE LIMITED",NA,"hookley","c",NA,"board","rhodesia","C. Hookley.","hookley, c",NA,"myb",c(-97.21348, 32.82943)
"28264","myb398587","myb",1910,"B M SYNDICATE LIMITED",NA,"afric","in","s","superintendent","rhodesia","General Superintendent in S. Africa H. V. Moffat, Bulawayo, Rhodesia. Agents in South Africa Adolph Moscnthal & Co., Port Elizabeth.","afric, i s",NA,"myb",c(-97.21348, 32.82943)
"28374","myb399987","myb",1910,"CENTRAL MINING AND INVESTMENT CORPN LTD",NA,"hutcuinbon","co","e","board","london","Harry S. Lyons, Chairman. | Co . E. O. HutcuinBon, alternate C. N. Knox-Davies.","hutcuinbon, c e",NA,"myb",c(-0.1277583, 51.50735)
"28375","myb399987","myb",1910,"CENTRAL MINING AND INVESTMENT CORPN LTD",NA,"lyons","harry","s","chair","london","Harry S. Lyons, Chairman. | Co . E. O. HutcuinBon, alternate C. N. Knox-Davies.","lyons, h s",NA,"myb",c(-0.1277583, 51.50735)
"28376","myb399988","myb",1910,"CENTRAL MINING AND INVESTMENT CORPN LTD",NA,"guedalla","f","m","board","london","F. M. Guedalla. | E. H. Lyons.","guedalla, f m",NA,"myb",c(-0.1277583, 51.50735)
"28377","myb399988","myb",1910,"CENTRAL MINING AND INVESTMENT CORPN LTD",NA,"lyons","e","h","board","london","F. M. Guedalla. | E. H. Lyons.","lyons, e h",NA,"myb",c(-0.1277583, 51.50735)
"28378","myb399989","myb",1910,"CENTRAL MINING AND INVESTMENT CORPN LTD",NA,"fran","llsh","prince","board","london","ll.S.H. Prince Franz Von HaUfeldt-WiMenbui-g, alternate R. C. Edwards.","fran, l p",NA,"myb",c(-0.1277583, 51.50735)
"28379","myb399991","myb",1910,"CENTRAL MINING AND INVESTMENT CORPN LTD",NA,"london","central","south","board","london","CENTRAL SOUTH AFBICAN London Committee.","london, c s",NA,"myb",c(-0.1277583, 51.50735)
"28476","myb400317","myb",1910,"CITY AND SUBUREAN GOLD MINING AND ESTATE COMPANY LIMITED",NA,"boyd","h","c","board","london","CITY DEEP, JJMJTED. Directors Qualification, L. Reyershach, 200 shares . Chairman, alternate E. A. Wallers. I H. C. Boyd, alternate P. Perry. F. D. P. Chaplin, alternate C. Hely-Hutehinson. I W. H. Da we, alternate W. H. B. Frank.","boyd, h c",NA,"myb",c(-0.1277583, 51.50735)
"28477","myb400317","myb",1910,"CITY AND SUBUREAN GOLD MINING AND ESTATE COMPANY LIMITED",NA,"deep","city",NA,"chair","london","CITY DEEP, JJMJTED. Directors Qualification, L. Reyershach, 200 shares . Chairman, alternate E. A. Wallers. I H. C. Boyd, alternate P. Perry. F. D. P. Chaplin, alternate C. Hely-Hutehinson. I W. H. Da we, alternate W. H. B. Frank.","deep, c",NA,"myb",c(-0.1277583, 51.50735)
"28478","myb400318","myb",1910,"CITY AND SUBUREAN GOLD MINING AND ESTATE COMPANY LIMITED",NA,"alternat","h","neuhaus","board","london","Abe Bailey, alternate J. H. Ryan. | H. Neuhaus alternate M. Francke. J. G. Hamilton, alternate E. Wolfes.","alternat, h n",NA,"myb",c(-0.1277583, 51.50735)
"28479","myb400318","myb",1910,"CITY AND SUBUREAN GOLD MINING AND ESTATE COMPANY LIMITED",NA,"bailey","abe",NA,"board","london","Abe Bailey, alternate J. H. Ryan. | H. Neuhaus alternate M. Francke. J. G. Hamilton, alternate E. Wolfes.","bailey, a",NA,"myb",c(-0.1277583, 51.50735)
"28481","myb400320","myb",1910,"CITY AND SUBUREAN GOLD MINING AND ESTATE COMPANY LIMITED",NA,"mein","w","w","manager","johannesburg","Consulting EngCi.nBeaebre. | L. 0. G. Sartoris. | A. P. Hillier. and General Manager W. W. Mein, Box 1146,Johannesburg. Manager J. Whitford, Box 1145, Johannesburg. Secretary and Offices S. C. 8teil, The Corner House, Box 1146, Johannesburg.","mein, w w",NA,"myb",c(28.04731, -26.2041)
"28536","myb401955","myb",1910,"DUNDEE COAL CO LTD",NA,"barnes","e","s","board","sydney","Sir B. W. Greenacre, J.P., Chairman. | E. S. W. Barnes. | J. Ellis Brown.","barnes, e s",NA,"myb",c(151.2093, -33.86882)
"28537","myb401955","myb",1910,"DUNDEE COAL CO LTD",NA,"brown","j","ellis","board","sydney","Sir B. W. Greenacre, J.P., Chairman. | E. S. W. Barnes. | J. Ellis Brown.","brown, j e",NA,"myb",c(151.2093, -33.86882)
"28538","myb401955","myb",1910,"DUNDEE COAL CO LTD",NA,"greenacre","b","w","chair","sydney","Sir B. W. Greenacre, J.P., Chairman. | E. S. W. Barnes. | J. Ellis Brown.","greenacre, b w",NA,"myb",c(151.2093, -33.86882)
"28539","myb401956","myb",1910,"DUNDEE COAL CO LTD",NA,"hepburn","andrew",NA,"board","sydney","Andrew Hepburn. | John Livinjrston. | C. E. Otto Siedle.","hepburn, a",NA,"myb",c(151.2093, -33.86882)
"28540","myb401956","myb",1910,"DUNDEE COAL CO LTD",NA,"livinjrston","john",NA,"board","sydney","Andrew Hepburn. | John Livinjrston. | C. E. Otto Siedle.","livinjrston, j",NA,"myb",c(151.2093, -33.86882)
"28541","myb401956","myb",1910,"DUNDEE COAL CO LTD",NA,"siedle","c","e","board","sydney","Andrew Hepburn. | John Livinjrston. | C. E. Otto Siedle.","siedle, c e",NA,"myb",c(151.2093, -33.86882)
"28542","myb401957","myb",1910,"DUNDEE COAL CO LTD",NA,"sutton","sir","g","board","sydney","Hon. Sir G. M. Sutton, K.O.M.G., M.L.C.","sutton, s g",NA,"myb",c(151.2093, -33.86882)
"28543","myb401958","myb",1910,"DUNDEE COAL CO LTD",NA,"board","london",NA,"board","london","London Board.","board, l",NA,"myb",c(-0.1277583, 51.50735)
"28545","myb401960","myb",1910,"DUNDEE COAL CO LTD",NA,"bekenn","a","r","manager","london","Manager A. R. Bekenn, Talana, Natal.","bekenn, a r",NA,"myb",c(-0.1277583, 51.50735)
"28579","myb401994","myb",1910,"DUNDEE COAL CO LTD",NA,"dixon","f","e","board","london","Edmund W. Janson, Chairman. | Leiiili Hoskvn . I F. E. Dixon.","dixon, f e",NA,"myb",c(-0.1277583, 51.50735)
"28580","myb401994","myb",1910,"DUNDEE COAL CO LTD",NA,"hoskvn","leiiili",NA,"board","london","Edmund W. Janson, Chairman. | Leiiili Hoskvn . I F. E. Dixon.","hoskvn, l",NA,"myb",c(-0.1277583, 51.50735)
"28581","myb401994","myb",1910,"DUNDEE COAL CO LTD",NA,"janson","edmund","w","chair","london","Edmund W. Janson, Chairman. | Leiiili Hoskvn . I F. E. Dixon.","janson, e w",NA,"myb",c(-0.1277583, 51.50735)
"28582","myb401995","myb",1910,"DUNDEE COAL CO LTD",NA,"clay","stanley","k","board","chilian","K. W. Lund. | Stanley K. Clay. | T.","clay, s k",NA,"myb",c(-71.54297, -35.67515)
"28583","myb401995","myb",1910,"DUNDEE COAL CO LTD",NA,"lund","k","w","board","chilian","K. W. Lund. | Stanley K. Clay. | T.","lund, k w",NA,"myb",c(-71.54297, -35.67515)
"28584","myb401996","myb",1910,"DUNDEE COAL CO LTD",NA,"forrester","w",NA,"board","chilian","W. Forrester.","forrester, w",NA,"myb",c(-71.54297, -35.67515)
"28616","myb402029","myb",1910,"DUNDEE COAL CO LTD",NA,"beyersbach","l",NA,"chair","london","L. Beyersbach, Chairman, alternate S. Evans. | j. G. Carrey, alternate J. H. Ryan.","beyersbach, l",NA,"myb",c(-0.1277583, 51.50735)
"28617","myb402029","myb",1910,"DUNDEE COAL CO LTD",NA,"carrey","j","g","board","london","L. Beyersbach, Chairman, alternate S. Evans. | j. G. Carrey, alternate J. H. Ryan.","carrey, j g",NA,"myb",c(-0.1277583, 51.50735)
"28618","myb402030","myb",1910,"DUNDEE COAL CO LTD",NA,"jacobs","edward",NA,"board","london","Edward Jacobs, alternate L. F. W. Cohen. H. 0 K. Webber.","jacobs, e",NA,"myb",c(-0.1277583, 51.50735)
"28619","myb402031","myb",1910,"DUNDEE COAL CO LTD",NA,"boyd","h","c","board","london","H. C. Boyd, alternate E. A. Wallers.","boyd, h c",NA,"myb",c(-0.1277583, 51.50735)
"28622","myb402034","myb",1910,"DUNDEE COAL CO LTD",NA,"mcdonald","h","c","manager","johannesburg","W. G. Izard, alternate J. S. Sheldrick. | P. Troquet. Consulting Engineer G. E. Webber, Box 1066, Johannesburg. Mine Manager H. C. McDonald, Box 110, Roodepoort. Secretary and Offices H. A. Read Trantfer Secretary, F. H. Barry ,","mcdonald, h c",NA,"myb",c(28.04731, -26.2041)
"28623","myb402034","myb",1910,"DUNDEE COAL CO LTD",NA,"webber","g","e","engineer","johannesburg","W. G. Izard, alternate J. S. Sheldrick. | P. Troquet. Consulting Engineer G. E. Webber, Box 1066, Johannesburg. Mine Manager H. C. McDonald, Box 110, Roodepoort. Secretary and Offices H. A. Read Trantfer Secretary, F. H. Barry ,","webber, g e",NA,"myb",c(28.04731, -26.2041)
"28650","myb409535","myb",1910,"NEW BRITISH TRANSVAAL MINES LTD",NA,"harri","ft","vl","board","transvaal","Directors Qualification, 100 shares . ft. vl. Harris j A. Powles; HiPearce.","harri, f v",NA,"myb",c(-81.1831, 43.23256)
"28678","myb409563","myb",1910,"NEW BRITISH TRANSVAAL MINES LTD",NA,"johnson","a","h","board","s street capetown","A. H. Johnson.","johnson, a h",NA,"myb",c(18.41908, -33.91891)
"28679","myb409564","myb",1910,"NEW BRITISH TRANSVAAL MINES LTD",NA,"fratcr","r",NA,"board","s street capetown","R. Fratcr.","fratcr, r",NA,"myb",c(18.41908, -33.91891)
"28680","myb409565","myb",1910,"NEW BRITISH TRANSVAAL MINES LTD",NA,"chambers","scll","ar","board","s street capetown","Scll ar s Chambers, St. George s Street, Cape Town. E. H. Txmms, 32, Great St. Helen s, B.C. .","chambers, s a",NA,"myb",c(18.41908, -33.91891)
"28681","myb409566","myb",1910,"NEW BRITISH TRANSVAAL MINES LTD",NA,"honc","m",NA,"board","s street capetown","M honc: 6215 Avenue.","honc, m",NA,"myb",c(18.41908, -33.91891)
"28701","myb413221","myb",1910,"REACHES EVERY CLASS OF INVESTOR AND BUYER",NA,"jerome","charles",NA,"board","jerome","Directors Qualification, £100 . H O K. Webber, Chairman. | Charles Jerome, alternate R. R. Ward.","jerome, c",NA,"myb",c(-112.1138, 34.74891)
"28702","myb413221","myb",1910,"REACHES EVERY CLASS OF INVESTOR AND BUYER",NA,"webber","h","o","chair","jerome","Directors Qualification, £100 . H O K. Webber, Chairman. | Charles Jerome, alternate R. R. Ward.","webber, h o",NA,"myb",c(-112.1138, 34.74891)
"28703","myb413222","myb",1910,"REACHES EVERY CLASS OF INVESTOR AND BUYER",NA,"gregor","alfred",NA,"board","jerome","Alfred Gregor, | Count M. Piaani-Jourdan, alternate W. E. Stackman.","gregor, a",NA,"myb",c(-112.1138, 34.74891)
"28704","myb413222","myb",1910,"REACHES EVERY CLASS OF INVESTOR AND BUYER",NA,"piaanijourdan","count","m","board","jerome","Alfred Gregor, | Count M. Piaani-Jourdan, alternate W. E. Stackman.","piaanijourdan, c m",NA,"myb",c(-112.1138, 34.74891)
"28705","myb413223","myb",1910,"REACHES EVERY CLASS OF INVESTOR AND BUYER",NA,"friedlander","e",NA,"board","london","R. G. Levy, alternate J. Jonrdan. | E. J. Sievwright, alternate J. Donaldson. | E. Friedlander.","friedlander, e",NA,"myb",c(-0.1277583, 51.50735)
"28706","myb413223","myb",1910,"REACHES EVERY CLASS OF INVESTOR AND BUYER",NA,"levy","r","g","board","london","R. G. Levy, alternate J. Jonrdan. | E. J. Sievwright, alternate J. Donaldson. | E. Friedlander.","levy, r g",NA,"myb",c(-0.1277583, 51.50735)
"28707","myb413223","myb",1910,"REACHES EVERY CLASS OF INVESTOR AND BUYER",NA,"sievwright","e","j","board","london","R. G. Levy, alternate J. Jonrdan. | E. J. Sievwright, alternate J. Donaldson. | E. Friedlander.","sievwright, e j",NA,"myb",c(-0.1277583, 51.50735)
"28709","myb413225","myb",1910,"REACHES EVERY CLASS OF INVESTOR AND BUYER",NA,"brand","a","g","board","london","C. A. Massaouti. | Hon. A. G. Brand. | J. H. M. Shaw.","brand, a g",NA,"myb",c(-0.1277583, 51.50735)
"28710","myb413225","myb",1910,"REACHES EVERY CLASS OF INVESTOR AND BUYER",NA,"massaouti","c","a","board","london","C. A. Massaouti. | Hon. A. G. Brand. | J. H. M. Shaw.","massaouti, c a",NA,"myb",c(-0.1277583, 51.50735)
"28711","myb413225","myb",1910,"REACHES EVERY CLASS OF INVESTOR AND BUYER",NA,"shaw","j","h","board","london","C. A. Massaouti. | Hon. A. G. Brand. | J. H. M. Shaw.","shaw, j h",NA,"myb",c(-0.1277583, 51.50735)
"28738","myb413252","myb",1910,"REACHES EVERY CLASS OF INVESTOR AND BUYER",NA,"gauf","j","l","board","johannesburg","H, Directors. de V. Steytler, Chairman, alternate A. Hullonav. | J. L. Gauf, alternate M. J. Foote.","gauf, j l",NA,"myb",c(28.04731, -26.2041)
"28897","myb419302","myb",1910,"VICTORIA FALLS AND TRANSVAAL POWER CO LTD",NA,"birchenouebcmg","j","h","board","winchester","Marquess of Winchester. Chairman. | J. H. BirchenoUEb.C.M.G. | R. Q. Frioker","birchenouebcmg, j h",NA,"myb",c(-121.951, 37.31833)
"28898","myb419302","myb",1910,"VICTORIA FALLS AND TRANSVAAL POWER CO LTD",NA,"chair","marquess","of","chair","winchester","Marquess of Winchester. Chairman. | J. H. BirchenoUEb.C.M.G. | R. Q. Frioker","chair, m o",NA,"myb",c(-121.951, 37.31833)
"28899","myb419302","myb",1910,"VICTORIA FALLS AND TRANSVAAL POWER CO LTD",NA,"frioker","r","q","board","winchester","Marquess of Winchester. Chairman. | J. H. BirchenoUEb.C.M.G. | R. Q. Frioker","frioker, r q",NA,"myb",c(-121.951, 37.31833)
"28900","myb419303","myb",1910,"VICTORIA FALLS AND TRANSVAAL POWER CO LTD",NA,"brakhan","a",NA,"board","winchester","A. Brakhan. | Isaac Lewis. | Sir CharleB Metcalf.","brakhan, a",NA,"myb",c(-121.951, 37.31833)
"28901","myb419303","myb",1910,"VICTORIA FALLS AND TRANSVAAL POWER CO LTD",NA,"lewis","isaac",NA,"board","winchester","A. Brakhan. | Isaac Lewis. | Sir CharleB Metcalf.","lewis, i",NA,"myb",c(-121.951, 37.31833)
"28902","myb419303","myb",1910,"VICTORIA FALLS AND TRANSVAAL POWER CO LTD",NA,"metcalf","charleb",NA,"board","winchester","A. Brakhan. | Isaac Lewis. | Sir CharleB Metcalf.","metcalf, c",NA,"myb",c(-121.951, 37.31833)
"28903","myb419304","myb",1910,"VICTORIA FALLS AND TRANSVAAL POWER CO LTD",NA,"rathenau","geheimrath","e","board","berlin","Geheimrath E. Rathenau, Berlin. Hans Schuster, Berlin.","rathenau, g e",NA,"myb",c(13.40495, 52.52001)
"28904","myb419305","myb",1910,"VICTORIA FALLS AND TRANSVAAL POWER CO LTD",NA,"hadley","a","e","engineer","london","Hon. J. R. Delap Tollemache. | W. A. wills. | A. E. Hadley, Managing. Engineers in Chief Sir Douglas Fox and Partners, London j Sir Charles Metcalfe, Bart.","hadley, a e",NA,"myb",c(-0.1277583, 51.50735)
"28905","myb419305","myb",1910,"VICTORIA FALLS AND TRANSVAAL POWER CO LTD",NA,"tollemache","j","r","board","london","Hon. J. R. Delap Tollemache. | W. A. wills. | A. E. Hadley, Managing. Engineers in Chief Sir Douglas Fox and Partners, London j Sir Charles Metcalfe, Bart.","tollemache, j r",NA,"myb",c(-0.1277583, 51.50735)
"28906","myb419305","myb",1910,"VICTORIA FALLS AND TRANSVAAL POWER CO LTD",NA,"wills","w","a","board","london","Hon. J. R. Delap Tollemache. | W. A. wills. | A. E. Hadley, Managing. Engineers in Chief Sir Douglas Fox and Partners, London j Sir Charles Metcalfe, Bart.","wills, w a",NA,"myb",c(-0.1277583, 51.50735)
"28908","myb419307","myb",1910,"VICTORIA FALLS AND TRANSVAAL POWER CO LTD",NA,"wripht","arthur",NA,"engineer","rhodesia","VICTORIA FALLS AND TRANSVAAL POWER Electrical Engineer -Arthur Wripht.","wripht, a",NA,"myb",c(-97.21348, 32.82943)
"28965","myb419364","myb",1910,"VICTORIA FALLS AND TRANSVAAL POWER CO LTD",NA,"hollins","r","r","board","london","R. W. Schumacher, Chairman, alternate C. Dietel. | R. R. Hollins, alternate J. Jolly.","hollins, r r",NA,"myb",c(-0.1277583, 51.50735)
"28966","myb419364","myb",1910,"VICTORIA FALLS AND TRANSVAAL POWER CO LTD",NA,"schumacher","r","w","chair","london","R. W. Schumacher, Chairman, alternate C. Dietel. | R. R. Hollins, alternate J. Jolly.","schumacher, r w",NA,"myb",c(-0.1277583, 51.50735)
"28967","myb419365","myb",1910,"VICTORIA FALLS AND TRANSVAAL POWER CO LTD",NA,"chaplin","p","d","board","london","P. D. P. Chaplin, alternate C. HelyUntchinson. | H.C.Boyd.","chaplin, p d",NA,"myb",c(-0.1277583, 51.50735)
"28968","myb419366","myb",1910,"VICTORIA FALLS AND TRANSVAAL POWER CO LTD",NA,"dawe","w","h","board","london","W. H. Dawe, alternate W. H. B. Frank. | J. H. Ryan. | E. A. Wallers, alternate C. Meintjes.","dawe, w h",NA,"myb",c(-0.1277583, 51.50735)
"28969","myb419366","myb",1910,"VICTORIA FALLS AND TRANSVAAL POWER CO LTD",NA,"ryan","j","h","board","london","W. H. Dawe, alternate W. H. B. Frank. | J. H. Ryan. | E. A. Wallers, alternate C. Meintjes.","ryan, j h",NA,"myb",c(-0.1277583, 51.50735)
"28970","myb419366","myb",1910,"VICTORIA FALLS AND TRANSVAAL POWER CO LTD",NA,"wallers","e","a","board","london","W. H. Dawe, alternate W. H. B. Frank. | J. H. Ryan. | E. A. Wallers, alternate C. Meintjes.","wallers, e a",NA,"myb",c(-0.1277583, 51.50735)
"28971","myb419367","myb",1910,"VICTORIA FALLS AND TRANSVAAL POWER CO LTD",NA,"marx","c",NA,"board","london","C. Marx, alternate P. RichardBon.","marx, c",NA,"myb",c(-0.1277583, 51.50735)
"28974","myb419370","myb",1910,"VICTORIA FALLS AND TRANSVAAL POWER CO LTD",NA,"anderson","w","t","manager","stanhope","L. Wagner, alternate P. Troquet. | Earl Consulting EonfgCinheeseterr field, alternate Hon. C. H. 8. Stanhope. w. W. Mein. Mine Manager W. T. Anderson, Box 1145, Johannesburg.","anderson, w t",NA,"myb",c(-78.67664, 35.78939)
"29040","myb420701","myb",1910,"WITKOPJE GOJ D MINES LIMITED",NA,"moreoroft","t","l","board","stanhope","W. C. Sheppard. | T. L. Moreoroft. | J. Perkes. | Hon. Henry A. Stanhope. | F. Tripcony.","moreoroft, t l",NA,"myb",c(-78.67664, 35.78939)
"29041","myb420701","myb",1910,"WITKOPJE GOJ D MINES LIMITED",NA,"perkes","j",NA,"board","stanhope","W. C. Sheppard. | T. L. Moreoroft. | J. Perkes. | Hon. Henry A. Stanhope. | F. Tripcony.","perkes, j",NA,"myb",c(-78.67664, 35.78939)
"29042","myb420701","myb",1910,"WITKOPJE GOJ D MINES LIMITED",NA,"sheppard","w","c","board","stanhope","W. C. Sheppard. | T. L. Moreoroft. | J. Perkes. | Hon. Henry A. Stanhope. | F. Tripcony.","sheppard, w c",NA,"myb",c(-78.67664, 35.78939)
"29043","myb420701","myb",1910,"WITKOPJE GOJ D MINES LIMITED",NA,"stanhope","henry","a","board","stanhope","W. C. Sheppard. | T. L. Moreoroft. | J. Perkes. | Hon. Henry A. Stanhope. | F. Tripcony.","stanhope, h a",NA,"myb",c(-78.67664, 35.78939)
"29044","myb420701","myb",1910,"WITKOPJE GOJ D MINES LIMITED",NA,"tripcony","f",NA,"board","stanhope","W. C. Sheppard. | T. L. Moreoroft. | J. Perkes. | Hon. Henry A. Stanhope. | F. Tripcony.","tripcony, f",NA,"myb",c(-78.67664, 35.78939)
"29059","myb420716","myb",1910,"WITKOPJE GOJ D MINES LIMITED",NA,"witpoortje","farm",NA,"board","london","farm Witpoortje, WitwatersTand. These olaims have been abandoned, and","witpoortje, f",NA,"myb",c(-0.1277583, 51.50735)
"29061","myb420718","myb",1910,"WITKOPJE GOJ D MINES LIMITED",NA,"district","zontpansberg",NA,"board","transvaal","Zontpansberg district, Northern Transvaal.","district, z",NA,"myb",c(-81.1831, 43.23256)
"29070","myb420727","myb",1910,"WITKOPJE GOJ D MINES LIMITED",NA,"dawe","w","h","chair","london","W. H. Dawe, Chairman, alternate A. G. Gill.","dawe, w h",NA,"myb",c(-0.1277583, 51.50735)
"29071","myb420728","myb",1910,"WITKOPJE GOJ D MINES LIMITED",NA,"goldmann","charles","s","board","london","Charles S. Goldmann, alternated. GotdmaD. | Woodthorpe T. Graham, alternate C. J. Meintjes. J. Friedlander, alternate G. C. Fitapatrick. I E. A. Wallers, alternate C. Distol.","goldmann, c s",NA,"myb",c(-0.1277583, 51.50735)
"29072","myb420728","myb",1910,"WITKOPJE GOJ D MINES LIMITED",NA,"graham","woodthorpe","t","board","london","Charles S. Goldmann, alternated. GotdmaD. | Woodthorpe T. Graham, alternate C. J. Meintjes. J. Friedlander, alternate G. C. Fitapatrick. I E. A. Wallers, alternate C. Distol.","graham, w t",NA,"myb",c(-0.1277583, 51.50735)
"29073","myb420728","myb",1910,"WITKOPJE GOJ D MINES LIMITED",NA,"wallers","e","a","board","london","Charles S. Goldmann, alternated. GotdmaD. | Woodthorpe T. Graham, alternate C. J. Meintjes. J. Friedlander, alternate G. C. Fitapatrick. I E. A. Wallers, alternate C. Distol.","wallers, e a",NA,"myb",c(-0.1277583, 51.50735)
"29074","myb420729","myb",1910,"WITKOPJE GOJ D MINES LIMITED",NA,"niven","a","mackie","board","london","A. Mackie Niven.","niven, a m",NA,"myb",c(-0.1277583, 51.50735)
"29076","myb420731","myb",1910,"WITKOPJE GOJ D MINES LIMITED",NA,"thomson","samuel","c","engineer","johannesburg","Charles Rube. I Ludwig Wagner. | J. L. Bergson. | W. Wells. Consulting Engineer Samuel C. Thomson, Box 48S, Johannesburg. Mine Manager Henry Hay, Box 6, Knight s, Transvaal.","thomson, s c",NA,"myb",c(28.04731, -26.2041)
"29464","myb459697","myb",1911,"BANTJES CONSOLIDATED",NA,"wallers","b","a","chair","london","B. A. Wallers, Chairman, alternate R. W. Schumacher.","wallers, b a",NA,"myb",c(-0.1277583, 51.5073509)
"29465","myb459698","myb",1911,"BANTJES CONSOLIDATED",NA,"goldmann","s",NA,"board","london","S. Goldmann, M.P., alternate P. Dreyfus. | H.A. Rogers.","goldmann, s",NA,"myb",c(-0.1277583, 51.5073509)
"29466","myb459698","myb",1911,"BANTJES CONSOLIDATED",NA,"rogers","ha",NA,"board","london","S. Goldmann, M.P., alternate P. Dreyfus. | H.A. Rogers.","rogers, h",NA,"myb",c(-0.1277583, 51.5073509)
"29467","myb459699","myb",1911,"BANTJES CONSOLIDATED",NA,"graham","w","t","board","london","W. T. Graham, alternate C. Distel. | Gnstav Sonn, alternate Cte. F. de Ferriere .","graham, w t",NA,"myb",c(-0.1277583, 51.5073509)
"29468","myb459699","myb",1911,"BANTJES CONSOLIDATED",NA,"sonn","gnstav",NA,"board","london","W. T. Graham, alternate C. Distel. | Gnstav Sonn, alternate Cte. F. de Ferriere .","sonn, g",NA,"myb",c(-0.1277583, 51.5073509)
"29469","myb459700","myb",1911,"BANTJES CONSOLIDATED",NA,"dawe","w","h","board","london","P. Klkan, alternate E. Priedlander. | W. H. Dawe, alternate A. G. Gill.","dawe, w h",NA,"myb",c(-0.1277583, 51.5073509)
"29470","myb459700","myb",1911,"BANTJES CONSOLIDATED",NA,"klkan","p",NA,"board","london","P. Klkan, alternate E. Priedlander. | W. H. Dawe, alternate A. G. Gill.","klkan, p",NA,"myb",c(-0.1277583, 51.5073509)
"29472","myb459702","myb",1911,"BANTJES CONSOLIDATED",NA,"anderson","w","t","engineer","johannesburg","H. Goldie. I C. Rube. I P. Troquet. | C. S. Goldmann, M.P., alternate W. M. Wells. Consulting Engineer W. T. Anderson, Box 1145, Johannesburg. Manager Allan Kinkead, Estate Office, Piprida, Johannesburg. Estate Agent A. V. J. Lockic, Estate Office, Florida, Johannesburg.","anderson, w t",NA,"myb",c(28.0473051, -26.2041028)
