vol,Page,Text,Title,Date,Author,Total
12,0.0011065988804503,0.454899203901836,0.0121269159774152,0.00343059473876836,0,0.47156331349847
13,0.00114038382937472,0.474893840957661,0.0137117701470232,0.00347241137111283,5.92286781948954E-06,0.493224329172991
14,0.00105211267462797,0.429144355393269,0.0111604436858491,0.00390707176416432,1.81940177359521E-05,0.445282177535647
15,0.000946638278161582,0.395772374370718,0.0132193680655819,0.00344718633466983,4.19710589487977E-06,0.413389764155026
17,0.00102054588095912,0.371714642517922,0.0152717634458596,0.00340042103382757,1.85994047106842E-05,0.391425972283279
18,0.00111898211477241,0.363328636577456,0.016418681561064,0.00414724723641513,0,0.385013547489708
19,0.001122112287495,0.387840236625057,0.0197250231066541,0.00338881008412266,4.67821781357807E-05,0.412122964281465
21,0.00108837804353612,0.501385429961859,0.00987864608677783,0.00276719539256678,3.83120949302628E-06,0.515123480694233
22,0.0011038698326967,0.51828532407157,0.0104752897669546,0.00309906986279905,1.49812898889735E-05,0.532978534823909
23,0.00104422191377854,0.459557386560893,0.00937552115708468,0.00258151374936321,7.9875934219379E-06,0.472566630974542
24,0.00101225230808579,0.451484144949357,0.00976262413514666,0.00321304961593435,4.54147393093341E-05,0.465517485747833
25,0.00105356191330076,0.488235345428957,0.00845027591619183,0.00309337994714712,2.75909734198319E-05,0.500860154179016
26,0.00105813665825345,0.468526348084966,0.00711477074573292,0.00283843399693624,3.162753337968E-05,0.479569317019269
27,0.00108325840106385,0.563642197688953,0.00837623375133021,0.0029293980442263,5.48279118148729E-05,0.576085915797388
28,0.00107447507136677,0.540287253418819,0.00787566484205272,0.00295564149279789,8.89118875863555E-05,0.552281946712622
29,0.00107264183927609,0.550419532544885,0.00777104675155263,0.00288378470596117,7.41887437079614E-05,0.562221194585383
30,0.00114845589487229,0.547942596573993,0.00777994348715025,0.00285724465511695,0.000114437718860069,0.559842678329993
31,0.00105279492975489,0.536677376329268,0.0083058281597211,0.00264069125413603,6.57367565194608E-05,0.548742427429399
32,0.00109194897168157,0.512796927469188,0.00991346634858382,0.00284608086188728,0.000121381503993206,0.526769805155334
33,0.00104735495859482,0.502834409941162,0.00987668218630021,0.00284571798555629,4.72597925655039E-05,0.516651424864179
34,0.00110134008117165,0.549333503989646,0.00863652650125912,0.00369177780290409,2.906763695752E-05,0.562792216011938
35,0.00108456343626916,0.569840103805273,0.0066711314943169,0.00269159986692763,7.18317997292378E-06,0.58029458178276
36,0.0010395616189455,0.594090961973729,0.00614489160125873,0.00304032144657486,2.69161618520348E-05,0.60434265280236
37,0.00108178063831404,0.568894128397966,0.00694177246348156,0.00295098668070024,3.94477062702545E-05,0.579908115886732
38,0.00111887271362348,0.60977191942043,0.00668947124776909,0.00263905631429724,1.96438748018894E-05,0.620238963570922
39,0.00108819277231858,0.588091214364505,0.00790409575194216,0.00275868889976218,1.47452225425628E-05,0.59985693701107
40,0.000814659662425056,0.5864347982585,0.00821846111003494,0.003006284202978,0,0.598474203233938
41,0.00110317315894693,0.552080520296106,0.00762085777204097,0.00255035907951029,9.68206731954312E-06,0.563364592373923
42,0.00111836356938807,0.542059925317493,0.00712450603777996,0.00253301290490476,1.10102066630264E-05,0.552846818036229
43,0.00107429856612101,0.516253233489339,0.00834869605888793,0.00239783824870313,4.75243368528942E-05,0.528121590699904
44,0.00106252475332371,0.544301977667065,0.00727347426522331,0.00276135577910537,5.12358009423848E-05,0.55545056826566
45,0.00112396567309714,0.50195696876262,0.00731626952634912,0.00255205949941608,5.02191557532561E-05,0.512999482617236
46,0.0011424201480186,0.521767726034901,0.00688639360138347,0.00259400533173827,4.12952209323383E-05,0.532431840336973
47,0.00108432702330549,0.492266973518411,0.00623230729810247,0.0024219314325165,1.24696006292572E-05,0.502018008872965
48,0.00109204912434179,0.476057504385576,0.00561748162010379,0.00223021719911625,1.62257686050455E-05,0.485013478097742
