firstname,middlename,lastname,fname
francis,dupont,balch,Francis Dupont Balch
joseph,NA,balch,Joseph Balch
Joseph,NA,Balch,Joseph Balch
marion,casares,balch,Marion Casares Balch
samuel,NA,balch,Samuel Balch
samuel,w.,balch,Samuel W. Balch
charles,fowler,balcom,Charles Fowler Balcom
ernest,howard,balcom,Ernest Howard Balcom
edwin,leo,balcom,Edwin Leo Balcom
george,johnson,balcom,George Johnson Balcom
george,milo,balcom,George Milo Balcom
henry,barnesley,balcom,Henry Barnesley Balcom
hiram,ellsworth,balcom,Hiram Ellsworth Balcom
henry,furlong,balcom,Henry Furlong Balcom
jessie,NA,balcom,Jessie Balcom
james,clarke,balcom,James Clarke Balcom
loammi,franklin,balcom,Loammi Franklin Balcom
reuben,wilfred,balcom,Reuben Wilfred Balcom
thomas,williams,balcom,Thomas Williams Balcom
percy,miller,bald,Percy Miller Bald
martin,richard,baldauf,Martin Richard Baldauf
rich,julius,baldauf,Rich Julius Baldauf
justino,NA,balderrama,Justino Balderrama
vearle,s.,balderson,Vearle S. Balderson
raymond,charles,baldes,Raymond Charles Baldes
simon,NA,baldivieso,Simon Baldivieso
felipe,e.,baldo,Felipe E. Baldo
luis,a.,baldo,Luis A. Baldo
roland,webster,baldrey,Roland Webster Baldrey
ernest,barber,baldridge,Ernest Barber Baldridge
william,h.,baldridge,William H. Baldridge
alfred,NA,baldwin,Alfred Baldwin
annie,NA,baldwin,Annie Baldwin
abraham,rosecrans,baldwin,Abraham Rosecrans Baldwin
Alden,W.,Baldwin,Alden W. Baldwin
charles,e.,baldwin,Charles E. Baldwin
charles,edward,baldwin,Charles Edward Baldwin
charles,f.,baldwin,Charles F. Baldwin
charles,fowler,baldwin,Charles Fowler Baldwin
charles,handy,baldwin,Charles Handy Baldwin
cecil,john,baldwin,Cecil John Baldwin
david,e.,baldwin,David E. Baldwin
david,henry,baldwin,David Henry Baldwin
dwight,v.,baldwin,Dwight V. Baldwin
edward,arthur,baldwin,Edward Arthur Baldwin
edith,catherine,baldwin,Edith Catherine Baldwin
ernest,howard,baldwin,Ernest Howard Baldwin
frank,conger,baldwin,Frank Conger Baldwin
francis,george,baldwin,Francis George Baldwin
frank,oscar,baldwin,Frank Oscar Baldwin
frank,r.,baldwin,Frank R. Baldwin
george,ä.,baldwin,George Ä. Baldwin
george,johnson,baldwin,George Johnson Baldwin
george,palmer,baldwin,George Palmer Baldwin
hugh,NA,baldwin,Hugh Baldwin
henry,alexander,baldwin,Henry Alexander Baldwin
harry,alexander,baldwin,Harry Alexander Baldwin
hiram,e.,baldwin,Hiram E. Baldwin
hiram,ellsworth,baldwin,Hiram Ellsworth Baldwin
henry,f.,baldwin,Henry F. Baldwin
henry,furlong,baldwin,Henry Furlong Baldwin
howard,frazier,baldwin,Howard Frazier Baldwin
harry,l.,baldwin,Harry L. Baldwin
henry,pont,baldwin,Henry Pont Baldwin
henry,sill,baldwin,Henry Sill Baldwin
Harry,V.,Baldwin,Harry V. Baldwin
henry,van vlierden,baldwin,Henry Van Vlierden Baldwin
herbert,van vlierden,baldwin,Herbert Van Vlierden Baldwin
jessie,NA,baldwin,Jessie Baldwin
john,f.,baldwin,John F. Baldwin
james,morgen,baldwin,James Morgen Baldwin
john,m.,baldwin,John M. Baldwin
james,rumford,baldwin,James Rumford Baldwin
john,robinson,baldwin,John Robinson Baldwin
james,tileston,baldwin,James Tileston Baldwin
julian,townsend,baldwin,Julian Townsend Baldwin
james,w.,baldwin,James W. Baldwin
loammi,franklin,baldwin,Loammi Franklin Baldwin
loammi,s.,baldwin,Loammi S. Baldwin
marshall,albert,baldwin,Marshall Albert Baldwin
orville,dwight,baldwin,Orville Dwight Baldwin
robert,e.,baldwin,Robert E. Baldwin
robert,southwick,baldwin,Robert Southwick Baldwin
rollin,smith,baldwin,Rollin Smith Baldwin
stanley,NA,baldwin,Stanley Baldwin
theodore,anderson,baldwin,Theodore Anderson Baldwin
theodore,w.,baldwin,Theodore W. Baldwin
thomas,w.,baldwin,Thomas W. Baldwin
thomas,williams,baldwin,Thomas Williams Baldwin
william,NA,baldwin,William Baldwin
william,henry,baldwin,William Henry Baldwin
William,J.,Baldwin,William J. Baldwin
alfred,NA,baldwinip,Alfred Baldwinip
walter,vincent,baldyga,Walter Vincent Baldyga
bruce,buford,bale,Bruce Buford Bale
henrv,NA,bale,Henrv Bale
henry,NA,bale,Henry Bale
frederick,c.,balfe,Frederick C. Balfe
john,joseph,balfe,John Joseph Balfe
archibald,NA,balfour,Archibald Balfour
archibld,NA,balfour,Archibld Balfour
arthur,NA,balfour,Arthur Balfour
marshall,coulter,balfour,Marshall Coulter Balfour
joseph,arthur,bali,Joseph Arthur Bali
joseph,h.,bali,Joseph H. Bali
moorman,r.,balis,Moorman R. Balis
arthur,thomas,balkam,Arthur Thomas Balkam
clifford,mann,balkam,Clifford Mann Balkam
frank,carl,balke,Frank Carl Balke
and,stephen,balkwill,And Stephen Balkwill
volant,vashon,ball ard,Volant Vashon Ball Ard
alfred,NA,ball,Alfred Ball
Albert,L.,Ball,Albert L. Ball
arthur,lawrence,ball,Arthur Lawrence Ball
Allison,P.,Ball,Allison P. Ball
box,NA,ball,Box Ball
baron,NA,ball,Baron Ball
byron,e.,ball,Byron E. Ball
Charles,P.,Ball,Charles P. Ball
charles,william,ball,Charles William Ball
douglas,s.,ball,Douglas S. Ball
edward,NA,ball,Edward Ball
edwin,chester,ball,Edwin Chester Ball
edwin,jennings,ball,Edwin Jennings Ball
edwin,leo,ball,Edwin Leo Ball
George,D.,Ball,George D. Ball
george,m.,ball,George M. Ball
henry,barnesley,ball,Henry Barnesley Ball
herbert,james,ball,Herbert James Ball
irving,NA,ball,Irving Ball
john,NA,ball,John Ball
josiah,NA,ball,Josiah Ball
jack,NA,ball,Jack Ball
joseph,arthur,ball,Joseph Arthur Ball
john,f.,ball,John F. Ball
james,ogden,ball,James Ogden Ball
louis,r.,ball,Louis R. Ball
Lawrence,R.,Ball,Lawrence R. Ball
max,w.,ball,Max W. Ball
norman,hansen,ball,Norman Hansen Ball
robert,s.,ball,Robert S. Ball
robert,steele,ball,Robert Steele Ball
sidney,y.,ball,Sidney Y. Ball
sidney,young,ball,Sidney Young Ball
thomas,fauntleroy,ball,Thomas Fauntleroy Ball
thomas,j.,ball,Thomas J. Ball
valparaiso,c.,ball,Valparaiso C. Ball
william,gilbert,ball,William Gilbert Ball
WalterS,M.,Ball,Walters M. Ball
ferdinand,julius,ballad,Ferdinand Julius Ballad
jack,courtenay,ballagh,Jack Courtenay Ballagh
bertha,NA,ballantine,Bertha Ballantine
benjamin,darling,ballantine,Benjamin Darling Ballantine
david,NA,ballantine,David Ballantine
george,alexander,ballantine,George Alexander Ballantine
harold,foote,ballantine,Harold Foote Ballantine
john,butler,ballantine,John Butler Ballantine
james,ray,ballantine,James Ray Ballantine
joseph,william,ballantine,Joseph William Ballantine
jonathan,young,ballantine,Jonathan Young Ballantine
paige,NA,ballantine,Paige Ballantine
volant,vashon,ballantine,Volant Vashon Ballantine
bertha,l.,ballantyne,Bertha L. Ballantyne
bertha,lennie,ballantyne,Bertha Lennie Ballantyne
alice,NA,ballard,Alice Ballard
charles,NA,ballard,Charles Ballard
edward,george,ballard,Edward George Ballard
ernest,george,ballard,Ernest George Ballard
ernest,l.,ballard,Ernest L. Ballard
gene,NA,ballard,Gene Ballard
Harry,E.,Ballard,Harry E. Ballard
harold,foote,ballard,Harold Foote Ballard
hetty,foote,ballard,Hetty Foote Ballard
hetty,orilla,ballard,Hetty Orilla Ballard
james,a.,ballard,James A. Ballard
john,d.,ballard,John D. Ballard
james,g.,ballard,James G. Ballard
james,l.,ballard,James L. Ballard
joseph,w.,ballard,Joseph W. Ballard
joseph,william,ballard,Joseph William Ballard
peter,a.,ballard,Peter A. Ballard
philip,f.,ballard,Philip F. Ballard
robert,NA,ballard,Robert Ballard
thos,NA,ballard,Thos Ballard
charles,edward,balleisen,Charles Edward Balleisen
george,andrew,ballentine,George Andrew Ballentine
robert,james,ballentine,Robert James Ballentine
ralph,owen,ballentine,Ralph Owen Ballentine
melvin,david,baller,Melvin David Baller
new,balleswidden,balleswidde,New Balleswidden Balleswidde
william,h.,ballew,William H. Ballew
george,NA,balley,George Balley
letson,NA,balliet,Letson Balliet
william,NA,ballieu,William Ballieu
joseph,NA,ballin,Joseph Ballin
George,S.,Balloch,George S. Balloch
meter,k.,ballonr,Meter K. Ballonr
john,NA,ballot,John Ballot
london,john,ballot,London John Ballot
charles,c.,ballou,Charles C. Ballou
charles,o.,ballou,Charles O. Ballou
charles,rathbone,ballou,Charles Rathbone Ballou
edgar,clark,ballou,Edgar Clark Ballou
hattie,NA,ballou,Hattie Ballou
henry,w.,ballou,Henry W. Ballou
henry,welcome,ballou,Henry Welcome Ballou
latimer,w.,ballou,Latimer W. Ballou
latimer,willis,ballou,Latimer Willis Ballou
norman,vaughn,ballou,Norman Vaughn Ballou
roland,hunnewell,ballou,Roland Hunnewell Ballou
william,howard,balls,William Howard Balls
parishes,of,ballsrst,Parishes Of Ballsrst
emerson,m.,balnhridge,Emerson M. Balnhridge
wilhelm,NA,bals,Wilhelm Bals
jayson,clair,balsbaugh,Jayson Clair Balsbaugh
charles,NA,balscr,Charles Balscr
charles,NA,balser,Charles Balser
obarles,NA,balser,Obarles Balser
alfred,henry,balsley,Alfred Henry Balsley
charles,NA,balsnr,Charles Balsnr
andrew,provost,balston,Andrew Provost Balston
carl,NA,balthasar,Carl Balthasar
karl,NA,balthasar,Karl Balthasar
richard,kingman,baltzer,Richard Kingman Baltzer
district,of,baluchista,District Of Baluchista
lord,NA,balveaen,Lord Balveaen
lord,NA,balvesen,Lord Balvesen
george,NA,baly,George Baly
edward,NA,balyozian,Edward Balyozian
joseph,NA,balyozian,Joseph Balyozian
jacob,joseph,balyozian,Jacob Joseph Balyozian
james,merritt,balyozian,James Merritt Balyozian
nicholas,NA,balyozian,Nicholas Balyozian
valeriano,NA,balzola,Valeriano Balzola
alfred,NA,bamball,Alfred Bamball
sidney,NA,bambbrgbr,Sidney Bambbrgbr
henry,kelway,bamber,Henry Kelway Bamber
ernest,NA,bamberger,Ernest Bamberger
herman,NA,bamberger,Herman Bamberger
sidney,NA,bamberger,Sidney Bamberger
herber,j.,bambrick,Herber J. Bambrick
james,baker,bamford,James Baker Bamford
robert,baker,bamford,Robert Baker Bamford
interestsanta,NA,bamona,Interestsanta Bamona
james,warwick,bampfylde,James Warwick Bampfylde
mayhew,and,bampsonto,Mayhew And Bampsonto
Horace,F.,Banan,Horace F. Banan
james,ira,banash,James Ira Banash
edward,NA,banbury,Edward Banbury
robert,NA,banbury,Robert Banbury
george,NA,bance,George Bance
julius,thomas,banchero,Julius Thomas Banchero
elbert,hyatt,bancker,Elbert Hyatt Bancker
eibert,hyatt,bancker,Eibert Hyatt Bancker
albert,fitch,bancroft,Albert Fitch Bancroft
edward,NA,bancroft,Edward Bancroft
george,j.,bancroft,George J. Bancroft
harrisville,NA,bancroft,Harrisville Bancroft
Henry,L.,Bancroft,Henry L. Bancroft
john,c.,bancroft,John C. Bancroft
james,merritt,bancroft,James Merritt Bancroft
joseph,robert,bancroft,Joseph Robert Bancroft
james,robert,bancroft,James Robert Bancroft
john,sellers,bancroft,John Sellers Bancroft
wilfred,NA,bancroft,Wilfred Bancroft
william,z.,bancroft,William Z. Bancroft
joseph,winsor,band,Joseph Winsor Band
west,NA,band,West Band
head,oflices,bandera,Head Oflices Bandera
joseph,v.,bandhauer,Joseph V. Bandhauer
joseph,w.,bandhauer,Joseph W. Bandhauer
john,s.,bandies,John S. Bandies
sir,john,bandies,Sir John Bandies
ernest,NA,bandisch,Ernest Bandisch
charles,NA,bandmann,Charles Bandmann
julius,NA,bandmann,Julius Bandmann
robert,NA,bandmann,Robert Bandmann
russell,william,bandomer,Russell William Bandomer
mark,chance,bandy,Mark Chance Bandy
moses,milton,bane,Moses Milton Bane
robert,coleman,banes,Robert Coleman Banes
waner,johnson,banes,Waner Johnson Banes
warner,johnson,banes,Warner Johnson Banes
frederic,eugene,banfield,Frederic Eugene Banfield
william,NA,banfield,William Banfield
william,NA,banfleld,William Banfleld
barrier,NA,banges,Barrier Banges
roger,c.,banghart,Roger C. Banghart
bharat,b.,bangia,Bharat B. Bangia
ernest,george,bangratz,Ernest George Bangratz
carl,henry,bangs,Carl Henry Bangs
harold,elton,bangs,Harold Elton Bangs
william,howard,bangs,William Howard Bangs
william,NA,bangser,William Bangser
thomas,NA,banigan,Thomas Banigan
arthur,anthony,baninnnn,Arthur Anthony Baninnnn
Charles,H.,Banister,Charles H. Banister
frederick,dale,banister,Frederick Dale Banister
howard,cottrell,banister,Howard Cottrell Banister
William,D.,Banister,William D. Banister
ankers,br,bank,Ankers Br Bank
ankers,pm,bank,Ankers Pm Bank
ankers,united,bank,Ankers United Bank
bmkers,bntis,bank,Bmkers Bntis Bank
ban,ers,bank,Ban Ers Bank
bank,ers,bank,Bank Ers Bank
benkerselondon,joint,bank,Benkerselondon Joint Bank
bln,kort,bank,Bln Kort Bank
banl,kers,bank,Banl Kers Bank
bmkifl,lly,bank,Bmkifl Lly Bank
bsnkers,lloyds,bank,Bsnkers Lloyds Bank
bankcrs,llnyds,bank,Bankcrs Llnyds Bank
bedkbh,lloyrls,bank,Bedkbh Lloyrls Bank
blnkere,martin,bank,Blnkere Martin Bank
bankors,nnrthamptonshire,bank,Bankors Nnrthamptonshire Bank
bunkers,national,bank,Bunkers National Bank
banners,national,bank,Banners National Bank
ban,tankers,bank,Ban Tankers Bank
flees,north,bank,Flees North Bank
gloucester,NA,bank,Gloucester Bank
hankers,union,bank,Hankers Union Bank
iankers,anglobouth,bank,Iankers Anglobouth Bank
johannesburg,NA,bank,Johannesburg Bank
lnkerl,lloyds,bank,Lnkerl Lloyds Bank
london,westminster,bank,London Westminster Bank
milton,NA,bank,Milton Bank
midland,NA,bank,Midland Bank
melvin,NA,bank,Melvin Bank
national,provincial,bank,National Provincial Bank
provincial,NA,bank,Provincial Bank
royal,exchange,bank,Royal Exchange Bank
steven,NA,bank,Steven Bank
suitli,western,bank,Suitli Western Bank
tankers,ankers,bank,Tankers Ankers Bank
tankers,national,bank,Tankers National Bank
westminster,NA,bank,Westminster Bank
howard,NA,bankart,Howard Bankart
banket,NA,banke,Banket Banke
bankemrs,NA,bankemr,Bankemrs Bankemr
eldorado,NA,banket,Eldorado Banket
square,miles,banket,Square Miles Banket
nottingham,a.,banki,Nottingham A. Banki
frank,m.,bankier,Frank M. Bankier
ankers,northeastern,bankin,Ankers Northeastern Bankin
guernsey,commercial,bankin,Guernsey Commercial Bankin
organs,ers,bankin,Organs Ers Bankin
linkers,north,banking,Linkers North Banking
mines,and,bankino,Mines And Bankino
seymourgeorge,NA,bankofi,Seymourgeorge Bankofi
albert,NA,banks,Albert Banks
charles,a.,banks,Charles A. Banks
delamark,joseph,banks,Delamark Joseph Banks
edwin,NA,banks,Edwin Banks
francis,m.,banks,Francis M. Banks
francis,marion,banks,Francis Marion Banks
harold,elton,banks,Harold Elton Banks
harold,purdy,banks,Harold Purdy Banks
john,NA,banks,John Banks
john,harold,banks,John Harold Banks
laurence,harold,banks,Laurence Harold Banks
leon,m.,banks,Leon M. Banks
noble,calhoun,banks,Noble Calhoun Banks
paul,w.,banks,Paul W. Banks
richard,b.,banks,Richard B. Banks
william,howard,banks,William Howard Banks
arthur,a.,banmann,Arthur A. Banmann
dale,f.,bannan,Dale F. Bannan
william,newell,bannard,William Newell Bannard
olicitol,NA,bannatyne,Olicitol Bannatyne
olicitors,NA,bannatyne,Olicitors Bannatyne
harmood,NA,banner,Harmood Banner
john,harmood,banner,John Harmood Banner
john,sutherland,banner,John Sutherland Banner
minni,woodward,banniluth,Minni Woodward Banniluth
robert,NA,banning,Robert Banning
stanley,NA,banning,Stanley Banning
stanlev,NA,banning,Stanlev Banning
alfred,edward,bannister,Alfred Edward Bannister
bryant,NA,bannister,Bryant Bannister
charles,olden,bannister,Charles Olden Bannister
robert,edwin,bannon,Robert Edwin Bannon
william,francis,bannon,William Francis Bannon
William,T.,Bannon,William T. Bannon
solioltors,NA,bannstyne,Solioltors Bannstyne
henry,c.,banon,Henry C. Banon
alfredo,jr,banos,Alfredo Jr Banos
irving,sydney,banquer,Irving Sydney Banquer
christian,NA,bansa,Christian Bansa
friedrich,louis,banse,Friedrich Louis Banse
wilhelm,NA,banse,Wilhelm Banse
clifford,NA,banta,Clifford Banta
may,NA,banta,May Banta
mtvjor,wm,banvell,Mtvjor Wm Banvell
and,csiklova,banya,And Csiklova Banya
howard,NA,banzett,Howard Banzett
abraham,NA,bapp,Abraham Bapp
henry,desbrow,bar to,Henry Desbrow Bar To
carl,friedrich,bar,Carl Friedrich Bar
otto,friedrich,bar,Otto Friedrich Bar
leon,leonard,baral,Leon Leonard Baral
george,NA,baran,George Baran
baranda,NA,baranda,Baranda Baranda
pablo,NA,baranda,Pablo Baranda
walter,eugene,baranowski,Walter Eugene Baranowski
jose,r.,barat,Jose R. Barat
Antonio,de,Barata,Antonio De Barata
anatole,NA,baratier,Anatole Baratier
anatolc,NA,baratier,Anatolc Baratier
henry,eugene,baratta,Henry Eugene Baratta
juan,NA,baraybar,Juan Baraybar
clark,f.,barb,Clark F. Barb
denver,m.,barb,Denver M. Barb
milton,birch,barba,Milton Birch Barba
constantin,r.,barbacioru,Constantin R. Barbacioru
santa,NA,barbara,Santa Barbara
nicholas,leonard,barbarossa,Nicholas Leonard Barbarossa
georpc,NA,barbate,Georpc Barbate
georee,NA,barbate,Georee Barbate
local,at,barbcrton,Local At Barbcrton
john,barthold,barbehenn,John Barthold Barbehenn
joseph,j.,barbell,Joseph J. Barbell
annie,mildred,barber,Annie Mildred Barber
clarence,eugene,barber,Clarence Eugene Barber
clarence,s.,barber,Clarence S. Barber
ernest,NA,barber,Ernest Barber
elda,NA,barber,Elda Barber
edward,NA,barber,Edward Barber
earl,huntington,barber,Earl Huntington Barber
george,NA,barber,George Barber
henry,miller,barber,Henry Miller Barber
Harry,R.,Barber,Harry R. Barber
john,clement,barber,John Clement Barber
john,i.,barber,John I. Barber
james,lionel,barber,James Lionel Barber
james,l.,barber,James L. Barber
joseph,l.,barber,Joseph L. Barber
james,saxton,barber,James Saxton Barber
james,share,barber,James Share Barber
james,t.,barber,James T. Barber
james,thomas,barber,James Thomas Barber
james,v.,barber,James V. Barber
joseph,warren,barber,Joseph Warren Barber
lincoin,barrett,barber,Lincoin Barrett Barber
lawrence,h.,barber,Lawrence H. Barber
lawrence,w.,barber,Lawrence W. Barber
max,NA,barber,Max Barber
neil,NA,barber,Neil Barber
Oliver,P.,Barber,Oliver P. Barber
raymond,d.,barber,Raymond D. Barber
raymond,jenness,barber,Raymond Jenness Barber
ray,jenness,barber,Ray Jenness Barber
richard,m.,barber,Richard M. Barber
william,NA,barber,William Barber
waldo,austin,barber,Waldo Austin Barber
raymond,thomas,barbera,Raymond Thomas Barbera
garibaldi,armando,barberi,Garibaldi Armando Barberi
joseph,NA,barbero,Joseph Barbero
about,miles,barberton,About Miles Barberton
marks,local,barberton,Marks Local Barberton
sar,permanent,barbertqn,Sar Permanent Barbertqn
local,direcfort,barbfrfoti,Local Direcfort Barbfrfoti
roldao,antonio,barbosa,Roldao Antonio Barbosa
arthur,r.,barbour,Arthur R. Barbour
bir,david,barbour,Bir David Barbour
conway,berry,barbour,Conway Berry Barbour
dun,NA,barbour,Dun Barbour
david,james,barbour,David James Barbour
hugh,NA,barbour,Hugh Barbour
minard,t.,barbour,Minard T. Barbour
minard,townsend,barbour,Minard Townsend Barbour
percy,NA,barbour,Percy Barbour
robert,yalding,barbour,Robert Yalding Barbour
thomas,j.,barbour,Thomas J. Barbour
theron,j.,barbour,Theron J. Barbour
walter,bruce,barbour,Walter Bruce Barbour
william,ernest,barbour,William Ernest Barbour
luis,juan,barcardi,Luis Juan Barcardi
Joao,V.,Barcellos,Joao V. Barcellos
jose,b.,barcelon,Jose B. Barcelon
thomas,NA,barcker,Thomas Barcker
alexander,thomas,barclay,Alexander Thomas Barclay
bunkers,NA,barclay,Bunkers Barclay
david,jaines,barclay,David Jaines Barclay
david,james,barclay,David James Barclay
edward,NA,barclay,Edward Barclay
hanbury,NA,barclay,Hanbury Barclay
henry,NA,barclay,Henry Barclay
harry,NA,barclay,Harry Barclay
isla,james,barclay,Isla James Barclay
john,galsworthy,barclay,John Galsworthy Barclay
mart,g.,barclay,Mart G. Barclay
nkers,NA,barclay,Nkers Barclay
thomas,NA,barclay,Thomas Barclay
william,lyttleton,barclay,William Lyttleton Barclay
james,charles,barclayharvey,James Charles Barclayharvey
junes,charles,barclayharvey,Junes Charles Barclayharvey
hanbury,NA,barcltj,Hanbury Barcltj
albert,lyman,barcus,Albert Lyman Barcus
cyrus,cates,barcus,Cyrus Cates Barcus
charles,morse,barcus,Charles Morse Barcus
elizabeth,brewer,barcus,Elizabeth Brewer Barcus
edward,herbert,barcus,Edward Herbert Barcus
eustis,herbert,barcus,Eustis Herbert Barcus
frederick,brainard,barcus,Frederick Brainard Barcus
fred,leslie,barcus,Fred Leslie Barcus
george,gardner,barcus,George Gardner Barcus
henry,kimberly,barcus,Henry Kimberly Barcus
herbert,tyler,barcus,Herbert Tyler Barcus
harold,ward,barcus,Harold Ward Barcus
james,edmund,barcus,James Edmund Barcus
joseph,h.,barcus,Joseph H. Barcus
lyman,dwight,barcus,Lyman Dwight Barcus
mary,NA,barcus,Mary Barcus
mabel,keyes,barcus,Mabel Keyes Barcus
percy,lewis,barcus,Percy Lewis Barcus
richard,fred,barcus,Richard Fred Barcus
roger,willis,barcus,Roger Willis Barcus
samuel,ward,barcus,Samuel Ward Barcus
theodore,otis,barcus,Theodore Otis Barcus
ulysses,grant,barcus,Ulysses Grant Barcus
walter,emmons,barcus,Walter Emmons Barcus
william,harvey,barcus,William Harvey Barcus
walter,james,barcus,Walter James Barcus
william,stuart,barcus,William Stuart Barcus
Edward,E.,Bard,Edward E. Bard
kichards,johnson,bard,Kichards Johnson Bard
richards,johnson,bard,Richards Johnson Bard
felix,NA,bardach,Felix Bardach
heinrich,NA,bardenheuer,Heinrich Bardenheuer
oliver,louis,bardes,Oliver Louis Bardes
isaac,david,bardin,Isaac David Bardin
thomas,NA,bardon,Thomas Bardon
edward,NA,bardsley,Edward Bardsley
carleton,college,bardweli,Carleton College Bardweli
fred,leslie,bardweli,Fred Leslie Bardweli
arthur,francis,bardwell,Arthur Francis Bardwell
Everett,J.,Bardwell,Everett J. Bardwell
earl,smith,bardwell,Earl Smith Bardwell
eaxl,smith,bardwell,Eaxl Smith Bardwell
fred,l.,bardwell,Fred L. Bardwell
francis,newton,bardwell,Francis Newton Bardwell
Harold,F.,Bardwell,Harold F. Bardwell
herbert,t.,bardwell,Herbert T. Bardwell
herbert,tyler,bardwell,Herbert Tyler Bardwell
martin,watson,bardwell,Martin Watson Bardwell
rodney,j.,bardwell,Rodney J. Bardwell
herman,NA,bardwick,Herman Bardwick
leslie,spanogle,bare,Leslie Spanogle Bare
william,j.,barensheer,William J. Barensheer
george,NA,bargate,George Bargate
julian,NA,barguin,Julian Barguin
local,oflices,barherton,Local Oflices Barherton
brimgen,hon,bari,Brimgen Hon Bari
don,sebastian,bariis,Don Sebastian Bariis
brimgen,hone,barin,Brimgen Hone Barin
briggen,hon,baring,Briggen Hon Baring
col,hon,baring,Col Hon Baring
francis,a.,baring,Francis A. Baring
hon,e.,baring,Hon E. Baring
ill,hon,baring,Ill Hon Baring
robert,NA,baring,Robert Baring
edward,arthur,baringgould,Edward Arthur Baringgould
franci,NA,baringgould,Franci Baringgould
francis,NA,baringgould,Francis Baringgould
rich,NA,baringgould,Rich Baringgould
edward,s.,barinrgould,Edward S. Barinrgould
thomas,NA,barish,Thomas Barish
containing,sulphate,barium,Containing Sulphate Barium
michael,NA,barjansky,Michael Barjansky
barker,NA,barke,Barker Barke
frodk,NA,barke,Frodk Barke
andrew,NA,barker,Andrew Barker
bertha,isabel,barker,Bertha Isabel Barker
Bryan,W.,Barker,Bryan W. Barker
carter,NA,barker,Carter Barker
charles,frederick,barker,Charles Frederick Barker
carl,l.,barker,Carl L. Barker
charles,morse,barker,Charles Morse Barker
cliftom,t.,barker,Cliftom T. Barker
charles,thomas,barker,Charles Thomas Barker
dana,nash,barker,Dana Nash Barker
erbert,NA,barker,Erbert Barker
edgar,cecil,barker,Edgar Cecil Barker
eustis,herbert,barker,Eustis Herbert Barker
edgar,harrison,barker,Edgar Harrison Barker
Edward,L.,Barker,Edward L. Barker
eustis,local,barker,Eustis Local Barker
elliott,rensselaer,barker,Elliott Rensselaer Barker
elliott,renselaer,barker,Elliott Renselaer Barker
francis,NA,barker,Francis Barker
franklin,NA,barker,Franklin Barker
frank,cowlin,barker,Frank Cowlin Barker
frederic,rutherford,barker,Frederic Rutherford Barker
frederick,william,barker,Frederick William Barker
george,ernest,barker,George Ernest Barker
george,gardner,barker,George Gardner Barker
George,R.,Barker,George R. Barker
harrington,NA,barker,Harrington Barker
henry,blakeslee,barker,Henry Blakeslee Barker
henry,james,barker,Henry James Barker
hermon,thompson,barker,Hermon Thompson Barker
harold,ward,barker,Harold Ward Barker
irving,longstreet,barker,Irving Longstreet Barker
jabez,NA,barker,Jabez Barker
john,cooke,barker,John Cooke Barker
john,clement,barker,John Clement Barker
james,e.,barker,James E. Barker
james,edmund,barker,James Edmund Barker
john,g.,barker,John G. Barker
john,landes,barker,John Landes Barker
james,madison,barker,James Madison Barker
james,phillips,barker,James Phillips Barker
john,stetson,barker,John Stetson Barker
joseph,warren,barker,Joseph Warren Barker
leah,NA,barker,Leah Barker
local,agents,barker,Local Agents Barker
lincoin,barrett,barker,Lincoin Barrett Barker
lincoln,barrett,barker,Lincoln Barrett Barker
lincoin,s.,barker,Lincoin S. Barker
maurice,eugene,barker,Maurice Eugene Barker
matthew,wson,barker,Matthew Wson Barker
oliver,lincoln,barker,Oliver Lincoln Barker
prank,cowlin,barker,Prank Cowlin Barker
percy,e.,barker,Percy E. Barker
pierce,e.,barker,Pierce E. Barker
Philip,E.,Barker,Philip E. Barker
philip,simes,barker,Philip Simes Barker
ralph,NA,barker,Ralph Barker
robert,b.,barker,Robert B. Barker
robert,f.,barker,Robert F. Barker
richard,thomas,barker,Richard Thomas Barker
robert,walker,barker,Robert Walker Barker
samuel,pruyn,barker,Samuel Pruyn Barker
samuel,stuart,barker,Samuel Stuart Barker
thomas,bell,barker,Thomas Bell Barker
thomas,boll,barker,Thomas Boll Barker
warren,hammond,barker,Warren Hammond Barker
william,holley,barker,William Holley Barker
william,harvey,barker,William Harvey Barker
william,j.,barker,William J. Barker
william,m.,barker,William M. Barker
william,robert,barker,William Robert Barker
wilbur,stuart,barker,Wilbur Stuart Barker
william,thomas,barker,William Thomas Barker
william,taylor,barker,William Taylor Barker
edgar,l.,barkhouse,Edgar L. Barkhouse
edgar,louis,barkhouse,Edgar Louis Barkhouse
george,andrew,barkley,George Andrew Barkley
howell,NA,barkley,Howell Barkley
howell,f.,barkley,Howell F. Barkley
william,henry,barkley,William Henry Barkley
henry,NA,barkly,Henry Barkly
alfred,u.,barkman,Alfred U. Barkman
david,NA,barlas,David Barlas
robert,NA,barley,Robert Barley
harry,brbwstbr,barling,Harry Brbwstbr Barling
edwiu,NA,barliw,Edwiu Barliw
andres,NA,barlow,Andres Barlow
alfred,william,barlow,Alfred William Barlow
benjamin,NA,barlow,Benjamin Barlow
cecil,b.,barlow,Cecil B. Barlow
cecil,j.,barlow,Cecil J. Barlow
edwin,NA,barlow,Edwin Barlow
eduard,george,barlow,Eduard George Barlow
eugene,james,barlow,Eugene James Barlow
eugene,percy,barlow,Eugene Percy Barlow
