firstname,middlename,lastname,fname
lori,aberconwa,aberconw,Lori Aberconwa Aberconw
lord,aberconway,aberconwa,Lord Aberconway Aberconwa
lord,aberconwav,aberconwa,Lord Aberconwav Aberconwa
lord,NA,aberconway,Lord Aberconway
lori,NA,aberconway,Lori Aberconway
lora,NA,aberconway,Lora Aberconway
lorrl,NA,aberconway,Lorrl Aberconway
lord,NA,aberconwuy,Lord Aberconwuy
duke,of,abercorn,Duke Of Abercorn
lord,NA,abercouway,Lord Abercouway
land,at,abercregan,Land At Abercregan
daniel,putnam,abercrombie,Daniel Putnam Abercrombie
George,H.,Abercrombie,George H. Abercrombie
henry,david,abercrombie,Henry David Abercrombie
robert,NA,abercrombie,Robert Abercrombie
ralph,pidgin,abercrombie,Ralph Pidgin Abercrombie
Ralph,W.,Abercrombie,Ralph W. Abercrombie
george,NA,abercromby,George Abercromby
collierythe,parish,aberdare,Collierythe Parish Aberdare
lord,NA,aberdare,Lord Aberdare
lord,NA,abereonway,Lord Abereonway
slate,quarries,aberfoyle,Slate Quarries Aberfoyle
bettws,and,abergrenig,Bettws And Abergrenig
Edward,F.,Aberle,Edward F. Aberle
arthur,h.,abernathy,Arthur H. Abernathy
george,elmer,abernathy,George Elmer Abernathy
elmer,robert,abernethy,Elmer Robert Abernethy
lord,NA,aberoonwa,Lord Aberoonwa
lord,aberronwny,aberronwn,Lord Aberronwny Aberronwn
and,NA,abersnch,And Abersnch
and,NA,abersoch,And Abersoch
antonio,NA,abeyta,Antonio Abeyta
pleased,to,able,Pleased To Able
jamea,p.,ablett,Jamea P. Ablett
james,p.,ablett,James P. Ablett
william,de,abney,William De Abney
lord,NA,aborcenway,Lord Aborcenway
Frank,D.,Aborn,Frank D. Aborn
george,p.,aborn,George P. Aborn
george,pennell,aborn,George Pennell Aborn
robert,hollenbeck,aborn,Robert Hollenbeck Aborn
sylvain,sleyman,abouchar,Sylvain Sleyman Abouchar
comprises,claims,about,Comprises Claims About
dividends,declared,about,Dividends Declared About
farm,welgedacht,about,Farm Welgedacht About
for,years,about,For Years About
morgen,outside,about,Morgen Outside About
mineral,rights,about,Mineral Rights About
mineral,rightsperpetuity,about,Mineral Rightsperpetuity About
nown,as,above,Nown As Above
abraham,NA,abraha,Abraham Abraha
edmund,sykes,abraham,Edmund Sykes Abraham
louis,NA,abraham,Louis Abraham
william,NA,abraham,William Abraham
david,joseph,abrahams,David Joseph Abrahams
hyflm,NA,abrahams,Hyflm Abrahams
louis,NA,abrahams,Louis Abrahams
neville,NA,abrahams,Neville Abrahams
samuel,lionel,abrahams,Samuel Lionel Abrahams
clifford,oscar,abrahamson,Clifford Oscar Abrahamson
emanuel,maurce,abrahamson,Emanuel Maurce Abrahamson
louis,NA,abrahamson,Louis Abrahamson
samuel,sperlin,abrahamson,Samuel Sperlin Abrahamson
adolf,NA,abramovic,Adolf Abramovic
Joe,NA,Abramovich,Joe Abramovich
owssei,NA,abramow,Owssei Abramow
william,lewis,abramowitz,William Lewis Abramowitz
allen,NA,abrams,Allen Abrams
armand,joseph,abrams,Armand Joseph Abrams
berne,NA,abrams,Berne Abrams
edward,wolff,abrams,Edward Wolff Abrams
harry,jonas,abrams,Harry Jonas Abrams
irving,NA,abrams,Irving Abrams
john,mcclelland,abrams,John Mcclelland Abrams
ralph,b.,abrams,Ralph B. Abrams
ralph,g.,abrams,Ralph G. Abrams
london,NA,abrandall,London Abrandall
bernardo,paez,abrera,Bernardo Paez Abrera
alexander,NA,abrossimow,Alexander Abrossimow
dividends,NA,absorbed,Dividends Absorbed
lord,absrconway,absrconwa,Lord Absrconway Absrconwa
lord,NA,absrconwsy,Lord Absrconwsy
clifford,frederick,abt,Clifford Frederick Abt
georg,NA,abt,Georg Abt
joelho,ey,abtcphensou,Joelho Ey Abtcphensou
gregorio,cuevas,abueg,Gregorio Cuevas Abueg
lord,NA,abutler,Lord Abutler
plateau,of,abyssinia,Plateau Of Abyssinia
naval,NA,acad,Naval Acad
naval,NA,academy,Naval Academy
report,and,acconnt,Report And Acconnt
are,issned,acconnts,Are Issned Acconnts
paiduo,capital,acconnts,Paiduo Capital Acconnts
creditors,bhare,account,Creditors Bhare Account
dec,lared,account,Dec Lared Account
fully,paid,account,Fully Paid Account
per,cent,account,Per Cent Account
report,and,account,Report And Account
report,ad,account,Report Ad Account
reports,and,account,Reports And Account
second,debentures,account,Second Debentures Account
international,co,accountant,International Co Accountant
creditors,no,accounts,Creditors No Accounts
deposit,and,accounts,Deposit And Accounts
disclosed,by,accounts,Disclosed By Accounts
debentu,res,accounts,Debentu Res Accounts
fully,paid,accounts,Fully Paid Accounts
issued,and,accounts,Issued And Accounts
per,cent,accounts,Per Cent Accounts
paidup,capital,accounts,Paidup Capital Accounts
part,of,accounts,Part Of Accounts
michael,NA,acdonald,Michael Acdonald
jose,guillermo,acenaorive,Jose Guillermo Acenaorive
julius,NA,aceves,Julius Aceves
oolsir,NA,acffitzgeorge,Oolsir Acffitzgeorge
amice,NA,acgi,Amice Acgi
francis,hermann,achard,Francis Hermann Achard
ashutosh,NA,acharya,Ashutosh Acharya
francis,joseph,achatz,Francis Joseph Achatz
ian,NA,achongboisselle,Ian Achongboisselle
karl,howard,achterkirchen,Karl Howard Achterkirchen
samandar,NA,achundsiakiogli,Samandar Achundsiakiogli
joseph,NA,acken,Joseph Acken
thomas,NA,ackenzie,Thomas Ackenzie
albert,NA,acker,Albert Acker
alden,ernest,acker,Alden Ernest Acker
alden,j.,acker,Alden J. Acker
arthur,roswell,acker,Arthur Roswell Acker
claire,depew,acker,Claire Depew Acker
david,elric,acker,David Elric Acker
edward,NA,acker,Edward Acker
edwin,j.,acker,Edwin J. Acker
harold,gordon,acker,Harold Gordon Acker
joseph,c.,acker,Joseph C. Acker
james,edwin,acker,James Edwin Acker
james,s.,acker,James S. Acker
john,theodore,acker,John Theodore Acker
lewis,franklin,acker,Lewis Franklin Acker
audley,NA,ackerman,Audley Ackerman
alexander,seymour,ackerman,Alexander Seymour Ackerman
gilbert,john,ackerman,Gilbert John Ackerman
joseph,jr,ackerman,Joseph Jr Ackerman
rudolph,william,ackerman,Rudolph William Ackerman
arthur,h.,ackermann,Arthur H. Ackermann
audley,h.,ackermann,Audley H. Ackermann
audley,ll,ackermann,Audley Ll Ackermann
arthur,o.,ackermann,Arthur O. Ackermann
enatneer,NA,ackermann,Enatneer Ackermann
Henry,P.,Ackermann,Henry P. Ackermann
mor,NA,ackermann,Mor Ackermann
james,lee,ackerson,James Lee Ackerson
arnold,sturtevant,ackiss,Arnold Sturtevant Ackiss
donald,l.,ackland,Donald L. Ackland
albert,korman,ackoff,Albert Korman Ackoff
frank,NA,ackroyd,Frank Ackroyd
harry,e.,ackroyd,Harry E. Ackroyd
greastecrehtaarkywanodoodfficoeso,lglibeabrloyw,acltohnatmin,Greastecrehtaarkywanodoodfficoeso Lglibeabrloyw Acltohnatmin
john,churchill,acly,John Churchill Acly
george,woodfield,acock,George Woodfield Acock
acollierles,NA,acollierle,Acollierles Acollierle
alberto,aurelio,acosta,Alberto Aurelio Acosta
and,to,acquir,And To Acquir
berezin,to,acquir,Berezin To Acquir
for,to,acquir,For To Acquir
linnett,to,acquir,Linnett To Acquir
middlin,to,acquir,Middlin To Acquir
nor,to,acquir,Nor To Acquir
others,to,acquir,Others To Acquir
acquired,firth,acquire,Acquired Firth Acquire
coast,were,acquire,Coast Were Acquire
ltd,and,acquire,Ltd And Acquire
ltd,evans,acquire,Ltd Evans Acquire
ltd,pitblsdo,acquire,Ltd Pitblsdo Acquire
regisfered,aiigust,acquire,Regisfered Aiigust Acquire
registered,april,acquire,Registered April Acquire
registered,august,acquire,Registered August Acquire
registeredseptem,ber,acquire,Registeredseptem Ber Acquire
registered,december,acquire,Registered December Acquire
rcglstered,december,acquire,Rcglstered December Acquire
regislered,december,acquire,Regislered December Acquire
registered,february,acquire,Registered February Acquire
registered,july,acquire,Registered July Acquire
registered,june,acquire,Registered June Acquire
regisiered,january,acquire,Regisiered January Acquire
registered,january,acquire,Registered January Acquire
registered,may,acquire,Registered May Acquire
reglsterecl,march,acquire,Reglsterecl March Acquire
reglstered,march,acquire,Reglstered March Acquire
registered,march,acquire,Registered March Acquire
registered,november,acquire,Registered November Acquire
shropshire,and,acquire,Shropshire And Acquire
since,been,acquire,Since Been Acquire
vol,for,acquire,Vol For Acquire
wallingwells,synd,acquire,Wallingwells Synd Acquire
registered,january,acquirecoal,Registered January Acquirecoal
east,coolgardiegoldfieid,acquired,East Coolgardiegoldfieid Acquired
gatooma,has,acquired,Gatooma Has Acquired
have,been,acquired,Have Been Acquired
investigated,options,acquired,Investigated Options Acquired
licences,have,acquired,Licences Have Acquired
pany,has,acquired,Pany Has Acquired
registered,april,acquired,Registered April Acquired
registered,august,acquired,Registered August Acquired
registered,december,acquired,Registered December Acquired
ashanti,gold,acquisiitviwons,Ashanti Gold Acquisiitviwons
mines,NA,acquisition,Mines Acquisition
ashant,gold,acquisitions,Ashant Gold Acquisitions
ashanti,gold,acquisitions,Ashanti Gold Acquisitions
and,about,acre,And About Acre
and,contains,acre,And Contains Acre
area,oi,acre,Area Oi Acre
area,of,acre,Area Of Acre
consist,of,acre,Consist Of Acre
leases,of,acre,Leases Of Acre
mine,and,acre,Mine And Acre
now,comprises,acre,Now Comprises Acre
ontario,area,acre,Ontario Area Acre
properties,covering,acre,Properties Covering Acre
weiser,about,acre,Weiser About Acre
area,NA,acreb,Area Acreb
about,NA,acreb,About Acreb
aboat,NA,acres,Aboat Acres
and,area,acres,And Area Acres
about,english,acres,About English Acres
acres,freehold,acres,Acres Freehold Acres
area,now,acres,Area Now Acres
area,of,acres,Area Of Acres
are,of,acres,Are Of Acres
and,t.,acres,And T. Acres
covering,NA,acres,Covering Acres
comprising,about,acres,Comprising About Acres
cession,area,acres,Cession Area Acres
cover,about,acres,Cover About Acres
concession,area,acres,Concession Area Acres
cate,no,acres,Cate No Acres
during,NA,acres,During Acres
fin,NA,acres,Fin Acres
ing,NA,acres,Ing Acres
land,comprising,acres,Land Comprising Acres
lease,of,acres,Lease Of Acres
mineral,concessions,acres,Mineral Concessions Acres
mines,covering,acres,Mines Covering Acres
nine,NA,acres,Nine Acres
owned,about,acres,Owned About Acres
over,comprises,acres,Over Comprises Acres
option,to,acres,Option To Acres
prising,NA,acres,Prising Acres
patra,NA,acres,Patra Acres
pcrties,covering,acres,Pcrties Covering Acres
properties,covering,acres,Properties Covering Acres
reef,acreshavelock,acres,Reef Acreshavelock Acres
total,area,acres,Total Area Acres
wee,macgresjor,acres,Wee Macgresjor Acres
water,right,acres,Water Right Acres
xrat,NA,acres,Xrat Acres
about,NA,acresextent,About Acresextent
and,lino,acresextent,And Lino Acresextent
and,zino,acresextent,And Zino Acresextent
and,zinc,acresextent,And Zinc Acresextent
leasehold,estate,acressouth,Leasehold Estate Acressouth
about,NA,acresswaziland,About Acresswaziland
proper,ies,acresthe,Proper Ies Acresthe
George,E.,Acret,George E. Acret
cover,about,acros,Cover About Acros
trelaskethe,parish,actarnun,Trelaskethe Parish Actarnun
curtis,k.,acton,Curtis K. Acton
harold,joseph,acton,Harold Joseph Acton
William,H.,Acton,William H. Acton
arthur,henry,acunto,Arthur Henry Acunto
arthur,kinney,acunto,Arthur Kinney Acunto
charles,francis,acunto,Charles Francis Acunto
charles,laban,acunto,Charles Laban Acunto
edward,dean,acunto,Edward Dean Acunto
edward,russell,acunto,Edward Russell Acunto
frank,william,acunto,Frank William Acunto
herbert,henry,acunto,Herbert Henry Acunto
henry,sewall,acunto,Henry Sewall Acunto
isaac,rayne,acunto,Isaac Rayne Acunto
joseph,NA,acunto,Joseph Acunto
john,coit,acunto,John Coit Acunto
john,howard,acunto,John Howard Acunto
manlio,gaetano,acunto,Manlio Gaetano Acunto
munson,trecartin,acunto,Munson Trecartin Acunto
mrs,theodore,acunto,Mrs Theodore Acunto
percival,lysander,acunto,Percival Lysander Acunto
raleigh,bullard,acunto,Raleigh Bullard Acunto
ralph,emerson,acunto,Ralph Emerson Acunto
william,linville,acunto,William Linville Acunto
walter,owen,acunto,Walter Owen Acunto
william,wright,acunto,William Wright Acunto
lake,NA,acurrie,Lake Acurrie
ernest,l.,acutt,Ernest L. Acutt
sidney,NA,acutt,Sidney Acutt
marion,w.,acworth,Marion W. Acworth
alfred,NA,adam,Alfred Adam
achilla,NA,adam,Achilla Adam
achille,NA,adam,Achille Adam
john,de,adam,John De Adam
john,wilhelm,adam,John Wilhelm Adam
james,NA,adamea,James Adamea
lew,NA,adamec,Lew Adamec
james,NA,adames,James Adames
charles,j.,adami,Charles J. Adami
harles,j.,adami,Harles J. Adami
alexander,NA,adams,Alexander Adams
Alfred,E.,Adams,Alfred E. Adams
arthur,h.,adams,Arthur H. Adams
arthur,henry,adams,Arthur Henry Adams
arthur,kinney,adams,Arthur Kinney Adams
Arthur,K.,Adams,Arthur K. Adams
arthur,king,adams,Arthur King Adams
Allen,L.,Adams,Allen L. Adams
arthur,r.,adams,Arthur R. Adams
arthur,stanton,adams,Arthur Stanton Adams
burton,alden,adams,Burton Alden Adams
bertram,ernest,adams,Bertram Ernest Adams
benjamin,franklin,adams,Benjamin Franklin Adams
charles,christy,adams,Charles Christy Adams
cuyler,coffin,adams,Cuyler Coffin Adams
carleton,coffin,adams,Carleton Coffin Adams
carl,edwin,adams,Carl Edwin Adams
charles,edwin,adams,Charles Edwin Adams
charles,e.,adams,Charles E. Adams
charles,francis,adams,Charles Francis Adams
charles,laban,adams,Charles Laban Adams
charles,m.,adams,Charles M. Adams
charles,mills,adams,Charles Mills Adams
charles,macarthy,adams,Charles Macarthy Adams
charles,p.,adams,Charles P. Adams
charles,q.,adams,Charles Q. Adams
charles,robert,adams,Charles Robert Adams
charles,s.,adams,Charles S. Adams
charles,ward,adams,Charles Ward Adams
charles,waldo,adams,Charles Waldo Adams
daniel,NA,adams,Daniel Adams
david,NA,adams,David Adams
dan,NA,adams,Dan Adams
Erwin,A.,Adams,Erwin A. Adams
elliott,albertson,adams,Elliott Albertson Adams
ellen,b.,adams,Ellen B. Adams
edmund,chancey,adams,Edmund Chancey Adams
edward,dean,adams,Edward Dean Adams
ernest,kempton,adams,Ernest Kempton Adams
Ernest,N.,Adams,Ernest N. Adams
Edward,P.,Adams,Edward P. Adams
elliot,quincy,adams,Elliot Quincy Adams
edward,russell,adams,Edward Russell Adams
elliot,russell,adams,Elliot Russell Adams
elliot,torrey,adams,Elliot Torrey Adams
elliott,torrey,adams,Elliott Torrey Adams
earl,walter,adams,Earl Walter Adams
elliot,walter,adams,Elliot Walter Adams
florence,NA,adams,Florence Adams
fred,arthur,adams,Fred Arthur Adams
frank,hyde,adams,Frank Hyde Adams
frederic,hillyer,adams,Frederic Hillyer Adams
Francis,J.,Adams,Francis J. Adams
francis,mulliken,adams,Francis Mulliken Adams
franklin,oliver,adams,Franklin Oliver Adams
franklin,stanley,adams,Franklin Stanley Adams
frank,william,adams,Frank William Adams
frederick,wildes,adams,Frederick Wildes Adams
guymon,e.,adams,Guymon E. Adams
george,h.,adams,George H. Adams
george,j.,adams,George J. Adams
george,north,adams,George North Adams
george,o.,adams,George O. Adams
george,orlando,adams,George Orlando Adams
george,r.,adams,George R. Adams
george,wendell,adams,George Wendell Adams
huntington,NA,adams,Huntington Adams
hon,NA,adams,Hon Adams
harold,NA,adams,Harold Adams
Hollis,A.,Adams,Hollis A. Adams
henry,carter,adams,Henry Carter Adams
harry,d.,adams,Harry D. Adams
Herbert,E.,Adams,Herbert E. Adams
henry,farnum,adams,Henry Farnum Adams
herbert,h.,adams,Herbert H. Adams
herbert,henry,adams,Herbert Henry Adams
howard,pratt,adams,Howard Pratt Adams
irving,ellwood,adams,Irving Ellwood Adams
john,NA,adams,John Adams
john,albritton,adams,John Albritton Adams
Joseph,B.,Adams,Joseph B. Adams
joseph,cockrell,adams,Joseph Cockrell Adams
john,coit,adams,John Coit Adams
james,c.,adams,James C. Adams
john,howard,adams,John Howard Adams
john,h.,adams,John H. Adams
joseph,m.,adams,Joseph M. Adams
john,p.,adams,John P. Adams
john,r.,adams,John R. Adams
joseph,s.,adams,Joseph S. Adams
jean,s.,adams,Jean S. Adams
james,talbot,adams,James Talbot Adams
james,vernon,adams,James Vernon Adams
john,w.,adams,John W. Adams
John,W.,Adams,John W. Adams
James,W.,Adams,James W. Adams
kilburn,elie,adams,Kilburn Elie Adams
lew,NA,adams,Lew Adams
local,boardpenneya,adams,Local Boardpenneya Adams
leland,d.,adams,Leland D. Adams
louis,francis,adams,Louis Francis Adams
Leon,G.,Adams,Leon G. Adams
lawrence,page,adams,Lawrence Page Adams
louis,w.,adams,Louis W. Adams
louis,winfield,adams,Louis Winfield Adams
munson,trecartin,adams,Munson Trecartin Adams
munson,whitlock,adams,Munson Whitlock Adams
myron,whitlock,adams,Myron Whitlock Adams
nehemiah,whitlock,adams,Nehemiah Whitlock Adams
oliver,haynes,adams,Oliver Haynes Adams
ogden,ross,adams,Ogden Ross Adams
paul,NA,adams,Paul Adams
porter,hartwell,adams,Porter Hartwell Adams
percival,lysander,adams,Percival Lysander Adams
Phillip,W.,Adams,Phillip W. Adams
randolph,NA,adams,Randolph Adams
raleigh,b.,adams,Raleigh B. Adams
raleigh,bullard,adams,Raleigh Bullard Adams
ralph,emerson,adams,Ralph Emerson Adams
ralph,guy,adams,Ralph Guy Adams
richard,h.,adams,Richard H. Adams
robert,k.,adams,Robert K. Adams
robert,m.,adams,Robert M. Adams
richard,ranney,adams,Richard Ranney Adams
Robert,W.,Adams,Robert W. Adams
robert,whitehouse,adams,Robert Whitehouse Adams
samuel,NA,adams,Samuel Adams
sir,NA,adams,Sir Adams
scarritt,NA,adams,Scarritt Adams
stanley,edward,adams,Stanley Edward Adams
Samuel,H.,Adams,Samuel H. Adams
theodore,f.,adams,Theodore F. Adams
theon,george,adams,Theon George Adams
theon,m.,adams,Theon M. Adams
thomas,m.,adams,Thomas M. Adams
thomas,s.,adams,Thomas S. Adams
vernie,w.,adams,Vernie W. Adams
william,NA,adams,William Adams
waldo,NA,adams,Waldo Adams
wayne,NA,adams,Wayne Adams
warren,NA,adams,Warren Adams
william,alexander,adams,William Alexander Adams
william,brown,adams,William Brown Adams
william,c.,adams,William C. Adams
wilbur,e.,adams,Wilbur E. Adams
wilbur,ernest,adams,Wilbur Ernest Adams
william,ernest,adams,William Ernest Adams
william,f.,adams,William F. Adams
william,hussey,adams,William Hussey Adams
walter,h.,adams,Walter H. Adams
walter,holbrook,adams,Walter Holbrook Adams
wilbur,henry,adams,Wilbur Henry Adams
william,j.,adams,William J. Adams
william,linville,adams,William Linville Adams
Winfred,M.,Adams,Winfred M. Adams
walter,o.,adams,Walter O. Adams
walter,owen,adams,Walter Owen Adams
William,R.,Adams,William R. Adams
wallace,sutherland,adams,Wallace Sutherland Adams
william,thomas,adams,William Thomas Adams
wallace,theodore,adams,Wallace Theodore Adams
william,wright,adams,William Wright Adams
weaver,warren,adams,Weaver Warren Adams
winthrop,whitney,adams,Winthrop Whitney Adams
zabdiel,boylston,adams,Zabdiel Boylston Adams
adamshillingwh,NA,adamshillingw,Adamshillingwh Adamshillingw
arthur,NA,adamson,Arthur Adamson
alexander,NA,adamson,Alexander Adamson
cecil,NA,adamson,Cecil Adamson
charles,lyall,adamson,Charles Lyall Adamson
ebenezer,NA,adamson,Ebenezer Adamson
john,moefat,adamson,John Moefat Adamson
john,n.,adamson,John N. Adamson
james,wilkic,adamson,James Wilkic Adamson
james,wilkie,adamson,James Wilkie Adamson
Nils,A.,Adamson,Nils A. Adamson
prescott,NA,adamson,Prescott Adamson
robert,c.,adamson,Robert C. Adamson
auttrtiliati,board,adcice,Auttrtiliati Board Adcice
eng,ish,adciory,Eng Ish Adciory
charles,christopher,adcock,Charles Christopher Adcock
