loc,lat,lon,country,n,d
Armavir,40.15,44.04,Armenia,2,NA
Armenia,4.53,-75.68,Colombia,2,NA
Armenia,13.75,-89.5,El Salvador,2,NA
Arnold,53.005,-1.127,United Kingdom,2,1
Arnold,39.0437,-76.4974,United States,2,1
Arona,28.0996,-16.6809,Spain,2,NA
Arona,45.7569,8.56,Italy,2,NA
Arouca,40.9338,-8.2449,Portugal,2,NA
Arouca,10.6333,-61.3333,Trinidad and Tobago,2,NA
Arroyito,-31.4167,-63.05,Argentina,2,NA
Arroyito,-23.1733,-56.7747,Paraguay,2,NA
Arta,11.5236,42.8472,Djibouti,2,NA
Arta,39.165,20.9875,Greece,2,NA
As,59.6603,10.7836,Norway,2,NA
As,50.2239,12.195,Czechia,2,NA
Asadabad,34.8742,71.1528,Afghanistan,2,NA
Asadabad,34.7825,48.1186,Iran,2,NA
Asaka,35.7972,139.5939,Japan,2,NA
Asaka,40.6333,72.2333,Uzbekistan,2,NA
Ascension,31.0928,-107.9964,Mexico,2,NA
Ascension,-15.6996,-63.08,Bolivia,2,NA
Ashton,53.4897,-2.0952,United Kingdom,2,NA
Ashton,-44.0333,171.7667,New Zealand,2,NA
Astorga,-23.2328,-51.6658,Brazil,2,NA
Astorga,42.4589,-6.0633,Spain,2,NA
Athens,37.9842,23.7281,Greece,2,1
Athens,33.9508,-83.3689,United States,2,1
Atherton,53.523,-2.495,United Kingdom,2,NA
Atherton,-17.2658,145.478,Australia,2,NA
Augusta,33.3645,-82.0708,United States,2,1
Augusta,37.25,15.2167,Italy,2,1
Aurora,39.7083,-104.7237,United States,4,1
Aurora,13.35,122.5167,Philippines,4,1
Aurora,44,-79.4667,Canada,4,1
Aurora,-6.9428,-38.9678,Brazil,4,1
Aveiro,40.6333,-8.65,Portugal,2,NA
Aveiro,-3.6058,-55.3319,Brazil,2,NA
Avon,48.4089,2.725,France,2,1
Avon,41.4485,-82.0187,United States,2,1
Ayacucho,-13.1631,-74.2244,Peru,2,NA
Ayacucho,-37.1333,-58.4667,Argentina,2,NA
Ayas,40.0172,32.3483,Turkey,2,NA
Ayas,24.2508,87.7784,India,2,NA
Ayr,55.458,-4.629,United Kingdom,2,NA
Ayr,-19.5744,147.4066,Australia,2,NA
Baden,48.0075,16.2344,Austria,2,NA
Baden,47.4667,8.3,Switzerland,2,NA
Bago,17.3333,96.4833,Myanmar,2,NA
Bago,10.5388,122.8384,Philippines,2,NA
Baiao,-2.7908,-49.6719,Brazil,2,NA
Baiao,41.1667,-8.0333,Portugal,2,NA
Banga,6.3,124.7833,Philippines,3,NA
Banga,31.1887,75.9949,India,3,NA
Banga,-8.7333,15.1667,Angola,3,NA
Bangar,4.7086,115.0739,Brunei,2,NA
Bangar,16.9,120.4167,Philippines,2,NA
Bangor,54.66,-5.67,United Kingdom,2,1
Bangor,44.8323,-68.7906,United States,2,1
Bangui,4.3733,18.5628,Central African Republic,2,NA
Bangui,18.5378,120.7653,Philippines,2,NA
Bani,18.29,-70.33,Dominican Republic,2,NA
Bani,16.1869,119.8592,Philippines,2,NA
Banqiao,25.0143,121.4672,Taiwan,2,NA
Banqiao,35.8912,107.9655,China,2,NA
Baoshan,25.1211,99.169,China,2,NA
Baoshan,24.7428,120.9991,Taiwan,2,NA
Bar,42.1,19.1,Montenegro,2,NA
Bar,49.0781,27.6831,Ukraine,2,NA
Barah,25.3885,85.4912,India,2,NA
Barah,35.683,36.533,Syria,2,NA
Barbacoas,1.6717,-78.1397,Colombia,2,NA
Barbacoas,9.4833,-66.9761,Venezuela,2,NA
Barberton,41.0095,-81.6037,United States,2,1
Barberton,-25.7861,31.0531,South Africa,2,1
Barcelona,41.3825,2.1769,Spain,3,NA
Barcelona,10.1333,-64.6833,Venezuela,3,NA
Barcelona,12.8694,124.1419,Philippines,3,NA
Barcelos,41.5167,-8.6167,Portugal,2,NA
Barcelos,-0.975,-62.9239,Brazil,2,NA
Bari,41.1253,16.8667,Italy,2,NA
Bari,25.8769,86.1918,India,2,NA
Batalha,-4.0239,-42.0778,Brazil,2,NA
Batalha,39.65,-8.8,Portugal,2,NA
Batan,11.5853,122.4981,Philippines,3,NA
Batan,10.1041,-83.3529,Costa Rica,3,NA
Batan,-38.0078,-57.7097,Argentina,3,NA
Bath,51.38,-2.36,United Kingdom,2,1
Bath,42.3219,-77.3083,United States,2,1
Bathurst,-33.42,149.5778,Australia,2,NA
Bathurst,47.62,-65.65,Canada,2,NA
Bayeux,-7.1333,-34.9333,Brazil,2,NA
Bayeux,49.2786,-0.7039,France,2,NA
Bayonne,40.6668,-74.1158,United States,2,1
Bayonne,43.49,-1.48,France,2,1
Beaconsfield,45.4333,-73.8667,Canada,2,NA
Beaconsfield,51.6009,-0.6347,United Kingdom,2,NA
Beaumont,30.0849,-94.1451,United States,4,1
Beaumont,45.7517,3.0831,France,4,1
Beaumont,53.3572,-113.4147,Canada,4,1
Beaumont,18.4833,-73.9667,Haiti,4,1
Bedford,52.135,-0.47,United Kingdom,2,1
Bedford,32.8464,-97.135,United States,2,1
Beja,36.7333,9.1833,Tunisia,2,NA
Beja,38.0333,-7.8833,Portugal,2,NA
Bel Air,-20.2582,57.7545,Mauritius,2,1
Bel Air,39.5348,-76.346,United States,2,1
Belas,-8.9983,13.265,Angola,2,NA
Belas,38.7754,-9.2716,Portugal,2,NA
Belen,36.4889,36.1944,Turkey,4,NA
Belen,11.5028,-85.8889,Nicaragua,4,NA
Belen,-27.65,-67.0333,Argentina,4,NA
Belen,-23.466,-57.262,Paraguay,4,NA
Belgrade,44.82,20.46,Serbia,2,1
Belgrade,45.7789,-111.1736,United States,2,1
Bella Vista,-34.5333,-58.6667,Argentina,4,1
Bella Vista,36.4667,-94.2707,United States,4,1
Bella Vista,15.6167,-92.2333,Mexico,4,1
Bella Vista,-22.1167,-56.5167,Paraguay,4,1
Bellavista,-7.0668,-76.5847,Peru,3,NA
Bellavista,-34.9333,-71.3167,Chile,3,NA
Bellavista,6.5236,-76.9744,Colombia,3,NA
Belleville,40.795,-74.1617,United States,2,1
Belleville,44.1667,-77.3833,Canada,2,1
Bellevue,47.5951,-122.1535,United States,2,1
Bellevue,48.871,2.385,France,2,1
Beloeil,45.5667,-73.2,Canada,2,NA
Beloeil,50.5333,3.7167,Belgium,2,NA
Benavente,38.9667,-8.8,Portugal,2,NA
Benavente,42.0031,-5.6742,Spain,2,NA
Benito Juarez,20.8833,-98.2,Mexico,2,NA
Benito Juarez,-37.6667,-59.7833,Argentina,2,NA
Bergen,60.3894,5.33,Norway,3,NA
Bergen,52.6667,4.7167,Netherlands,3,NA
Bergen,54.4167,13.4333,Germany,3,NA
Berlin,52.52,13.405,Germany,3,1
Berlin,41.6114,-72.7758,United States,3,1
Berlin,13.5,-88.5333,El Salvador,3,1
Betania,-8.2767,-38.0339,Brazil,2,NA
Betania,5.75,-75.9667,Colombia,2,NA
Betanzos,43.2792,-8.2106,Spain,2,NA
Betanzos,-19.5533,-65.4536,Bolivia,2,NA
Bethlehem,40.6266,-75.3679,United States,3,1
Bethlehem,31.7031,35.1956,West Bank,3,1
Bethlehem,-28.224,28.311,South Africa,3,1
Bharatpur,27.6833,84.4333,Nepal,2,NA
Bharatpur,27.22,77.48,India,2,NA
Bina,40.4539,50.0764,Azerbaijan,2,NA
Bina,26.0792,86.6326,India,2,NA
Birmingham,52.48,-1.9025,United Kingdom,2,1
Birmingham,33.5279,-86.7971,United States,2,1
Bo,7.9564,-11.74,Sierra Leone,2,NA
Bo,20.6736,105.5311,Vietnam,2,NA
Bocholt,51.8333,6.6167,Germany,2,NA
Bocholt,51.1722,5.5794,Belgium,2,NA
Bogo,10.7361,14.6108,Cameroon,2,NA
Bogo,11.0167,124,Philippines,2,NA
Bogota,4.7111,-74.0722,Colombia,2,1
Bogota,40.8751,-74.0293,United States,2,1
Bolivar,1.9708,-76.9694,Colombia,2,1
Bolivar,37.6059,-93.4175,United States,2,1
Bor,6.2125,31.5608,South Sudan,4,NA
Bor,44.1303,22.1036,Serbia,4,NA
Bor,56.35,44.0833,Russia,4,NA
Bor,37.8833,34.5667,Turkey,4,NA
Borger,35.6598,-101.4012,United States,2,1
Borger,52.9236,6.7922,Netherlands,2,1
Borna,51.1167,12.5,Germany,2,NA
Borna,25.4373,86.6172,India,2,NA
Borne,25.5431,86.6999,India,2,NA
Borne,52.3,6.75,Netherlands,2,NA
Boston,42.3188,-71.0852,United States,3,1
Boston,52.974,-0.0214,United Kingdom,3,1
Boston,7.8697,126.3761,Philippines,3,1
Bourne,52.7684,-0.3775,United Kingdom,2,1
Bourne,41.7233,-70.5816,United States,2,1
Boyarka,70.767,97.5,Russia,2,NA
Boyarka,50.3292,30.2886,Ukraine,2,NA
