loc
Ak[.]
Ga[.]
Hi[.]
Ka[.]
Ky[.]
La[.]
Md[.]
Mo[.]
Oh[.]
Pa[.]
Ut[.]
Va[.]
Vt[.]
Wn[.]
Ala[.]
Ark[.]
Cal[.]
D[.]C[.]
Del[.]
Fla[.]
Geo[.]
Ida[.]
Ill[.]
Ind[.]
Iowa
Kan[.]
Ken[.]
Mar[.]
N[.]C[.]
N[.]D[.]
N[.]H[.]
N[.]J[.]
N[.]M[.]
N[.]Y[.]
Neb[.]
Nev[.]
Ohio
Ore[.]
R[.]I[.]
S[.]C[.]
S[.]D[.]
Tex[.]
Utah
W[.]V[.]
Wis[.]
Wyo[.]
Ariz[.]
Colo[.]
Conn[.]
D[.](\\s)C[.]
Idaho
Ill's
Ills[.]
Ioa[.]a
Kans[.]
Kent[.]
Maine
Mary[.]
Mass[.]
Mich[.]
Minn[.]
Miss[.]
Mont[.]
N[.](\\s)C[.]
N[.](\\s)D[.]
N[.](\\s)H[.]
N[.](\\s)J[.]
N[.](\\s)M[.]
N[.](\\s)M[.]
N[.](\\s)Y[.]
Nebr[.]
Okla[.]
Oreg[.]
Penn[.]
R[.](\\s)I[.]
S[.](\\s)C[.]
S[.](\\s)D[.]
SoDak
Tenn[.]
Texas
Verm[.]
Virg[.]
W[.](\\s)V[.]
W[.]Va[.]
Wash[.]
Wisc[.]
Alaska
Calif[.]
Hawaii
Ioa[.](\\s)a
New(\\s)M[.]
Penna[.]
W[.](\\s)Va[.]
Chicago
N[.](\\s)Car[.]
N[.](\\s)Dak[.]
N[.](\\s)Mex[.]
N[.](\\s)York
S[.](\\s)Car[.]
S[.](\\s)Dak[.]
New(\\s)Mex[.]
W[.](\\s)Virg[.]
Dis[.](\\s)Col[.]
N[.](\\s)Jersey
