org,company,og_id
Norwegian Apatite Syndicate Limited,Norwegian Apatite Syndicate Limited,133
Norwegian Zinc Company,Norwegian Zinc Company,134
Alycone Mining Co,Alycone Mining Co.,135
Empire Copper Co,Empire Copper Co.,136
Fforchneol Craig Coal Limited,Fforchneol Craig Coal Limited,137
John Brown And Company,John Brown And Company,138
Rossington Main Colliery Company,Rossington Main Colliery Company,139
Sheepbridge Coal Companion Limited,NA,140
Maxayan Tin Dredging Limited,Maxayan Tin Dredging Limited,141
Coronation Syndicate Limited,Coronation Syndicate Limited,142
Cortonwood Collieries Company,Cortonwood Collieries Company,143
Corrwg Rhondda Colliery Company,Corrwg Rhondda Colliery Company,144
Lucfiana Mining Company,Lucfiana Mining Company,145
Newport Abercarn Black Vein Steam,Newport Abercarn Black Vein Steam,146
Oxcroft Colliery Company,Oxcroft Colliery Company,147
Sheepbridge Coal And Iron Limited,Sheepbridge Coal And Iron Limited,148
Tredegar Iron And Coal Company,Tredegar Iron And Coal Company,149
Luchana Mining Company,Luchana Mining Company,150
Malay Syndicate Limited,Malay Syndicate Limited,151
Firbeck Main Collieries Limited,Firbeck Main Collieries Limited,152
Maltby Main Colliery Company,Maltby Main Colliery Company,153
Oak Dale Navigation Colliery Limited,Oak Dale Navigation Colliery Limited,154
Tredegar Iron And Coal Limited,Tredegar Iron And Coal Limited,155
Markham Steam Coal Company,Markham Steam Coal Company,156
Maltby Main Colliery Limited,NA,157
Oakdale Navigation Collieries Limited,NA,158
Tradegar Associated Company,Tradegar Associated Company,159
Newstead Collierymchommpany Limited,Newstead Collierymchommpany Limited,160
Tredegariron And Coal Coq Limited,Tredegariron And Coal Coq Limited,161
Coronation Collieries Limited,Coronation Collieries Limited,162
Dickson Creek Cobalt Silver Mines,Dickson Creek Cobalt Silver Mines,163
Malayan Chamber Mines,Malayan Chamber Mines,164
Dennington Colliery Company,Dennington Colliery Company,165
Trecastell Mining Company,Trecastell Mining Company,166
British Smelting And Refining Limited,British Smelting And Refining Limited,167
Cefn Fan Estatempaanyn Dlimfitfeodr Chlais,Cefn Fan Estatempaanyn Dlimfitfeodr Chlais,168
Russian Goldfields Limited,Russian Goldfields Limited,169
Harmony Proprietary Company,Harmony Proprietary Company,170
Armony Proprietary Limited,Armony Proprietary Limited,171
New England Gold Copper Mining Co,New England Gold & Copper Mining Co.,172
British All Gold Estate,British All Gold Estate,173
Buena Ventura Company,Buena Ventura Company,174
Linares Lead Mining Company,Linares Lead Mining Company,175
Baldy Coal Co,Baldy Coal Co.,176
Standard Tungsten Co,Standard Tungsten Co.,177
Egyptian And General Syndicate Limited,Egyptian And General Syndicate Limited,178
Cwm Aman Coal Company,Cwm Aman Coal Company,179
Niger Company,Niger Company,180
Nigel Gold Mining Company,NA,181
Nigel Van Ryn Reefs Limited,Nigel Van Ryn Reefs Limited,182
Riverside Schools,NA,183
Aberfoyle Slate Quarrles Company,Aberfoyle Slate Quarrles Company,184
Aberdare Syndicate Limited,Aberdare Syndicate Limited,185
Duffryn Amman Anthracite Collieries Company,Duffryn Amman Anthracite Collieries Company,186
Sampling Same Company,NA,187
New Mexico School Of Mines,NA,188
Cia Minera De Penoles,NA,189
Monterrey Smelter Refinery,Monterrey Smelter & Refinery,190
Butte Mont Mining Butte And Superior Copper Co,NA,191
Combustion Northern Ohio Traction And Light Co,NA,192
Sons Gwalia Limited,Sons Gwalia Limited,193
South African Diamond Corporation Limited,South African Diamond Corporation Limited,194
Golden Age Mining Co Pioneerville Boise Co,"Golden Age Mining Co., Pioneerville, Boise Co.",195
Niagara Operating Co,Niagara Operating Co.,196
Llanbedr Mining Company,Llanbedr Mining Company,197
Windsor Steam Coal Company,Windsor Steam Coal Company,198
San Gertrudes Mine,NA,199
Killaloe Slate Company,Killaloe Slate Company,200
Ervedo Tin Mines Limited,Ervedo Tin Mines Limited,201
Viner Gold Mining Company,Viner Gold Mining Company,202
Kanya Exploration Company,Kanya Exploration Company,203
Crystal Reef Gold Mining Company,Crystal Reef Gold Mining Company,204
Kanya Concession Gold Prospecting And,Kanya Concession Gold Prospecting And,205
London,NA,206
Derby And,NA,207
Science In The,NA,208
The Scientific Observers,NA,209
The Committee On,NA,210
His Researches,NA,211
With The George F Blake Manufacturing Co,NA,212
Abosso Gold Mining Company,Abosso Gold Mining Company,213
Australian Shale Syndicate Limited Australasian,Australian Shale Syndicate Limited Australasian,214
Belfast Gold Mining Company,Belfast Gold Mining Company,215
Pretoria Gold Mining Company,Pretoria Gold Mining Company,216
Welgedacht Exploration Company,Welgedacht Exploration Company,217
Kassa Ropp Tin Limited,Kassa Ropp Tin Limited,218
Charlton And Meyer Gold Mining,Charlton And Meyer Gold Mining,219
Kent Coal Concessions Ltd,Kent Coal Concessions Ltd,220
Transvaal Estates And Development Company,Transvaal Estates And Development Company,221
Low Moor Compaiix Limited,Low Moor Compaiix Limited,222
Gold Queen Limited,Gold Queen Limited,223
Gold King Mining Company,Gold King Mining Company,224
United States Gold Placers Limited,United States Gold Placers Limited,225
Manica Ophir Mining Company,Manica Ophir Mining Company,226
Ocean Coal Company,Ocean Coal Company,227
Swanzy Estates Gold Mining Company,Swanzy Estates Gold Mining Company,228
Chama Syndicate Limited,Chama Syndicate Limited,229
Penydarren Brick And Coal Limited,Penydarren Brick And Coal Limited,230
Sun Black Reef Gold Mining,Sun Black Reef Gold Mining,231
North Wales Coal Company,North Wales Coal Company,232
Agnes Munro Main Reef Gold,Agnes Munro Main Reef Gold,233
Orsk Goldfields Limited,Orsk Goldfields Limited,234
London Gowgandaw Exploration Limited,London Gowgandaw Exploration Limited,235
Roodepoort Gold Mining Company,Roodepoort Gold Mining Company,236
Morkel Gold Mining Company,Morkel Gold Mining Company,237
Madeline Witwatersrand Gold Mining Company,Madeline Witwatersrand Gold Mining Company,238
Montrose Diamond Mining Company,Montrose Diamond Mining Company,239
New Ross Hill Gold Limited,New Ross Hill Gold Limited,240
Monte Rosa Gold Mining Company,NA,241
King Solomon Mines Limited,King Solomon Mines Limited,242
Johannesburg Roodepoort Gold Mining Company,Johannesburg Roodepoort Gold Mining Company,243
Dominion Reefs Gold Mining Company,Dominion Reefs Gold Mining Company,244
Compton And Gardner Black Reef,Compton And Gardner Black Reef,245
Eagle Gold Mining Company,Eagle Gold Mining Company,246
Klipriversberg Estate And Gold Mining,Klipriversberg Estate And Gold Mining,247
National Gold Mining Company,National Gold Mining Company,248
Meyer And Leeb Gold Mining,Meyer And Leeb Gold Mining,249
Manager Square D Company,NA,250
Grange Gold Mining Estates And,Grange Gold Mining Estates And,251
Jumpers Extension Gold Mining Company,Jumpers Extension Gold Mining Company,252
South Primrose Gold Mining Company,South Primrose Gold Mining Company,253
Anglo Caucasian Copper Company,Anglo Caucasian Copper Company,254
Sansac South France Collieries Limited,Sansac South France Collieries Limited,255
National Oil Products Company,NA,256
Marathon Paper Mills Company,NA,257
Foldal Copper And Sulphur Company,Foldal Copper And Sulphur Company,258
Glyn Mines Limited,Glyn Mines Limited,259
Alaska Treadwell Gold Mining Company,Alaska Treadwell Gold Mining Company,260
Caribou Gold Mining Power Co,Caribou Gold Mining & Power Co,261
New Modderfontein Gold Mining Company,New Modderfontein Gold Mining Company,262
Santa Francisca Estates Limited,Santa Francisca Estates Limited,263
Bureau Of Public Works,NA,264
Nyassa Company,NA,265
Midas Black Reef Estate And,Midas Black Reef Estate And,266
Anglq Moroccan Mining Syndicate Limited,Anglq Moroccan Mining Syndicate Limited,267
Ingleton Collieries Limited,Ingleton Collieries Limited,268
Devon United Mines Syndicate Limited,Devon United Mines Syndicate Limited,269
Corocobo United Copper Mines,Corocobo United Copper Mines,270
Cortonwqod Collieries Limited,Cortonwqod Collieries Limited,271
Government Gold Mining Areas Modder,Government Gold Mining Areas Modder,272
Brynafan Colliery Company,Brynafan Colliery Company,273
Aldridge Colliery Company,Aldridge Colliery Company,274
Senaar Syndicate Limited,Senaar Syndicate Limited,275
Set Rtwe Goi Limited,Set Rtwe Goi Limited,276
Mcintyre Porcupine Mines Limited Schumacher Dhd,"Mcintyre-Porcupine Mines, Limited, Schumacher. Dhd",277
Hainault Gold Mine Limited,Hainault Gold Mine Limited,278
Cher Clough Colliery Limited,Cher Clough Colliery Limited,279
Wemyss Collieries Trust Limited,Wemyss Collieries Trust Limited,280
Datnsob Gold Mine Limited,Datnsob Gold Mine Limited,281
Crommelin Mining Company,Crommelin Mining Company,282
Devot Untte Mines Limited,Devot Untte Mines Limited,283
East Kent Contrac And Financial Co,East Kent Contrac And Financial Co,284
Rosendmsharon Shamr Khsoxd Mines Limited,Rosendmsharon Shamr Khsoxd Mines Limited,285
Klein Letaba Exploration Syndicate,Klein Letaba Exploration Syndicate,286
Wemyss Coales Company,Wemyss Coales Company,287
Fernhill Collieries Limited,Fernhill Collieries Limited,288
Bedwas Navlgatlon Colliery Limited,Bedwas Navlgatlon Colliery Limited,289
East Cannock Colliery Company,East Cannock Colliery Company,290
International Smelting Company,NA,291
Consolidated Eries Ctlor Consolidated Mines,Consolidated Eries Ctlor Consolidated Mines,292
Pato Mines Colombia Limited,Pato Mines Colombia Limited,293
Hopton Mining And Minerals Limited,Hopton Mining And Minerals Limited,294
New African Syndicate Limited,New African Syndicate Limited,295
Southern Shan Staten Syndicate,Southern Shan Staten Syndicate,296
Spitsbergen Mining Exploration Syndicate Limited,Spitsbergen Mining Exploration Syndicate Limited,297
Sum Eltleetrotr Omp Limited,Sum Eltleetrotr Omp Limited,298
Blaina Colliery Company,Blaina Colliery Company,299
Jumper Gold Syndicate California Limited,Jumper Gold Syndicate California Limited,300
