org,company,og_id
Cia Min Erupcion Y An S A,Cia . Min . Erupcion Y An. S. A.,7381
Mount Read Mining Company,Mount Read Mining Company,7382
Silver Tip Mining And Power,Silver Tip Mining And Power,7383
Minerals Separation And Bavay Processes,Minerals Separation And Bavay Processes,7384
Australian Smelting And Refining Works,NA,7385
Denver Appointed,NA,7386
Port Pirie,NA,7387
British Museum Under,NA,7388
The School Mine,NA,7389
The Commodore,NA,7390
The British Broken,NA,7391
Port Pirie As,NA,7392
Denver,NA,7393
In The School Mine,NA,7394
On Staff Several Mine,NA,7395
Monastery Diamond Mines Estates Limited,Monastery Diamond Mines Estates Limited,7396
Sadouna Iron Ore Company,Sadouna Iron Ore Company,7397
Victorian Star Gold Mines Limited,Victorian Star Gold Mines Limited,7398
Kaap Gold Mines Limited,Kaap Gold Mines Limited,7399
Lake Superior Mining Company,Lake Superior Mining Company,7400
Toweli Swaziland Estate And Gold,Toweli Swaziland Estate And Gold,7401
Bayley Reward South Gold Mining,Bayley Reward South Gold Mining,7402
Sociedad Mina Fundiciones Carrizal,Sociedad Mina Fundiciones Carrizal,7403
Brilliant North Gold Mines Limited,Brilliant North Gold Mines Limited,7404
Mulwarrie Exploration Company,Mulwarrie Exploration Company,7405
Victory Charcotmerpasny Tolivmviteerds Gold Mining,Victory Charcotmerpasny Tolivmviteerds Gold Mining,7406
Briseis Tin And General Mining Company,Briseis Tin And General Mining Company,7407
Chillagoe Company,Chillagoe Company,7408
Mungana Chillagoe Mining Company,Mungana Chillagoe Mining Company,7409
Wcrorian Cornis Gold Mines Limited,Wcrorian Cornis Gold Mines Limited,7410
Carrington United Mines Limited,Carrington United Mines Limited,7411
White Cliffs Opal Mines Limited,White Cliffs Opal Mines Limited,7412
Carnage South Gold Mines Limited,Carnage South Gold Mines Limited,7413
Brilliant Stockholm Noppsouth Limited,Brilliant Stockholm Noppsouth Limited,7414
Burbank Main Lode Limited,Burbank Main Lode Limited,7415
Dun Llzt Ted,Dun Llzt Ted,7416
Mungana Mining Company,Mungana Mining Company,7417
Chile Copper Company,Chile Copper Company,7418
Briseis Tin And General Mining Limited,NA,7419
Dulce Syndicate Limited,Dulce Syndicate Limited,7420
Lindsay Gold Mines Limited,Lindsay Gold Mines Limited,7421
Blacketts Claim Gold Mining Company,Blacketts Claim Gold Mining Company,7422
Cassidy Hill Coolgardie Gold Mines,Cassidy Hill Coolgardie Gold Mines,7423
Crown Bayley Reward Gold Mining,Crown Bayley Reward Gold Mining,7424
Austin Gold Mines Limited,Austin Gold Mines Limited,7425
African Claim And Land Company,NA,7426
With E A Tucker Summer St Boston,NA,7427
Representative Duquesne Light Company,NA,7428
Longfellow Gold Mining Iii M Co,"Longfellow Gold Mining Iii, M. Co.",7429
Longfellow Gold Mining M Co,Longfellow Gold Mining 6. M. Co.,7430
Day Block Company,Day Block Company,7431
Iquique Silver Company,Iquique Silver Company,7432
Rhodesian Mines Development Syndicate Limited,Rhodesian Mines Development Syndicate Limited,7433
Rhodesian Corporation,Rhodesian Corporation,7434
Rhodesian And General Asbestos Corporation,Rhodesian And General Asbestos Corporation,7435
Wallarah Coal Company,Wallarah Coal Company,7436
Tasmanian Gold Mining Company,Tasmanian Gold Mining Company,7437
Australian Smelting Corporation Limited,Australian Smelting Corporation Limited,7438
Crystal Gold Mining Company,Crystal Gold Mining Company,7439
Commonwealth Gold Mining Company,Commonwealth Gold Mining Company,7440
Totumo Alluvial Gold Company,Totumo Alluvial Gold Company,7441
Porkellis Dtin Mines Limited,Porkellis Dtin Mines Limited,7442
Atlantic Lead Zinc Co,Atlantic Lead & Zinc Co.,7443
Champion Consolidated Mining Co,Champion Consolidated Mining Co.,7444
South Wales Primrose Coal Company,South Wales Primrose Coal Company,7445
Ozark Coal Mining Co Cumberland King Co,"Ozark Coal Mining Co., Cumberland, King Co.",7446
Arrow Lake Mjntng Company,Arrow Lake Mjntng Company,7447
Grand View M S Company,NA,7448
Fresno Magnesite Co Reedley Fresno Co,"Fresno Magnesite Co., Reedley, Fresno Co.",7449
Gloria Silver Mines Limited,Gloria Silver Mines Limited,7450
Butte Superior Mining Co,Butte 6. Superior Mining Co.,7451
Kafir Tin Development Company,Kafir Tin Development Company,7452
Pestarena United Gold Mining Company,NA,7453
Chief Underground Agent Nundydroog Company,NA,7454
Date Chief Inspector Mine,NA,7455
California Extraction Co,California Extraction Co.,7456
Uruachic Mining Smelting Company,Uruachic Mining & Smelting Company,7457
Universal Development Company,Universal Development Company,7458
Uruachic Mining And Smelting Limited,Uruachic Mining And Smelting Limited,7459
Ivor Syndicate Limited,Ivor Syndicate Limited,7460
Mammoth Gold Mining Co Bourne Baker Co,"Mammoth Gold Mining Co., Bourne, Baker Co.",7461
Mountain Queen Mining Milling Company,Mountain Queen Mining & Milling Company,7462
Western Investment Co Victor Teller Co,"Western Investment Co., Victor, Teller Co.",7463
American Exploration Co Park City Summit Co,"American Exploration Co., Park City, Summit Co.",7464
Trimount Mining Company,Trimount Mining Company,7465
Red White Blue Mines Malheur Malhuer Co,"Red, White & Blue Mines, Malheur, Malhuer Co.",7466
Golden Wonder Mining Co Newcastle Garfield Co,"Golden Wonder Mining Co., Newcastle, Garfield Co.",7467
New Era Mines Limited Beaton Lgp,"New Era Mines, Limited, Beaton. Lgp",7468
Kosmos Concessionairesi Limited,Kosmos Concessionairesi Limited,7469
Wichita Falls Texas Geologist Gulf Production Co,NA,7470
Carnegie Ill Steel Corp,NA,7471
Republican Mining Metal Company,Republican Mining & Metal Company,7472
Republican Mining Metal Co,Republican Mining & Metal Co.,7473
U S Revenue Cutter Service,NA,7474
Cumbrian Mining Company,Cumbrian Mining Company,7475
Ba A Rgerschule,NA,7476
Tungsten Steel Co,Tungsten Steel Co.,7477
Philadelphia Exploration Co,Philadelphia Exploration Co.,7478
Reverberatory Furnaces And Copper Converter Men Philadelphia Exploration Co,Reverberatory Furnaces And Copper Converter. Men. Philadelphia Exploration Co,7479
Primos Chemical Co Newmire San Miguel Co,"Primos Chemical Co., Newmire, San Miguel Co.",7480
Boeseke Dawe Co Hardware Dealers,NA,7481
Ota Mines And Railway Company,Ota Mines And Railway Company,7482
Alpha Copper Mining Co,Alpha Copper Mining Co.,7483
Sub Of Algonkian Mines Co,Sub. Of Algonkian Mines Co,7484
Egan Silver Copper Mine Adits Steam Power Plant Men Ella Eagle Cons Gold M Dev Co,Egan Silver Copper Mine. Adits. Steam Power Plant. Men. Ella &. Eagle Cons. Gold M. Dev. Co,7485
Inca Matabeleland Development Limited,Inca Matabeleland Development Limited,7486
Maj Air Corp,NA,7487
Frver Hill Smelting Company,NA,7488
Beaver Valley Mining Co,Beaver Valley Mining Co.,7489
Arizona Rand Gold Mine Inc,"Arizona Rand Gold Mine, Inc.",7490
Societe Des Ingenieurs Civils De France,NA,7491
Montezuma Mining Company,Montezuma Mining Company,7492
San Miguel Mining Co,San Miguel Mining Co.,7493
Oaxaca Mining Company,Oaxaca Mining Company,7494
National Steel Products Co,National Steel Products Co.,7495
New Dynant Anthracite Colliery Limited,New Dynant Anthracite Colliery Limited,7496
Lulu Mining Company,Lulu Mining Company,7497
Citizens Mining Company,Citizens Mining Company,7498
Battleboro Mining Company,Battleboro Mining Company,7499
Big Evans Mining Company,Big Evans Mining Company,7500
Dolores M M Company,NA,7501
Junction Mines Co Junction Lemhi Co,"Junction Mines Co., Junction, Lemhi Co.",7502
T American Smelters Securities Company,T American Smelters Securities Company,7503
North Utah Mining Co,North Utah Mining Co.,7504
Fairview Fluor Spar Lead Co,Fairview Fluor-Spar 81.Lead Co.,7505
Treasurer Chiricahua Ranches Company,NA,7506
Cuidad Porfirio Diaz Coal Co,Cuidad Porfirio Diaz Coal Co,7507
Fenix Coal Co,Fenix Coal Co.,7508
Spencer Heater Co,Spencer Heater Co.,7509
Be Moosic Powder Company,NA,7510
Old Guard Mining Company,Old Guard Mining Company,7511
Mount Lyell Blocks Copper Mines,Mount Lyell Blocks Copper Mines,7512
Norse Zinc Company,Norse Zinc Company,7513
Societe Exploration Mexicaine Limited,Societe Exploration Mexicaine Limited,7514
American Consolidated Mining Milling Co,American Consolidated Mining & Milling Co,7515
Elwood Tinworkers Gold Mining Company,Elwood Tinworkers Gold Mining Company,7516
U S Asiatic Fleet,NA,7517
Castellana Consolidated Mines Limited Ixtlan,Castellana Consolidated Mines Limited. Ixtlan.,7518
Castellana Consolidated Mines Co Limited,Castellana Consolidated Mines Co. Limited,7519
Molyneux Mines Limited,Molyneux Mines Limited,7520
Ceylon Company,Ceylon Company,7521
Kasai Diamond Fields Co,Kasai Diamond Fields Co.,7522
Habtley Rhodesia Consolidated,Habtley Rhodesia Consolidated,7523
Era Mining Properties Development Syndicate,Era Mining Properties Development Syndicate,7524
Belogradchl Exploration Syndicate Limited Bengal,Belogradchl Exploration Syndicate Limited Bengal,7525
National Mines Co,National Mines Co.,7526
Eastern Star Mining Co,Eastern Star Mining Co.,7527
Coeur D alene Mining Co Black Hawk Gilpin Co,"Coeur D'alene Mining Co., Black Hawk, Gilpin Co.",7528
National Finance Holding Co,National Finance & Holding Co.,7529
Johannesburg Eqrest And Land Limited,Johannesburg Eqrest And Land Limited,7530
Oceana Transvaal Coal Company,Oceana Transvaal Coal Company,7531
Oceana Transvaal Land Company,Oceana Transvaal Land Company,7532
New Mount Sham Rock Gold Mines Limited Fc,"New Mount Sham Rock, Gold Mines, Limited, Fc",7533
Siskiyou Dredging Co,Siskiyou Dredging Co.,7534
Federal Lead Zinc Co,Federal Lead&.Zinc Co.,7535
Air Reduction Sales Company,NA,7536
Golden Eagle Syndicate Limited,Golden Eagle Syndicate Limited,7537
Spanish Lead Syndicate Limited,Spanish Lead Syndicate Limited,7538
Anchor Mountain Mining Co,Anchor Mountain Mining Co.,7539
Sthetrwood Colliery Company,Sthetrwood Colliery Company,7540
Frida Mining Milling Co,Frida Mining & Milling Co.,7541
Melchior Armstrong Dessau Company,NA,7542
Basset Mines Limited,Basset Mines Limited,7543
Car Tincroft Mines Limited,Car Tincroft Mines Limited,7544
Pengk Alen Limited,Pengk Alen Limited,7545
Tec Lebel Kirk Land Syndicate,NA,7546
Consolidated Tin Smelting Company,Consolidated Tin Smelting Company,7547
Consolidated Main Reef Company,Consolidated Main Reef Company,7548
Republic Bolivja Exploration Syndicate Limited,Republic Bolivja Exploration Syndicate Limited,7549
Mexican Development Mining Co,Mexican Development 8.. Mining Co.,7550
Densu River Syndicate Limited,Densu River Syndicate Limited,7551
White Pine Extension Copper Co,White Pine Extension Copper Co.,7552
I Crushers Steam Stamps Rolls And Hardinge Ball Mills Wolverine Copper Mining Co,I Crushers Steam Stamps Rolls And Hardinge Ball Mills. Wolverine Copper Mining Co,7553
Columbia University,NA,7554
The Late Edward,NA,7555
Idaho Mining Company,Idaho Mining Company,7556
Tusas Peak Gold Copper Mining Company,Tusas Peak Gold & Copper Mining Company,7557
The Victoria University,NA,7558
Castillon Pyrenees Mining Limited,Castillon Pyrenees Mining Limited,7559
Spanish Mines Exploration Syndicate,Spanish Mines Exploration Syndicate,7560
Findlay Creek Mining Company,Findlay Creek Mining Company,7561
African And General Exploration Limited,African And General Exploration Limited,7562
Tun Is Tramways Co,Tun Is Tramways Co.,7563
Diy Acushnet Process Company,NA,7564
Mount Bischoff Tin Mining Registered,Mount Bischoff Tin Mining Registered,7565
Sabi Gold Mining Company,Sabi Gold Mining Company,7566
Anglo Asturian Mining Company,Anglo Asturian Mining Company,7567
Blaauwbosch Poort Estate And Gold Mining Company,NA,7568
South African Freehold Estates Syndicate Ltd,NA,7569
Torreon Silver Copper Mining Company,Torreon Silver Copper Mining Company,7570
Lyonnaise Mexican Concessions Limited,Lyonnaise Mexican Concessions Limited,7571
Pilbara Copper Fields Limited,Pilbara Copper Fields Limited,7572
Mons Cupri Limited,NA,7573
Wenatchee Gold Mining Co,Wenatchee Gold Mining Co.,7574
Great Northern Freehold Tin Co,Great Northern Freehold Tin Co.,7575
Voorspoed Diamond Mining Company,Voorspoed Diamond Mining Company,7576
Corning Building Company,NA,7577
Standard Vacuum Oil Company,NA,7578
Burtersett Quarries Company,Burtersett Quarries Company,7579
Chemist Catalytic Development Company,NA,7580
Richard Thomas And Limited,Richard Thomas And Limited,7581
Pittsburgh Mining Co,Pittsburgh Mining Co.,7582
Toluachi Mine Alto Lc,"Toluachi Mine, Alto. Lc",7583
Designer Bethlehem Steel Company,NA,7584
Torycoed Colliery Company,Torycoed Colliery Company,7585
Cornish Tin Smelting Co,Cornish Tin Smelting Co.,7586
Goodyear Zeppelin Corp,NA,7587
Huel Copper Aeqasulrhqr Mines Limited,Huel Copper Aeqasulrhqr Mines Limited,7588
Huelva Copper And Sulphur Mantes Limited,NA,7589
Flour Gold Mining Co,Flour Gold Mining Co.,7590
Granby Consolidated Limited,Granby Consolidated Limited,7591
Hidden Creek Mines And Smelter Anyox,"Hidden Creek Mines And Smelter, Anyox.",7592
Prieta Mine Cosala Mgf,"Prieta Mine, Cosala. Mgf",7593
Mt Bullion,NA,7594
Federal Mining Milling Co Cherry Yavapai Co,"Federal Mining & Milling Co., Cherry, Yavapai Co.",7595
Canadian Graphite Proving Syndicate Limited,Canadian Graphite Proving Syndicate Limited,7596
Welgelegen Diamond Mining Limited,Welgelegen Diamond Mining Limited,7597
Golden Eagle Mining Milling Company,Golden Eagle Mining & Milling Company,7598
Aragon Copper Mines Limited,Aragon Copper Mines Limited,7599
Forest Hematite Company,Forest Hematite Company,7600
Dayles Ford Proprietary Syndicate Limited,Dayles Ford Proprietary Syndicate Limited,7601
New Cornish Gold Mines Limited,New Cornish Gold Mines Limited,7602
Salisbury Rhodesia Estates Limited,Salisbury Rhodesia Estates Limited,7603
Myalls And Peak Hillwgold Mines,Myalls And Peak Hillwgold Mines,7604
Messina Copper Extensions Limited,Messina Copper Extensions Limited,7605
Tough Cakes Gold Mines Limited,Tough Cakes Gold Mines Limited,7606
Kirkland Lake Proprietary Ltd,"Kirkland Lake Proprietary 1919, Ltd.",7607
Rio Del Oro Company,Rio Del Oro Company,7608
Trimdon Coal Company,Trimdon Coal Company,7609
Perseverance Mining Milling Company,Perseverance Mining & Milling Company,7610
Copper Belt Silver Copper M Co,Copper Belt Silver & Copper M. Co.,7611
Division S Office New York Central Hudson River R R,NA,7612
Adaven Mining Smelting Co,Adaven Mining & Smelting Co.,7613
Olympic Mines Co,Olympic Mines Co.,7614
Hiawatha Mining Co,Hiawatha Mining Co.,7615
Cariboo Gold Fields Limited,Cariboo Gold Fields Limited,7616
Carabaya Mining Syndicate Limited,Carabaya Mining Syndicate Limited,7617
West Canaqian Placer Limited,West Canaqian Placer Limited,7618
Lasrerra Los San Tos Merc,Lasrerra Los San Tos Merc,7619
Stafford Coal And Iron Company,NA,7620
Echo Silver Lead Mining Co,Echo Silver-Lead Mining Co.,7621
West Canadian Deep Leads Ltd,West Canadian Deep Leads Ltd,7622
Lightning Creek B C Hydraulic Mining Co,Lightning Creek B. C. Hydraulic Mining Co.,7623
Lightning Creek B c Hydraulic Mining Co,Lightning Creek B.c. Hydraulic Mining Co.,7624
Lightning Creek Cb c Hydraulic M Co,Lightning Creek Cb.c. Hydraulic M. Co,7625
Knights Island Copper Mining Co,Knights Island Copper Mining Co.,7626
Crowhn Mines Limited,Crowhn Mines Limited,7627
Trollerud Mine Svene Buskerud Fg,"Trollerud Mine, Svene, Buskerud. Fg",7628
Denver Ore Testing Sampling Company,Denver Ore Testing & Sampling Company,7629
Bonney Floyd Company,Bonney Floyd Company,7630
Sun Moon Mining Milling Company,Sun & Moon Mining & Milling Company,7631
Rio Tenido Copper Mines Limited,Rio Tenido Copper Mines Limited,7632
Grant Marble Co,NA,7633
Amalgamated Rhodesia Limited,Amalgamated Rhodesia Limited,7634
Clinton Mining Co,Clinton Mining Co.,7635
Gold Fields Matabeleland Limited,Gold Fields Matabeleland Limited,7636
Fotr Hematite Company,Fotr Hematite Company,7637
Newhjynant Anthracite Colliery Limited,Newhjynant Anthracite Colliery Limited,7638
Netherlands India Exploration Limited,Netherlands India Exploration Limited,7639
Dios Te Guie Mining Company,Dios Te Guie Mining Company,7640
Mashonaland Trust And Exploring Company,Mashonaland Trust And Exploring Company,7641
Bewick Moreing Company,NA,7642
Coronation South Strike Limited,Coronation South Strike Limited,7643
Society Exploitation Jde Ling Ngan,Society Exploitation Jde Ling Ngan,7644
Mirfield Colliery Company,NA,7645
Warren Peak Mines Co,Warren Peak Mines Co.,7646
Tranweli Coal Company,Tranweli Coal Company,7647
L Vogelstein Co,L. Vogelstein 8; Co.,7648
Boon Granite Quarries Limited,Boon Granite Quarries Limited,7649
Blue Bird Mining Co,NA,7650
Yarde Kerrl Mines Limited,Yarde Kerrl Mines Limited,7651
Aber Llyn Zinc Mines Limited Aberllyn Fg,"Aber-Llyn Zinc Mines, Limited, Aberllyn, Fg",7652
Marsh Mining Co Burke Shoshone Co,"Marsh Mining Co., Burke, Shoshone Co.",7653
Mass State Board Of Health,NA,7654
Tchdt Evans Limited,Tchdt Evans Limited,7655
Right Way Mining Meany Limited,NA,7656
Affiliation Of Workington Iron Steel Co Ltd,Affiliation Of Workington Iron & Steel Co. Ltd,7657
Right Of Way Mines Limited Cobalt Fgp,"Right Of Way Mines, Limited, Cobalt. Fgp",7658
Murchison Transvaal Finance Corporation Limited,Murchison Transvaal Finance Corporation Limited,7659
Treasurer Lennox Furnace Company,NA,7660
Tiober Heath And Eodw Eafftd,Tiober Heath And Eodw Eafftd,7661
Sales Gulf Oil Corp,NA,7662
Levi Booth Sons Inc,NA,7663
Florence Rae Copper Co,Florence Rae Copper Co.,7664
Yorkshire Iron And Coal Company,NA,7665
Inspiration Consulting Copper Company,NA,7666
Steamboat Mines Co,Steamboat Mines Co.,7667
Liang Tin Lands Limited,Liang Tin Lands Limited,7668
Falcon Steel Co,Falcon Steel Co.,7669
Booth Powell Patent Lawyers,NA,7670
The Foxboro Company,NA,7671
Tonopah Extension Mining Co,Tonopah Extension Mining Co.,7672
Durazno Tetanoa Mining Co,Durazno-Tetanoa Mining Co.,7673
Khanguet Mining Co,Khanguet Mining Co.,7674
Colorado Tellurium Gold Mining Company,Colorado Tellurium Gold Mining Company,7675
Continental Mining Co,Continental Mining Co.,7676
Irwin Mine Descanso,"Irwin Mine, Descanso.",7677
Monalda Mining Co Masonic Inyo Co,"Monalda Mining Co., Masonic, Inyo Co.",7678
Isabel Dredging Co,Isabel Dredging Co.,7679
Captain Construction Corp,NA,7680
Toledo Steel Casting Co,Toledo Steel Casting Co.,7681
Weltevreden Estate And Gold Mining,Weltevreden Estate And Gold Mining,7682
Steward Mine A C M Company,NA,7683
Knoxville Iron Co,Knoxville Iron Co.,7684
Slerra Madre Exploration Limited Plwipk,Slerra Madre Exploration Limited Plwipk,7685
Societe Des Mines De Zinc De Bosost,Société Des Mines De Zinc De Bosost.,7686
Societe Des Mines De Zinc De Margarita,Societé Des Mines De Zinc De Margarita.,7687
Sxa Nds Concession,Sxa Nds Concession,7688
Yampi Reward Copper Mine Limited,Yampi Reward Copper Mine Limited,7689
Northern Natal Mining Sytndicate Limited,Northern Natal Mining Sytndicate Limited,7690
Big Ledge Copper Co,Big Ledge Copper Co.,7691
Callahan Zinc Lead Co,Callahan Zinc-Lead Co.,7692
Bhenango Furnace Co,Bhenango Furnace Co.,7693
Tarkwa Banket Mining Siyndicate Limited,Tarkwa Banket Mining Siyndicate Limited,7694
Antimony Mining Smelting Co,Antimony Mining & Smelting Co.,7695
Fire Brick And Clay Retorts,NA,7696
Great Eastern Collieries Limited,Great Eastern Collieries Limited,7697
Lonely Reef Gold Mining Company,NA,7698
Valley Coal Eoring Syndicate Limited,Valley Coal Eoring Syndicate Limited,7699
Howden Boring Company,Howden Boring Company,7700
Clifton College,NA,7701
Department Of Yards And Docks U S Navy Yard,NA,7702
Martin Rhodesian Gold Mines Syndicate,Martin Rhodesian Gold Mines Syndicate,7703
Standard Lead Mine Limited,Standard Lead Mine Limited,7704
Relkeld Lead Mines Limited,Relkeld Lead Mines Limited,7705
Greenside Mining Co Ltd,Greenside Mining Co. Ltd,7706
Northern Custom Concentrators Limited Cobalt B,"Northern Custom Concentrators, Limited, Cobalt. B2.",7707
Treasurer Automat Shoes Inc,NA,7708
Wolrkinglon Iron And Steel Company,Wolrkinglon Iron And Steel Company,7709
Kathleen Gold Mining Company,Kathleen Gold Mining Company,7710
Luit Syndicate Limited,Luit Syndicate Limited,7711
Pittsburg Bote Mining Co S A,Pittsburg Bote Mining Co. S. A.,7712
Pittsburgh Veta Grande Mining Co S A,Pittsburgh Veta Grande Mining Co. S. A.,7713
South Atlantic African Land And,South Atlantic African Land And,7714
South African Loan Mortgage And,South African Loan Mortgage And,7715
Department Pi Engineering Company,NA,7716
Cia Minera Norias De Bajan S A,Cia. Minera Norias De Bajan S. A.,7717
National Fund Land Company,NA,7718
Development Company,Development Company,7719
Pineville Investment Company,Pineville Investment Company,7720
Crown Collieries Limited,Crown Collieries Limited,7721
Slmmer Anb Jack East Limited,Slmmer Anb Jack East Limited,7722
Akim Corporation Limited,Akim Corporation Limited,7723
The Madras Presidency,NA,7724
Block Goi D Mine,NA,7725
Iberian Contract Corporation Limited,Iberian Contract Corporation Limited,7726
Marbella Iron Ore Company,NA,7727
Marbella Iron Qbe Company,Marbella Iron Qbe Company,7728
Parbola Tin Mining Company,Parbola Tin Mining Company,7729
Wootrc Stoe Exploration Gold Mining,Wootrc Stoe Exploration Gold Mining,7730
Armour Institute Of Tech Nology,NA,7731
Charcoal Iron Limited,NA,7732
New London Estates Company,New London Estates Company,7733
Finishing Department Willimantic Linen Co,NA,7734
Aztec Gold Mines Limited,Aztec Gold Mines Limited,7735
Standard Copper Mines,Standard Copper Mines,7736
Crown Reserve Mining Company,Crown Reserve Mining Company,7737
Dominion Coal Company,Dominion Coal Company,7738
Colon Gold Mines Limited,Colon Gold Mines Limited,7739
Tetuan Gold Mines Company,Tetuan Gold Mines Company,7740
Mitchell Gold Mining Company,Mitchell Gold Mining Company,7741
East Borneo Co,East Borneo Co.,7742
Fabricating Diy Aluminum Company,NA,7743
Oro Fino Mining Co Cable Deer Lodge Co,"Oro Fino Mining Co., Cable, Deer Lodge Co.",7744
Georgetown Gold Mining Co,Georgetown Gold Mining Co.,7745
Washington Mines Co,Washington Mines Co.,7746
Bavicanora Mining Co,Bavicanora Mining Co.,7747
Manchu Syndicate Limited,Manchu Syndicate Limited,7748
Candelaria Land Mining And Power,Candelaria Land Mining And Power,7749
Subsidiary Of International Nickel Co,Subsidiary Of International Nickel Co,7750
Llyny Pandy Mining Company,Llyny Pandy Mining Company,7751
Clunes Goldfields Limited,Clunes Goldfields Limited,7752
Julian Consolidated Mining Company,Julian Consolidated Mining Company,7753
Denver Fire Clay Co A,NA,7754
Denver Fire Clay Company,NA,7755
Indian Glenrock Gold Mining,Indian Glenrock Gold Mining,7756
Nerbudda Coal Aiiduibon Eompanyt Limited,Nerbudda Coal Aiiduibon Eompanyt Limited,7757
Columbia Steel Co,Columbia Steel Co.,7758
Apodequena Mine Parral B,"Apodequena Mine, Parral. B.",7759
Both A Brothers Diamond Mine Kim Berley,"Both A Brothers Diamond Mine, Kim Berley",7760
Jordan Colliery Company,Jordan Colliery Company,7761
Dutch Reformed Kerkeraad Diamond Mine Warrenton,"Dutch Reformed Kerkeraad Diamond Mine, Warrenton",7762
Bingham Conger Copper Co,Bingham Conger Copper Co.,7763
United Bingham Copper Co,United Bingham Copper Co.,7764
Willow Creek Mines Wasilla Mgp,"Willow Creek Mines, Wasilla. Mgp",7765
Sombrero Development Co Globe Gila Co,"Sombrero Development Co., Globe, Gila Co.",7766
Mogollon Mines Co,Mogollon Mines Co.,7767
Bennett Mining Co,Bennett Mining Co.,7768
Brazil Goldfields Ltd,Brazil Goldfields Ltd,7769
Abdon Clee Stqne Liarry Limited,Abdon Clee Stqne Liarry Limited,7770
African Colonies Company,African Colonies Company,7771
Mines Development Corporation Limited,Mines Development Corporation Limited,7772
Pine Creek Coal Co Pray Park Co,"Pine Creek Coal Co.,Pray, Park Co.",7773
Ha A Heren,NA,7774
Alta Sierra Gold Mining Co,Alta Sierra Gold Mining Co,7775
Yellow Tiger Con Mining Co,Yellow Tiger Con$.Mining Co.,7776
Glade Creek Mines Co,Glade Creek Mines Co.,7777
Shilka Gold Concession Llmiteu,Shilka Gold Concession Llmiteu,7778
Regent Gold Extracting Company,Regent Gold Extracting Company,7779
Taquah Mining,Taquah Mining,7780
Nigerian Consolidated Mines Trust Limited,Nigerian Consolidated Mines Trust Limited,7781
Roman Gravels Mining Company,Roman Gravels Mining Company,7782
Various Gold Mining,NA,7783
Mynpacht Luipaard Vlei Gold Mining,Mynpacht Luipaard Vlei Gold Mining,7784
Consolidated Gold Fields,NA,7785
Gold Copper And Tin Mine,NA,7786
Mining And Civil,NA,7787
Hannibal Mo Quarry Atlas Portland Cement Co,NA,7788
American Export Airlines Inc,NA,7789
Hindley Field Coal Qoivifany Limited,Hindley Field Coal Qoivifany Limited,7790
La Grange Ditch Mining Company,La Grange Ditch & Mining Company,7791
La Grange Ditch Mining Co,La Grange Ditch & Mining Co,7792
Valdez Creek Placer Mines Co,Valdez Creek Placer Mines Co.,7793
Alava Guipuzcoa Mining Co,Alava & Guipuzcoa Mining Co.,7794
Caledonian Coal Mining Co,Caledonian Coal Mining Co.,7795
Conquista Xicao Gold Mines Limited,Conquista Xicao Gold Mines Limited,7796
Pope Shenon Mining Co,Pope Shenon Mining Co.,7797
Pope Sh Enon Mining Co,Pope Sh Enon Mining Co.,7798
Blaen Cae Gurwen Collieries Company,Blaen Cae Gurwen Collieries Company,7799
Central Australian Exploration Syndicate Limited,NA,7800
Sheils G Ironside Mining A Milling Co,Sheils G. Ironside Mining A Milling Co.,7801
Central Lafon Tinfields Nigeria Limited,Central Lafon Tinfields Nigeria Limited,7802
Gie Appantoo Gold Mining Company,Gie Appantoo Gold Mining Company,7803
Hall Mining And Smelting Company,Hall Mining And Smelting Company,7804
Arenig Granite Company,Arenig Granite Company,7805
East Russian Mines Limited,East Russian Mines Limited,7806
Ravenscliff Mining Company,Ravenscliff Mining Company,7807
New Tasmanian Silver Mining Company,New Tasmanian Silver Mining Company,7808
Van Byn Gold Mines,Van Byn Gold Mines,7809
Keystone Aircraft Corp,NA,7810
Ven Fersdorp Proprietary Company,Ven Fersdorp Proprietary Company,7811
New Emeralds Company,New Emeralds Company,7812
Bulgarian Coal Syndicate Limited,Bulgarian Coal Syndicate Limited,7813
Cumberland Gaanite Company,Cumberland Gaanite Company,7814
Anglo Burmah Wolfram Syndicate Limited,Anglo Burmah Wolfram Syndicate Limited,7815
Hungarian Development And Mining Limited,Hungarian Development And Mining Limited,7816
Exploration Ltd,NA,7817
Mem Sch Mine,NA,7818
The Consolidated Gold,NA,7819
The United,NA,7820
The Pestarena United,NA,7821
Republican Mining Milling Co,Republican Mining & Milling Co.,7822
Cookson Co,Cookson & Co.,7823
Cold Roll Stands Pickling Machines Annealing Furnaces Atlantic Steel Castings Co,Cold Roll Stands. Pickling Machines. Annealing Furnaces. Atlantic Steel Castings Co,7824
Independent Gold Mining Company,Independent Gold Mining Company,7825
Ryan Nigel Gold Mining Estate,Ryan Nigel Gold Mining Estate,7826
Naraguta Ieended Nigeria Tin Mines Limited,NA,7827
Transvaal Development Limited,Transvaal Development Limited,7828
Pilgrims Mining Estate Exploration Co Limited,Pilgrims Mining Estate & Exploration Co. Limited,7829
Transvaal Coal Estates Syndicate Limited,Transvaal Coal Estates Syndicate Limited,7830
Ellerton Gold Mining Company,Ellerton Gold Mining Company,7831
English Atet Limited,English Atet Limited,7832
Etna Development Company,Etna Development Company,7833
Sudan Mines Limited,Sudan Mines Limited,7834
